,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A332610,ARIRANG 미국단기우량회사채,20210827,-1116,0,1182
1,A332610,ARIRANG 미국단기우량회사채,20210826,-1116,0,1182
2,A332610,ARIRANG 미국단기우량회사채,20210825,-1068,0,1131
3,A332610,ARIRANG 미국단기우량회사채,20210824,-1061,0,1124
4,A332610,ARIRANG 미국단기우량회사채,20210823,-1064,0,1132
5,A332610,ARIRANG 미국단기우량회사채,20210820,-1115,0,1184
6,A332610,ARIRANG 미국단기우량회사채,20210819,-1118,0,1188
7,A332610,ARIRANG 미국단기우량회사채,20210818,-1120,0,1191
8,A332610,ARIRANG 미국단기우량회사채,20210817,-1143,0,1215
9,A332610,ARIRANG 미국단기우량회사채,20210813,-1120,0,1192
10,A332610,ARIRANG 미국단기우량회사채,20210812,-1050,0,1122
11,A332610,ARIRANG 미국단기우량회사채,20210811,-1042,0,1114
12,A332610,ARIRANG 미국단기우량회사채,20210810,-1045,0,1117
13,A332610,ARIRANG 미국단기우량회사채,20210809,-1115,0,1187
14,A332610,ARIRANG 미국단기우량회사채,20210806,-1062,0,1134
15,A332610,ARIRANG 미국단기우량회사채,20210805,-1068,0,1140
16,A332610,ARIRANG 미국단기우량회사채,20210804,-1082,0,1154
17,A332610,ARIRANG 미국단기우량회사채,20210803,-1005,0,1077
18,A332610,ARIRANG 미국단기우량회사채,20210802,-1010,0,1084
19,A332610,ARIRANG 미국단기우량회사채,20210730,-1026,0,1100
20,A332610,ARIRANG 미국단기우량회사채,20210729,-1025,0,1099
21,A332610,ARIRANG 미국단기우량회사채,20210728,-1036,0,1111
22,A332610,ARIRANG 미국단기우량회사채,20210727,-1160,0,1239
23,A332610,ARIRANG 미국단기우량회사채,20210726,-1172,0,1251
24,A332610,ARIRANG 미국단기우량회사채,20210723,-1184,0,1263
25,A332610,ARIRANG 미국단기우량회사채,20210722,-1180,0,1259
26,A332610,ARIRANG 미국단기우량회사채,20210721,-1193,0,1272
27,A332610,ARIRANG 미국단기우량회사채,20210720,-1206,0,1285
28,A332610,ARIRANG 미국단기우량회사채,20210719,-1207,0,1286
29,A332610,ARIRANG 미국단기우량회사채,20210716,-1200,0,1279
30,A332610,ARIRANG 미국단기우량회사채,20210715,-1201,0,1280
31,A332610,ARIRANG 미국단기우량회사채,20210714,-1199,0,1279
32,A332610,ARIRANG 미국단기우량회사채,20210713,-1213,0,1293
33,A332610,ARIRANG 미국단기우량회사채,20210712,-1224,0,1304
34,A332610,ARIRANG 미국단기우량회사채,20210709,-1260,0,1340
35,A332610,ARIRANG 미국단기우량회사채,20210708,-1270,0,1350
36,A332610,ARIRANG 미국단기우량회사채,20210707,-927,0,1012
37,A332610,ARIRANG 미국단기우량회사채,20210706,-899,0,984
