,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A027410,BGF,20210827,2321680,-1611703,-862771
1,A027410,BGF,20210826,2337895,-1624413,-866276
2,A027410,BGF,20210825,2339507,-1622673,-872148
3,A027410,BGF,20210824,2371950,-1650146,-877048
4,A027410,BGF,20210823,2433894,-1712836,-876502
5,A027410,BGF,20210820,2524423,-1795673,-889495
6,A027410,BGF,20210819,2487505,-1773606,-874534
7,A027410,BGF,20210818,2478621,-1767211,-872009
8,A027410,BGF,20210817,2518311,-1808345,-869920
9,A027410,BGF,20210813,2597940,-1890661,-866853
10,A027410,BGF,20210812,2616756,-1907904,-873061
11,A027410,BGF,20210811,2623398,-1922733,-865582
12,A027410,BGF,20210810,2567022,-1882586,-865955
13,A027410,BGF,20210809,2654708,-1943633,-871494
14,A027410,BGF,20210806,2655781,-1924456,-872108
15,A027410,BGF,20210805,2759090,-2035305,-876301
16,A027410,BGF,20210804,2770970,-2053404,-870082
17,A027410,BGF,20210803,2797100,-2082975,-866641
18,A027410,BGF,20210802,2800656,-2081362,-871760
19,A027410,BGF,20210730,2795282,-2081957,-866171
20,A027410,BGF,20210729,2758188,-2075536,-836367
21,A027410,BGF,20210728,2776054,-2094017,-836252
22,A027410,BGF,20210727,2781287,-2099437,-836431
23,A027410,BGF,20210726,2779574,-2110236,-822909
24,A027410,BGF,20210723,2720713,-2084938,-791346
25,A027410,BGF,20210722,2738032,-2097330,-797783
26,A027410,BGF,20210721,2759430,-2119815,-798346
27,A027410,BGF,20210720,2753104,-2114828,-796857
28,A027410,BGF,20210719,2762544,-2129005,-791769
29,A027410,BGF,20210716,2717790,-2089882,-786098
30,A027410,BGF,20210715,2719206,-2094739,-782957
31,A027410,BGF,20210714,2724846,-2091385,-792813
32,A027410,BGF,20210713,2717135,-2081250,-794402
33,A027410,BGF,20210712,2719478,-2071082,-797950
34,A027410,BGF,20210709,2722093,-2072080,-794215
35,A027410,BGF,20210708,2697084,-2054453,-787092
36,A027410,BGF,20210707,2642150,-2010705,-774725
37,A027410,BGF,20210706,2586767,-1951039,-778485
38,A027410,BGF,20210705,2644057,-1988568,-779152
39,A027410,BGF,20210702,2578619,-1920053,-773536
40,A027410,BGF,20210701,2519581,-1884321,-756400
41,A027410,BGF,20210630,2412624,-1857060,-674093
42,A027410,BGF,20210629,2382340,-1812511,-688038
43,A027410,BGF,20210628,2358900,-1772020,-690405
44,A027410,BGF,20210625,2337026,-1749822,-690911
45,A027410,BGF,20210624,2267721,-1686062,-684306
46,A027410,BGF,20210623,2259112,-1686973,-675418
47,A027410,BGF,20210622,2221750,-1667522,-657151
48,A027410,BGF,20210621,2184916,-1644113,-644176
49,A027410,BGF,20210618,2144507,-1604943,-642435
50,A027410,BGF,20210617,2090618,-1566434,-623031
51,A027410,BGF,20210616,1990555,-1456540,-627300
52,A027410,BGF,20210615,1923816,-1383948,-631101
53,A027410,BGF,20210614,1870657,-1334137,-626919
54,A027410,BGF,20210611,1796488,-1294827,-592059
55,A027410,BGF,20210610,1783351,-1297378,-577742
56,A027410,BGF,20210609,1639147,-1171612,-559441
57,A027410,BGF,20210608,1689556,-1232560,-556852
58,A027410,BGF,20210607,1705536,-1249791,-557298
59,A027410,BGF,20210604,1714138,-1261251,-553040
60,A027410,BGF,20210603,1730930,-1286037,-544531
61,A027410,BGF,20210602,1760831,-1308496,-552173
62,A027410,BGF,20210601,1849504,-1407487,-539558
63,A027410,BGF,20210531,1853021,-1416501,-532861
64,A027410,BGF,20210528,1876374,-1412401,-557374
65,A027410,BGF,20210527,1958065,-1470430,-585115
66,A027410,BGF,20210526,2052971,-1549061,-601792
67,A027410,BGF,20210525,1992614,-1574153,-510777
68,A027410,BGF,20210524,1943398,-1550983,-487616
69,A027410,BGF,20210521,1935183,-1570466,-461547
70,A027410,BGF,20210520,1945111,-1579472,-462419
71,A027410,BGF,20210518,1873766,-1582102,-387988
72,A027410,BGF,20210517,1773919,-1586877,-284073
73,A027410,BGF,20210514,1768761,-1589094,-276621
74,A027410,BGF,20210513,1742609,-1563395,-276868
75,A027410,BGF,20210512,1809021,-1621307,-272768
76,A027410,BGF,20210511,1732877,-1539174,-259938
77,A027410,BGF,20210510,1793562,-1578708,-281286
78,A027410,BGF,20210507,1909257,-1670966,-296290
79,A027410,BGF,20210506,1908490,-1653629,-314581
80,A027410,BGF,20210504,1951429,-1688295,-319757
81,A027410,BGF,20210503,1946579,-1685404,-315278
82,A027410,BGF,20210430,1954643,-1693813,-314752
83,A027410,BGF,20210429,1963693,-1691137,-324672
84,A027410,BGF,20210428,1935136,-1664587,-322827
85,A027410,BGF,20210427,1935223,-1667506,-320138
86,A027410,BGF,20210426,1942730,-1676169,-319564
87,A027410,BGF,20210423,1943279,-1678404,-319180
88,A027410,BGF,20210422,1955315,-1692148,-316085
89,A027410,BGF,20210421,1881969,-1728077,-203369
90,A027410,BGF,20210420,1790111,-1737666,-101852
91,A027410,BGF,20210419,1646285,-1695606,1009
92,A027410,BGF,20210416,1660165,-1713458,4050
93,A027410,BGF,20210415,1598044,-1652941,3622
94,A027410,BGF,20210414,1529254,-1584090,1360
95,A027410,BGF,20210413,1476252,-1530618,2764
96,A027410,BGF,20210412,1466718,-1509952,388
97,A027410,BGF,20210409,1258812,-1299214,-2278
98,A027410,BGF,20210408,1300369,-1339893,-3440
99,A027410,BGF,20210407,930940,-947931,-21815
100,A027410,BGF,20210406,1054197,-1060396,-32578
101,A027410,BGF,20210405,1080022,-1053071,-64943
102,A027410,BGF,20210402,980699,-958363,-60859
103,A027410,BGF,20210401,917381,-893571,-59965
104,A027410,BGF,20210331,1067911,-1003219,-103506
105,A027410,BGF,20210330,594586,-559596,-54028
106,A027410,BGF,20210329,528659,-481868,-60790
