,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210827,1109220,-13300,-1044400
1,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210826,1114220,-13300,-1049400
2,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210825,1114220,-13300,-1049400
3,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210824,1124494,-13300,-1049400
4,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210823,1104857,-13300,-1029763
5,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210820,1116483,-13300,-1039763
6,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210819,1124297,-11711,-1050066
7,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210818,1134297,-11711,-1060066
8,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210817,1128142,-11711,-1053911
9,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210813,1125590,-6190,-1055911
10,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210812,1135236,-6190,-1060911
11,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210811,1131945,-6190,-1057480
12,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210810,1132055,-5557,-1058223
13,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210809,1128400,669,-1060794
14,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210806,1057591,14601,-1008917
15,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210805,1064312,14601,-1012917
16,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210804,1070317,16238,-1020539
17,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210803,1070831,16238,-1026043
18,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210802,1068265,18804,-1026043
19,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210730,1068265,18804,-1026043
20,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210729,1071761,18804,-1029539
21,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210728,1069317,21112,-1029403
22,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210727,1067913,22516,-1029403
23,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210726,1073706,24332,-1037156
24,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210723,1073206,24832,-1037156
25,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210722,1073200,24832,-1037156
26,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210721,1072946,24832,-1037102
27,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210720,1073080,24832,-1037586
28,A367340,DB±ÝÀ¶½ºÆÑ8È£,20210719,1069060,25832,-1037586
