,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A278990,EMB,20210827,66,0,-66
1,A278990,EMB,20210826,66,0,-66
2,A278990,EMB,20210825,66,0,-66
3,A278990,EMB,20210824,66,0,-66
4,A278990,EMB,20210823,66,0,-66
5,A278990,EMB,20210820,66,0,-66
6,A278990,EMB,20210819,66,0,-66
7,A278990,EMB,20210818,66,0,-66
8,A278990,EMB,20210817,66,0,-66
9,A278990,EMB,20210813,66,0,-66
10,A278990,EMB,20210812,66,0,-66
11,A278990,EMB,20210811,66,0,-66
12,A278990,EMB,20210810,66,0,-66
13,A278990,EMB,20210809,66,0,-66
14,A278990,EMB,20210806,66,0,-66
15,A278990,EMB,20210805,66,0,-66
16,A278990,EMB,20210804,66,0,-66
17,A278990,EMB,20210803,66,0,-66
18,A278990,EMB,20210802,66,0,-66
19,A278990,EMB,20210730,66,0,-66
20,A278990,EMB,20210729,66,0,-66
21,A278990,EMB,20210728,66,0,-66
22,A278990,EMB,20210727,66,0,-66
23,A278990,EMB,20210726,66,0,-66
24,A278990,EMB,20210723,66,0,-66
25,A278990,EMB,20210722,66,0,-66
26,A278990,EMB,20210721,66,0,-66
27,A278990,EMB,20210720,66,0,-66
28,A278990,EMB,20210719,66,0,-66
29,A278990,EMB,20210716,66,0,-66
30,A278990,EMB,20210715,66,0,-66
31,A278990,EMB,20210714,66,0,-66
32,A278990,EMB,20210713,66,0,-66
33,A278990,EMB,20210712,66,0,-66
34,A278990,EMB,20210709,66,0,-66
35,A278990,EMB,20210708,66,0,-66
36,A278990,EMB,20210707,66,0,-66
37,A278990,EMB,20210706,66,0,-66
38,A278990,EMB,20210705,66,0,-66
39,A278990,EMB,20210702,66,0,-66
40,A278990,EMB,20210701,66,0,-66
41,A278990,EMB,20210630,66,0,-66
42,A278990,EMB,20210629,66,0,-66
43,A278990,EMB,20210628,66,0,-66
44,A278990,EMB,20210625,66,0,-66
45,A278990,EMB,20210624,66,0,-66
46,A278990,EMB,20210623,66,0,-66
47,A278990,EMB,20210622,201,0,-201
48,A278990,EMB,20210621,201,0,-201
49,A278990,EMB,20210618,201,0,-201
50,A278990,EMB,20210617,201,0,-201
51,A278990,EMB,20210616,201,0,-201
52,A278990,EMB,20210615,201,0,-201
53,A278990,EMB,20210614,201,0,-201
54,A278990,EMB,20210611,201,0,-201
55,A278990,EMB,20210610,201,0,-201
56,A278990,EMB,20210609,201,0,-201
57,A278990,EMB,20210608,201,0,-201
58,A278990,EMB,20210607,201,0,-201
59,A278990,EMB,20210604,201,0,-201
60,A278990,EMB,20210603,201,0,-201
61,A278990,EMB,20210602,201,0,-201
62,A278990,EMB,20210601,201,0,-201
63,A278990,EMB,20210531,201,0,-201
64,A278990,EMB,20210528,201,0,-201
65,A278990,EMB,20210527,201,0,-201
66,A278990,EMB,20210526,201,0,-201
67,A278990,EMB,20210525,201,0,-201
68,A278990,EMB,20210524,201,0,-201
69,A278990,EMB,20210521,201,0,-201
70,A278990,EMB,20210520,201,0,-201
71,A278990,EMB,20210518,201,0,-201
72,A278990,EMB,20210517,201,0,-201
73,A278990,EMB,20210514,201,0,-201
74,A278990,EMB,20210513,201,0,-201
75,A278990,EMB,20210512,201,0,-201
76,A278990,EMB,20210511,201,0,-201
77,A278990,EMB,20210510,191,0,-191
78,A278990,EMB,20210507,-4,0,4
79,A278990,EMB,20210506,-4,0,4
80,A278990,EMB,20210504,-204,0,204
81,A278990,EMB,20210503,-204,0,204
82,A278990,EMB,20210430,-204,0,204
83,A278990,EMB,20210429,-204,0,204
84,A278990,EMB,20210428,-204,0,204
85,A278990,EMB,20210427,-204,0,204
86,A278990,EMB,20210426,-204,0,204
87,A278990,EMB,20210423,-204,0,204
88,A278990,EMB,20210422,-204,0,204
89,A278990,EMB,20210421,-204,0,204
90,A278990,EMB,20210420,-204,0,204
91,A278990,EMB,20210419,-400,0,400
92,A278990,EMB,20210416,-600,0,600
93,A278990,EMB,20210415,-600,0,600
94,A278990,EMB,20210414,-600,0,600
95,A278990,EMB,20210413,-600,0,600
96,A278990,EMB,20210412,-600,0,600
97,A278990,EMB,20210409,-600,0,600
98,A278990,EMB,20210408,-600,0,600
99,A278990,EMB,20210407,-600,0,600
100,A278990,EMB,20210406,-600,0,600
101,A278990,EMB,20210405,-400,0,400
102,A278990,EMB,20210402,-200,0,200
103,A278990,EMB,20210401,0,0,0
104,A278990,EMB,20210331,0,0,0
105,A278990,EMB,20210330,-200,0,200
106,A278990,EMB,20210329,-400,0,400
107,A278990,EMB,20210326,-600,0,600
108,A278990,EMB,20210325,-800,0,800
109,A278990,EMB,20210324,-800,0,800
110,A278990,EMB,20210323,-600,0,600
111,A278990,EMB,20210322,-600,0,600
112,A278990,EMB,20210319,-600,0,600
113,A278990,EMB,20210318,-600,0,600
114,A278990,EMB,20210317,-400,0,400
115,A278990,EMB,20210316,-200,0,200
116,A278990,EMB,20210315,-200,0,200
117,A278990,EMB,20210312,-200,0,200
118,A278990,EMB,20210311,-200,0,200
