,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A285690,FOCUS ESG리더스,20210827,16947,0,-17132
1,A285690,FOCUS ESG리더스,20210826,16868,0,-17053
2,A285690,FOCUS ESG리더스,20210825,18513,0,-18698
3,A285690,FOCUS ESG리더스,20210824,16919,0,-17104
4,A285690,FOCUS ESG리더스,20210823,16402,0,-16587
5,A285690,FOCUS ESG리더스,20210820,16413,0,-16598
6,A285690,FOCUS ESG리더스,20210819,16439,0,-16624
7,A285690,FOCUS ESG리더스,20210818,16391,0,-16576
8,A285690,FOCUS ESG리더스,20210817,16451,0,-16636
9,A285690,FOCUS ESG리더스,20210813,16305,0,-16490
10,A285690,FOCUS ESG리더스,20210812,16208,0,-16393
11,A285690,FOCUS ESG리더스,20210811,16275,0,-16460
12,A285690,FOCUS ESG리더스,20210810,16652,0,-16837
13,A285690,FOCUS ESG리더스,20210809,16594,0,-16779
14,A285690,FOCUS ESG리더스,20210806,16578,0,-16758
15,A285690,FOCUS ESG리더스,20210805,16477,0,-16657
16,A285690,FOCUS ESG리더스,20210804,16406,0,-16586
17,A285690,FOCUS ESG리더스,20210803,17243,0,-17403
18,A285690,FOCUS ESG리더스,20210802,17286,0,-17445
19,A285690,FOCUS ESG리더스,20210730,17395,0,-17554
20,A285690,FOCUS ESG리더스,20210729,17157,0,-17316
21,A285690,FOCUS ESG리더스,20210728,17225,0,-17384
22,A285690,FOCUS ESG리더스,20210727,17190,0,-17349
23,A285690,FOCUS ESG리더스,20210726,17273,0,-17432
24,A285690,FOCUS ESG리더스,20210723,17371,0,-17530
25,A285690,FOCUS ESG리더스,20210722,17170,0,-17326
26,A285690,FOCUS ESG리더스,20210721,17206,0,-17362
27,A285690,FOCUS ESG리더스,20210720,15954,0,-16110
28,A285690,FOCUS ESG리더스,20210719,15325,0,-15481
29,A285690,FOCUS ESG리더스,20210716,15509,0,-15665
30,A285690,FOCUS ESG리더스,20210715,14974,0,-15130
31,A285690,FOCUS ESG리더스,20210714,15062,0,-15218
32,A285690,FOCUS ESG리더스,20210713,14969,0,-15125
33,A285690,FOCUS ESG리더스,20210712,14888,0,-15044
34,A285690,FOCUS ESG리더스,20210709,14979,0,-15135
35,A285690,FOCUS ESG리더스,20210708,14884,0,-15040
36,A285690,FOCUS ESG리더스,20210707,13118,0,-13269
37,A285690,FOCUS ESG리더스,20210706,12992,0,-13143
38,A285690,FOCUS ESG리더스,20210705,11779,0,-11930
39,A285690,FOCUS ESG리더스,20210702,11445,0,-11596
40,A285690,FOCUS ESG리더스,20210701,11432,0,-11583
41,A285690,FOCUS ESG리더스,20210630,11329,0,-11480
42,A285690,FOCUS ESG리더스,20210629,11093,0,-11227
43,A285690,FOCUS ESG리더스,20210628,10061,0,-10195
44,A285690,FOCUS ESG리더스,20210625,9889,0,-10023
45,A285690,FOCUS ESG리더스,20210624,9205,0,-9339
46,A285690,FOCUS ESG리더스,20210623,6643,0,-6777
47,A285690,FOCUS ESG리더스,20210622,6819,0,-6953
48,A285690,FOCUS ESG리더스,20210621,6827,0,-6961
49,A285690,FOCUS ESG리더스,20210618,7840,0,-7974
50,A285690,FOCUS ESG리더스,20210617,7877,0,-8011
51,A285690,FOCUS ESG리더스,20210616,6561,0,-6695
52,A285690,FOCUS ESG리더스,20210615,6532,0,-6666
53,A285690,FOCUS ESG리더스,20210614,6457,0,-6591
54,A285690,FOCUS ESG리더스,20210611,6386,0,-6520
55,A285690,FOCUS ESG리더스,20210610,6379,0,-6513
56,A285690,FOCUS ESG리더스,20210609,6208,0,-6342
57,A285690,FOCUS ESG리더스,20210608,5416,0,-5550
58,A285690,FOCUS ESG리더스,20210607,5159,0,-5293
59,A285690,FOCUS ESG리더스,20210604,5297,0,-5431
60,A285690,FOCUS ESG리더스,20210603,5340,0,-5474
61,A285690,FOCUS ESG리더스,20210602,5188,0,-5290
62,A285690,FOCUS ESG리더스,20210601,5082,0,-5184
63,A285690,FOCUS ESG리더스,20210531,5190,0,-5292
64,A285690,FOCUS ESG리더스,20210528,5035,0,-5131
65,A285690,FOCUS ESG리더스,20210527,9566,0,-9662
66,A285690,FOCUS ESG리더스,20210526,9486,0,-9582
67,A285690,FOCUS ESG리더스,20210525,9496,0,-9592
68,A285690,FOCUS ESG리더스,20210524,9121,0,-9212
69,A285690,FOCUS ESG리더스,20210521,8831,0,-8922
70,A285690,FOCUS ESG리더스,20210520,8573,0,-8664
71,A285690,FOCUS ESG리더스,20210518,8127,0,-8214
72,A285690,FOCUS ESG리더스,20210517,9266,0,-9353
73,A285690,FOCUS ESG리더스,20210514,9191,0,-9278
74,A285690,FOCUS ESG리더스,20210513,8465,0,-8552
75,A285690,FOCUS ESG리더스,20210512,8294,0,-8381
76,A285690,FOCUS ESG리더스,20210511,8143,0,-8230
77,A285690,FOCUS ESG리더스,20210510,7912,0,-7999
78,A285690,FOCUS ESG리더스,20210507,7848,0,-7935
79,A285690,FOCUS ESG리더스,20210506,8005,0,-8092
80,A285690,FOCUS ESG리더스,20210504,8089,0,-8176
81,A285690,FOCUS ESG리더스,20210503,8148,0,-8246
82,A285690,FOCUS ESG리더스,20210430,7061,0,-7159
83,A285690,FOCUS ESG리더스,20210429,5803,0,-5901
84,A285690,FOCUS ESG리더스,20210428,4705,0,-4803
85,A285690,FOCUS ESG리더스,20210427,-1282,0,1184
86,A285690,FOCUS ESG리더스,20210426,-1443,0,1356
87,A285690,FOCUS ESG리더스,20210423,-1345,0,1258
88,A285690,FOCUS ESG리더스,20210422,-1406,0,1319
89,A285690,FOCUS ESG리더스,20210421,-1447,0,1360
90,A285690,FOCUS ESG리더스,20210420,-1360,0,1273
91,A285690,FOCUS ESG리더스,20210419,-1411,0,1394
92,A285690,FOCUS ESG리더스,20210416,-1323,0,1306
93,A285690,FOCUS ESG리더스,20210415,-1448,0,1431
94,A285690,FOCUS ESG리더스,20210414,-1374,0,1357
95,A285690,FOCUS ESG리더스,20210413,-968,0,951
96,A285690,FOCUS ESG리더스,20210412,-1235,0,1218
97,A285690,FOCUS ESG리더스,20210409,-1929,0,1912
98,A285690,FOCUS ESG리더스,20210408,-2052,0,2052
99,A285690,FOCUS ESG리더스,20210407,-2014,0,2014
100,A285690,FOCUS ESG리더스,20210406,-2121,0,2121
101,A285690,FOCUS ESG리더스,20210405,-1668,0,1668
102,A285690,FOCUS ESG리더스,20210402,-1695,0,1695
103,A285690,FOCUS ESG리더스,20210401,-1719,0,1719
104,A285690,FOCUS ESG리더스,20210331,-1716,0,1716
105,A285690,FOCUS ESG리더스,20210330,-1889,0,1889
106,A285690,FOCUS ESG리더스,20210329,-1547,0,1547
107,A285690,FOCUS ESG리더스,20210326,-1455,0,1455
108,A285690,FOCUS ESG리더스,20210325,-1263,0,1263
109,A285690,FOCUS ESG리더스,20210324,-1267,0,1267
110,A285690,FOCUS ESG리더스,20210323,-1249,0,1249
111,A285690,FOCUS ESG리더스,20210322,-1266,0,1266
112,A285690,FOCUS ESG리더스,20210319,-1166,0,1166
113,A285690,FOCUS ESG리더스,20210318,-1168,0,1168
114,A285690,FOCUS ESG리더스,20210317,-1182,0,1182
115,A285690,FOCUS ESG리더스,20210316,-985,0,985
116,A285690,FOCUS ESG리더스,20210315,-790,0,790
