,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210827,-22372,0,22380
1,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210826,-22431,0,22439
2,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210825,-22482,0,22490
3,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210824,-22679,0,22687
4,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210823,-22569,0,22577
5,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210820,-22452,0,22460
6,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210819,-22388,0,22396
7,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210818,-22404,0,22412
8,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210817,-21870,0,21878
9,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210813,-22128,0,22136
10,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210812,-21980,0,21988
11,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210811,-21880,0,21888
12,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210810,-21366,0,21374
13,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210809,-21106,0,21114
14,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210806,-21118,0,21126
15,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210805,-21118,0,21126
16,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210804,-20527,0,20535
17,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210803,-19836,0,19844
18,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210802,-19889,0,19897
19,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210730,-19725,0,19733
20,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210729,-19117,0,19125
21,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210728,-19128,0,19136
22,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210727,-20490,0,20498
23,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210726,-20719,0,20727
24,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210723,-20686,0,20694
25,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210722,-18707,0,18715
26,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210721,-18550,0,18558
27,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210720,-18950,0,18958
28,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210719,-18384,0,18392
29,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210716,-19227,0,19235
30,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210715,-16889,0,16897
31,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210714,-16984,0,16992
32,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210713,-17780,0,17788
33,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210712,-17474,0,17482
34,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210709,-17017,0,17025
35,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210708,-16370,0,16378
36,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210707,-15604,0,15612
37,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210706,-15757,0,15765
38,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210705,-14508,0,14516
39,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210702,-14556,0,14564
40,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210701,-14593,0,14601
41,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210630,-14493,0,14501
42,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210629,-13458,0,13466
43,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210628,-13650,0,13658
44,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210625,-13541,0,13549
45,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210624,-13098,0,13106
46,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210623,-11722,0,11730
47,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210622,-9121,0,9129
48,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210621,-8982,0,8990
49,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210618,-8127,0,8135
50,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210617,-7511,0,7518
51,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210616,-7251,0,7258
52,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210615,-7785,0,7792
53,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210614,-7480,0,7487
54,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210611,-6550,0,6557
55,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210610,-6536,0,6543
56,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210609,-5995,0,6002
57,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210608,-5870,0,5877
58,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210607,-5661,0,5668
59,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210604,-5603,0,5610
60,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210603,-5393,0,5400
61,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210602,-4834,0,4841
62,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210601,-4836,0,4843
63,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210531,-4865,0,4868
64,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210528,-4812,0,4815
65,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210527,-4351,0,4354
66,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210526,-4335,0,4338
67,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210525,-4391,0,4394
68,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210524,-3647,0,3649
69,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210521,-3425,0,3427
70,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210520,-3336,0,3338
71,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210518,-3414,0,3416
72,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210517,-3143,0,3145
73,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210514,-3225,0,3227
74,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210513,-3201,0,3203
75,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210512,-3606,0,3609
76,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210511,-3611,0,3614
77,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210510,-4265,0,4268
78,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210507,-4216,0,4219
79,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210506,-4270,0,4273
80,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210504,-4151,0,4154
81,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210503,-4278,0,4281
82,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210430,-4282,0,4285
83,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210429,-4549,0,4552
84,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210428,-5096,0,5099
85,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210427,-5286,0,5289
86,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210426,-5487,0,5490
87,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210423,-5428,0,5431
88,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210422,-5094,0,5097
89,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210421,-5069,0,5072
90,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210420,-5099,0,5101
91,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210419,-4692,0,4694
92,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210416,-4768,0,4770
93,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210415,-4365,0,4367
94,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210414,-2735,0,2734
95,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210413,-1474,0,1473
96,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210412,-1255,0,1254
97,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210409,-1366,0,1365
98,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210408,-1394,0,1393
99,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210407,-1007,0,1006
100,A368200,KBSTAR Fn K-뉴딜디지털플러스,20210406,-1111,0,1110
