,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A114100,KBSTAR 국고채3년,20210827,2184,0,-1868
1,A114100,KBSTAR 국고채3년,20210826,2188,0,-1872
2,A114100,KBSTAR 국고채3년,20210825,2393,0,-2077
3,A114100,KBSTAR 국고채3년,20210824,2361,0,-2045
4,A114100,KBSTAR 국고채3년,20210823,2283,0,-1967
5,A114100,KBSTAR 국고채3년,20210820,2260,0,-1944
6,A114100,KBSTAR 국고채3년,20210819,2235,0,-1919
7,A114100,KBSTAR 국고채3년,20210818,2330,0,-2014
8,A114100,KBSTAR 국고채3년,20210817,2233,0,-1917
9,A114100,KBSTAR 국고채3년,20210813,2221,0,-1905
10,A114100,KBSTAR 국고채3년,20210812,2234,0,-1918
11,A114100,KBSTAR 국고채3년,20210811,2231,0,-1915
12,A114100,KBSTAR 국고채3년,20210810,2247,0,-1931
13,A114100,KBSTAR 국고채3년,20210809,2285,0,-1969
14,A114100,KBSTAR 국고채3년,20210806,2276,0,-1960
15,A114100,KBSTAR 국고채3년,20210805,2265,0,-1949
16,A114100,KBSTAR 국고채3년,20210804,1844,0,-1527
17,A114100,KBSTAR 국고채3년,20210803,1879,0,-1562
18,A114100,KBSTAR 국고채3년,20210802,1820,0,-1503
19,A114100,KBSTAR 국고채3년,20210730,1829,0,-1512
20,A114100,KBSTAR 국고채3년,20210729,1824,0,-1507
21,A114100,KBSTAR 국고채3년,20210728,1823,0,-1506
22,A114100,KBSTAR 국고채3년,20210727,1819,0,-1502
23,A114100,KBSTAR 국고채3년,20210726,1837,0,-1520
24,A114100,KBSTAR 국고채3년,20210723,1840,0,-1523
25,A114100,KBSTAR 국고채3년,20210722,1950,0,-1633
26,A114100,KBSTAR 국고채3년,20210721,1926,0,-1609
27,A114100,KBSTAR 국고채3년,20210720,1869,0,-1552
28,A114100,KBSTAR 국고채3년,20210719,1801,0,-1484
29,A114100,KBSTAR 국고채3년,20210716,1777,0,-1460
30,A114100,KBSTAR 국고채3년,20210715,1739,0,-1422
31,A114100,KBSTAR 국고채3년,20210714,1711,0,-1394
32,A114100,KBSTAR 국고채3년,20210713,1689,0,-1372
33,A114100,KBSTAR 국고채3년,20210712,1574,0,-1257
34,A114100,KBSTAR 국고채3년,20210709,1349,0,-1032
35,A114100,KBSTAR 국고채3년,20210708,1286,0,-969
36,A114100,KBSTAR 국고채3년,20210707,1274,0,-957
37,A114100,KBSTAR 국고채3년,20210706,1281,0,-964
38,A114100,KBSTAR 국고채3년,20210705,1259,0,-942
39,A114100,KBSTAR 국고채3년,20210702,1226,0,-909
40,A114100,KBSTAR 국고채3년,20210701,1254,0,-937
41,A114100,KBSTAR 국고채3년,20210630,1260,0,-943
42,A114100,KBSTAR 국고채3년,20210629,1210,0,-893
43,A114100,KBSTAR 국고채3년,20210628,1216,0,-899
44,A114100,KBSTAR 국고채3년,20210625,1168,0,-851
