,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A002380,KCC,20210827,-385886,55946,310458
1,A002380,KCC,20210826,-371882,44277,307622
2,A002380,KCC,20210825,-341940,14764,308928
3,A002380,KCC,20210824,-308341,-36871,328556
4,A002380,KCC,20210823,-292898,-64774,339854
5,A002380,KCC,20210820,-291291,-68883,342487
6,A002380,KCC,20210819,-295503,-76502,354216
7,A002380,KCC,20210818,-315607,-76623,375041
8,A002380,KCC,20210817,-314278,-79749,376340
9,A002380,KCC,20210813,-316594,-78307,376891
10,A002380,KCC,20210812,-322639,-74263,377921
11,A002380,KCC,20210811,-313668,-79960,374849
12,A002380,KCC,20210810,-307467,-81591,370490
13,A002380,KCC,20210809,-315838,-78441,375853
14,A002380,KCC,20210806,-320440,-82317,384140
15,A002380,KCC,20210805,-331040,-79237,390998
16,A002380,KCC,20210804,-349945,-64373,394620
17,A002380,KCC,20210803,-325779,-71434,376288
18,A002380,KCC,20210802,-329222,-70389,379581
19,A002380,KCC,20210730,-324554,-66025,368375
20,A002380,KCC,20210729,-328374,-61048,369214
21,A002380,KCC,20210728,-284992,-60318,326487
22,A002380,KCC,20210727,-271654,-63212,315378
23,A002380,KCC,20210726,-273839,-64940,319516
24,A002380,KCC,20210723,-287089,-47964,316625
25,A002380,KCC,20210722,-252514,-57289,291450
26,A002380,KCC,20210721,-245559,-54511,281715
27,A002380,KCC,20210720,-241454,-54652,277744
28,A002380,KCC,20210719,-245584,-51506,278742
29,A002380,KCC,20210716,-253957,-44147,284908
30,A002380,KCC,20210715,-249999,-37393,283904
31,A002380,KCC,20210714,-245553,-33815,283324
32,A002380,KCC,20210713,-252292,-30765,287032
33,A002380,KCC,20210712,-258338,-31317,293566
34,A002380,KCC,20210709,-264672,-29982,298489
35,A002380,KCC,20210708,-267919,-37265,309321
36,A002380,KCC,20210707,-280168,-44282,328225
37,A002380,KCC,20210706,-286369,-42024,331057
38,A002380,KCC,20210705,-291601,-42141,336620
39,A002380,KCC,20210702,-295623,-37983,336635
40,A002380,KCC,20210701,-286001,-39072,328235
41,A002380,KCC,20210630,-292092,-27448,322946
42,A002380,KCC,20210629,-291945,-17079,323525
43,A002380,KCC,20210628,-286444,-9198,309626
44,A002380,KCC,20210625,-301601,13696,303104
45,A002380,KCC,20210624,-253141,-8697,277044
46,A002380,KCC,20210623,-255115,-7201,277569
47,A002380,KCC,20210622,-260801,2461,274185
48,A002380,KCC,20210621,-236010,-9894,262170
49,A002380,KCC,20210618,-248350,-7842,272029
50,A002380,KCC,20210617,-261251,-3387,280596
51,A002380,KCC,20210616,-269640,-6203,292374
52,A002380,KCC,20210615,-282935,-3561,302397
53,A002380,KCC,20210614,-310799,7599,318318
54,A002380,KCC,20210611,-317600,14043,319250
55,A002380,KCC,20210610,-295426,-522,311478
56,A002380,KCC,20210609,-305183,-14135,334803
57,A002380,KCC,20210608,-314417,-12004,341375
58,A002380,KCC,20210607,-321514,-6189,342410
59,A002380,KCC,20210604,-319550,-7596,342678
60,A002380,KCC,20210603,-326301,-6267,348555
61,A002380,KCC,20210602,-339094,-4112,358966
62,A002380,KCC,20210601,-334530,-1511,350437
63,A002380,KCC,20210531,-331680,2506,343834
64,A002380,KCC,20210528,-338981,-4003,357021
65,A002380,KCC,20210527,-337227,-4566,355634
66,A002380,KCC,20210526,-338408,-13306,365123
67,A002380,KCC,20210525,-357163,-28838,398930
68,A002380,KCC,20210524,-361107,-25174,400614
69,A002380,KCC,20210521,-358041,-24514,397494
70,A002380,KCC,20210520,-361498,-26684,402725
71,A002380,KCC,20210518,-360195,-31150,405568
72,A002380,KCC,20210517,-354991,-31231,400176
73,A002380,KCC,20210514,-356632,-36589,406091
74,A002380,KCC,20210513,-364281,-33460,410860
75,A002380,KCC,20210512,-366846,-28186,408107
76,A002380,KCC,20210511,-382205,-9571,405694
77,A002380,KCC,20210510,-356102,-2007,374619
78,A002380,KCC,20210507,-347526,807,362973
79,A002380,KCC,20210506,-351370,7916,359595
80,A002380,KCC,20210504,-342343,18661,340484
81,A002380,KCC,20210503,-336074,25856,326851
82,A002380,KCC,20210430,-330117,14504,330358
83,A002380,KCC,20210429,-333242,20982,327175
84,A002380,KCC,20210428,-325804,25123,315640
85,A002380,KCC,20210427,-320738,27928,307273
86,A002380,KCC,20210426,-318926,31541,301477
87,A002380,KCC,20210423,-318599,36444,296534
88,A002380,KCC,20210422,-304386,38569,280829
89,A002380,KCC,20210421,-280048,31268,264334
90,A002380,KCC,20210420,-257734,29817,243753
91,A002380,KCC,20210419,-253319,30661,239161
92,A002380,KCC,20210416,-251001,26373,240530
93,A002380,KCC,20210415,-251867,21058,247115
94,A002380,KCC,20210414,-252753,18463,251057
95,A002380,KCC,20210413,-249565,11732,255148
96,A002380,KCC,20210412,-258140,17094,258810
97,A002380,KCC,20210409,-248344,20658,243716
98,A002380,KCC,20210408,-252936,27911,240876
99,A002380,KCC,20210407,-230596,31528,215318
100,A002380,KCC,20210406,-207406,34978,187340
101,A002380,KCC,20210405,-142782,41789,115760
102,A002380,KCC,20210402,-133461,39699,108564
103,A002380,KCC,20210401,-138392,39387,114259
104,A002380,KCC,20210331,-135181,47638,103581
105,A002380,KCC,20210330,-124743,53331,86690
106,A002380,KCC,20210329,-130279,50998,94144
107,A002380,KCC,20210326,-109987,56075,68578
108,A002380,KCC,20210325,-100468,66139,48607
109,A002380,KCC,20210324,7208,11730,-8270
110,A002380,KCC,20210323,1946,6808,-3853
111,A002380,KCC,20210322,4048,1075,-964
112,A002380,KCC,20210319,5471,-2491,604
113,A002380,KCC,20210318,-592,-30,4271
114,A002380,KCC,20210317,-2509,929,5159
115,A002380,KCC,20210316,-8052,755,10844
116,A002380,KCC,20210315,-9390,1510,11287
117,A002380,KCC,20210312,-7014,1408,5868
118,A002380,KCC,20210311,-6279,-769,7311
