,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A226360,KH E&T,20210827,656846,-739983,432112
1,A226360,KH E&T,20210826,758935,-778350,382495
2,A226360,KH E&T,20210825,753733,-750997,382495
3,A226360,KH E&T,20210824,751120,-744264,382495
4,A226360,KH E&T,20210823,849847,-840388,382495
5,A226360,KH E&T,20210820,825591,-818729,382495
6,A226360,KH E&T,20210819,134661,-55013,299226
7,A226360,KH E&T,20210818,-2520,74062,299226
8,A226360,KH E&T,20210817,-125907,179776,316715
9,A226360,KH E&T,20210813,-167268,278109,266439
10,A226360,KH E&T,20210812,-58124,186296,266439
11,A226360,KH E&T,20210811,50737,73296,266439
12,A226360,KH E&T,20210810,593969,-479764,266439
13,A226360,KH E&T,20210809,667737,-547639,266439
14,A226360,KH E&T,20210806,618167,-475787,266439
15,A226360,KH E&T,20210805,637534,-493336,266439
16,A226360,KH E&T,20210804,623491,-479242,266439
17,A226360,KH E&T,20210803,629739,-484402,266439
18,A226360,KH E&T,20210802,609396,-464810,266439
19,A226360,KH E&T,20210730,573176,-428390,266439
20,A226360,KH E&T,20210729,532725,-396778,266439
21,A226360,KH E&T,20210728,521370,-377898,266439
22,A226360,KH E&T,20210727,488662,-347239,266439
23,A226360,KH E&T,20210726,497175,-338463,250300
24,A226360,KH E&T,20210723,534738,-365278,250300
25,A226360,KH E&T,20210722,571420,-388840,239841
26,A226360,KH E&T,20210721,617338,-433165,239841
27,A226360,KH E&T,20210720,532915,-327220,239841
28,A226360,KH E&T,20210719,622266,-367694,192523
29,A226360,KH E&T,20210716,575234,-295349,168461
30,A226360,KH E&T,20210715,603417,-315331,168461
31,A226360,KH E&T,20210714,560961,-254800,168461
32,A226360,KH E&T,20210713,632382,-321908,169973
33,A226360,KH E&T,20210712,358276,-83452,168462
34,A226360,KH E&T,20210709,364480,-90176,168462
35,A226360,KH E&T,20210708,407061,-126836,168461
36,A226360,KH E&T,20210707,514173,-227690,168416
37,A226360,KH E&T,20210706,425571,-137452,168416
38,A226360,KH E&T,20210705,450405,-161636,168416
39,A226360,KH E&T,20210702,555843,-247161,146054
40,A226360,KH E&T,20210701,625762,-252007,82711
41,A226360,KH E&T,20210630,631772,-256891,82711
42,A226360,KH E&T,20210629,662077,-287113,82711
43,A226360,KH E&T,20210628,630568,-254124,82711
44,A226360,KH E&T,20210625,642266,-266239,82711
45,A226360,KH E&T,20210624,687213,-245689,36383
46,A226360,KH E&T,20210623,695317,-262990,36383
47,A226360,KH E&T,20210622,696858,-263609,36383
48,A226360,KH E&T,20210621,736614,-300596,36383
49,A226360,KH E&T,20210618,808951,-377069,36383
50,A226360,KH E&T,20210617,831074,-399172,36383
51,A226360,KH E&T,20210616,793667,-351188,36383
52,A226360,KH E&T,20210615,878949,-436682,36383
53,A226360,KH E&T,20210614,974984,-544212,36770
54,A226360,KH E&T,20210611,568812,-177418,90688
55,A226360,KH E&T,20210610,578004,-178413,90688
56,A226360,KH E&T,20210609,567271,-157618,90688
57,A226360,KH E&T,20210608,688337,-272817,90688
58,A226360,KH E&T,20210607,797311,-362353,90688
59,A226360,KH E&T,20210604,716365,-323930,112578
60,A226360,KH E&T,20210603,754952,-323259,90683
61,A226360,KH E&T,20210602,612775,-150803,53352
62,A226360,KH E&T,20210601,655227,-146841,7558
63,A226360,KH E&T,20210531,626185,-98417,-6441
64,A226360,KH E&T,20210528,658204,-69049,-59155
65,A226360,KH E&T,20210527,717533,-126976,-59155
66,A226360,KH E&T,20210526,677983,-75518,-59155
67,A226360,KH E&T,20210525,719837,-111872,-59155
68,A226360,KH E&T,20210524,862042,-251587,-59155
69,A226360,KH E&T,20210521,718456,-78604,-59155
70,A226360,KH E&T,20210520,653485,-12511,-59155
71,A226360,KH E&T,20210518,657799,-16825,-59155
72,A226360,KH E&T,20210517,737752,-94737,-59155
73,A226360,KH E&T,20210514,726444,-71834,-59156
74,A226360,KH E&T,20210513,748364,-87646,-59156
75,A226360,KH E&T,20210512,817608,-147380,-59156
76,A226360,KH E&T,20210511,665078,34739,-59156
77,A226360,KH E&T,20210510,661600,44497,-59156
78,A226360,KH E&T,20210507,681134,24964,-59156
79,A226360,KH E&T,20210506,729954,-16894,-59156
80,A226360,KH E&T,20210504,745353,-31291,-59156
81,A226360,KH E&T,20210503,724437,-2115,-59156
82,A226360,KH E&T,20210430,813087,-57111,-79648
83,A226360,KH E&T,20210429,735081,51513,-77270
84,A226360,KH E&T,20210428,743206,48049,-71677
85,A226360,KH E&T,20210427,717469,89786,-71677
86,A226360,KH E&T,20210426,691045,120920,-71677
87,A226360,KH E&T,20210423,716894,121871,-71677
88,A226360,KH E&T,20210422,737619,101045,-71677
89,A226360,KH E&T,20210421,792502,90585,-71677
90,A226360,KH E&T,20210420,806511,87033,-71677
91,A226360,KH E&T,20210419,809433,73850,-52470
92,A226360,KH E&T,20210416,744731,133184,-38958
93,A226360,KH E&T,20210415,775255,102660,-38958
94,A226360,KH E&T,20210414,747094,121454,-38958
95,A226360,KH E&T,20210413,755903,112671,-38958
96,A226360,KH E&T,20210412,718998,99134,16879
97,A226360,KH E&T,20210409,670083,148049,16879
98,A226360,KH E&T,20210408,711845,111187,16879
99,A226360,KH E&T,20210407,737208,90824,16879
100,A226360,KH E&T,20210406,748150,79882,16879
101,A226360,KH E&T,20210405,755439,75171,16879
102,A226360,KH E&T,20210402,827424,-16298,16879
103,A226360,KH E&T,20210401,847149,-31073,16879
104,A226360,KH E&T,20210331,828548,-9972,16879
105,A226360,KH E&T,20210330,869186,-47028,16879
106,A226360,KH E&T,20210329,946539,-113741,16879
107,A226360,KH E&T,20210326,951962,-123309,16879
108,A226360,KH E&T,20210325,978562,-129830,16879
109,A226360,KH E&T,20210324,969509,-112277,16879
110,A226360,KH E&T,20210323,1011266,-154234,16879
111,A226360,KH E&T,20210322,972162,-105690,4989
112,A226360,KH E&T,20210319,829743,41346,4602
113,A226360,KH E&T,20210318,804679,66390,4602
114,A226360,KH E&T,20210317,763301,107118,4602
115,A226360,KH E&T,20210316,906070,-36201,4602
116,A226360,KH E&T,20210315,886395,-12332,4602
117,A226360,KH E&T,20210312,939535,-64935,4602
118,A226360,KH E&T,20210311,988663,-113647,4602
