,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A272220,KINDEX 스마트모멘텀,20210827,213,0,-213
1,A272220,KINDEX 스마트모멘텀,20210826,872,0,-872
2,A272220,KINDEX 스마트모멘텀,20210825,1554,0,-1554
3,A272220,KINDEX 스마트모멘텀,20210824,-148,0,148
4,A272220,KINDEX 스마트모멘텀,20210823,-146,0,146
5,A272220,KINDEX 스마트모멘텀,20210820,-146,0,146
6,A272220,KINDEX 스마트모멘텀,20210819,-127,0,127
7,A272220,KINDEX 스마트모멘텀,20210818,-129,0,129
8,A272220,KINDEX 스마트모멘텀,20210817,182,0,-182
9,A272220,KINDEX 스마트모멘텀,20210813,178,0,-178
10,A272220,KINDEX 스마트모멘텀,20210812,173,0,-173
11,A272220,KINDEX 스마트모멘텀,20210811,173,0,-173
12,A272220,KINDEX 스마트모멘텀,20210810,192,0,-192
13,A272220,KINDEX 스마트모멘텀,20210809,190,0,-190
14,A272220,KINDEX 스마트모멘텀,20210806,179,0,-179
15,A272220,KINDEX 스마트모멘텀,20210805,181,0,-181
16,A272220,KINDEX 스마트모멘텀,20210804,162,0,-162
17,A272220,KINDEX 스마트모멘텀,20210803,163,0,-163
18,A272220,KINDEX 스마트모멘텀,20210802,164,0,-164
19,A272220,KINDEX 스마트모멘텀,20210730,170,0,-170
20,A272220,KINDEX 스마트모멘텀,20210729,180,0,-180
21,A272220,KINDEX 스마트모멘텀,20210728,150,0,-150
22,A272220,KINDEX 스마트모멘텀,20210727,146,0,-146
23,A272220,KINDEX 스마트모멘텀,20210726,146,0,-146
24,A272220,KINDEX 스마트모멘텀,20210723,222,0,-222
25,A272220,KINDEX 스마트모멘텀,20210722,223,0,-223
26,A272220,KINDEX 스마트모멘텀,20210721,224,0,-224
27,A272220,KINDEX 스마트모멘텀,20210720,223,0,-223
28,A272220,KINDEX 스마트모멘텀,20210719,285,0,-285
29,A272220,KINDEX 스마트모멘텀,20210716,285,0,-285
30,A272220,KINDEX 스마트모멘텀,20210715,285,0,-285
31,A272220,KINDEX 스마트모멘텀,20210714,286,0,-286
32,A272220,KINDEX 스마트모멘텀,20210713,275,0,-275
33,A272220,KINDEX 스마트모멘텀,20210712,281,0,-281
34,A272220,KINDEX 스마트모멘텀,20210709,286,0,-286
35,A272220,KINDEX 스마트모멘텀,20210708,295,0,-295
36,A272220,KINDEX 스마트모멘텀,20210707,289,0,-289
37,A272220,KINDEX 스마트모멘텀,20210706,189,0,-189
38,A272220,KINDEX 스마트모멘텀,20210705,181,0,-181
39,A272220,KINDEX 스마트모멘텀,20210702,182,0,-182
40,A272220,KINDEX 스마트모멘텀,20210701,189,0,-189
41,A272220,KINDEX 스마트모멘텀,20210630,156,0,-156
42,A272220,KINDEX 스마트모멘텀,20210629,171,0,-171
43,A272220,KINDEX 스마트모멘텀,20210628,171,0,-171
44,A272220,KINDEX 스마트모멘텀,20210625,172,0,-172
45,A272220,KINDEX 스마트모멘텀,20210624,172,0,-172
46,A272220,KINDEX 스마트모멘텀,20210623,161,0,-161
47,A272220,KINDEX 스마트모멘텀,20210622,161,0,-161
48,A272220,KINDEX 스마트모멘텀,20210621,173,0,-173
49,A272220,KINDEX 스마트모멘텀,20210618,172,0,-172
50,A272220,KINDEX 스마트모멘텀,20210617,193,0,-193
51,A272220,KINDEX 스마트모멘텀,20210616,239,0,-239
52,A272220,KINDEX 스마트모멘텀,20210615,241,0,-241
53,A272220,KINDEX 스마트모멘텀,20210614,231,0,-231
54,A272220,KINDEX 스마트모멘텀,20210611,501,0,-501
55,A272220,KINDEX 스마트모멘텀,20210610,505,0,-505
56,A272220,KINDEX 스마트모멘텀,20210609,505,0,-505
57,A272220,KINDEX 스마트모멘텀,20210608,499,0,-499
58,A272220,KINDEX 스마트모멘텀,20210607,499,0,-499
59,A272220,KINDEX 스마트모멘텀,20210604,521,0,-521
60,A272220,KINDEX 스마트모멘텀,20210603,418,0,-418
61,A272220,KINDEX 스마트모멘텀,20210602,420,0,-420
62,A272220,KINDEX 스마트모멘텀,20210601,298,0,-298
63,A272220,KINDEX 스마트모멘텀,20210531,297,0,-297
64,A272220,KINDEX 스마트모멘텀,20210528,326,0,-326
65,A272220,KINDEX 스마트모멘텀,20210527,47,0,-47
66,A272220,KINDEX 스마트모멘텀,20210526,48,0,-48
67,A272220,KINDEX 스마트모멘텀,20210525,46,0,-46
68,A272220,KINDEX 스마트모멘텀,20210524,42,0,-42
69,A272220,KINDEX 스마트모멘텀,20210521,36,0,-36
70,A272220,KINDEX 스마트모멘텀,20210520,39,0,-39
71,A272220,KINDEX 스마트모멘텀,20210518,39,0,-39
72,A272220,KINDEX 스마트모멘텀,20210517,43,0,-43
73,A272220,KINDEX 스마트모멘텀,20210514,42,0,-42
74,A272220,KINDEX 스마트모멘텀,20210513,43,0,-43
