,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A069500,KODEX 200,20210827,651481,26801,-1265607
1,A069500,KODEX 200,20210826,702814,25513,-1324436
2,A069500,KODEX 200,20210825,537553,-28297,-1091947
3,A069500,KODEX 200,20210824,685238,-46379,-1224832
4,A069500,KODEX 200,20210823,841690,91834,-1342123
5,A069500,KODEX 200,20210820,995088,41477,-1315738
6,A069500,KODEX 200,20210819,771439,97944,-1133735
7,A069500,KODEX 200,20210818,385159,43993,-670538
8,A069500,KODEX 200,20210817,437933,13687,-686188
9,A069500,KODEX 200,20210813,226286,3539,-459850
10,A069500,KODEX 200,20210812,-257929,36342,-38912
11,A069500,KODEX 200,20210811,-469350,21680,190503
12,A069500,KODEX 200,20210810,-870905,17934,473279
13,A069500,KODEX 200,20210809,-1329848,15625,853517
14,A069500,KODEX 200,20210806,-1410771,-134687,1086312
15,A069500,KODEX 200,20210805,-1602882,-221390,1365481
16,A069500,KODEX 200,20210804,-1644604,-467448,1649177
17,A069500,KODEX 200,20210803,-1092423,-502954,1129266
18,A069500,KODEX 200,20210802,-792917,-442166,771962
19,A069500,KODEX 200,20210730,-700812,-521447,758725
20,A069500,KODEX 200,20210729,-1109897,-461340,1129643
21,A069500,KODEX 200,20210728,-1188019,-484604,1232357
22,A069500,KODEX 200,20210727,-1041401,-413515,959155
23,A069500,KODEX 200,20210726,-926758,-402420,834896
24,A069500,KODEX 200,20210723,-1317631,-449537,1283882
25,A069500,KODEX 200,20210722,-1201577,-479099,1196920
26,A069500,KODEX 200,20210721,-656744,-471149,711675
27,A069500,KODEX 200,20210720,-1041257,-470452,1081361
28,A069500,KODEX 200,20210719,-1107037,-547947,1222280
29,A069500,KODEX 200,20210716,-1332651,-526528,1427588
30,A069500,KODEX 200,20210715,-1433878,-638359,1641073
31,A069500,KODEX 200,20210714,-1287550,-912652,1772470
32,A069500,KODEX 200,20210713,-1361160,-899675,1835504
33,A069500,KODEX 200,20210712,-1016106,-1030189,1613626
34,A069500,KODEX 200,20210709,-735553,-1088260,1379497
35,A069500,KODEX 200,20210708,-1026056,-867260,1261581
36,A069500,KODEX 200,20210707,-1433403,-1091461,1890470
37,A069500,KODEX 200,20210706,-1721911,-844673,1968915
38,A069500,KODEX 200,20210705,-1582753,-746208,1730244
39,A069500,KODEX 200,20210702,-1481774,-868691,1755457
40,A069500,KODEX 200,20210701,-1498229,-919599,1822995
41,A069500,KODEX 200,20210630,-1681850,-834572,1922897
42,A069500,KODEX 200,20210629,-1576938,-862721,1847158
43,A069500,KODEX 200,20210628,-1686753,-862708,1959417
44,A069500,KODEX 200,20210625,-1742016,-803077,1954255
45,A069500,KODEX 200,20210624,-1672039,-769613,1851097
46,A069500,KODEX 200,20210623,-1510169,-783172,1704594
47,A069500,KODEX 200,20210622,-1406786,-762549,1583176
48,A069500,KODEX 200,20210621,-1281751,-816918,1671000
49,A069500,KODEX 200,20210618,-1610299,-1049110,2232393
50,A069500,KODEX 200,20210617,-1532075,-1197782,2320289
51,A069500,KODEX 200,20210616,-1643879,-1088932,2323994
52,A069500,KODEX 200,20210615,-1477959,-1053645,2093477
53,A069500,KODEX 200,20210614,-1364111,-1041921,1908638
54,A069500,KODEX 200,20210611,-1291888,-1045149,1839885
55,A069500,KODEX 200,20210610,-1066809,-1120147,1685745
56,A069500,KODEX 200,20210609,-767485,-1060603,1326024
57,A069500,KODEX 200,20210608,-1200582,-1180334,1882916
58,A069500,KODEX 200,20210607,-1378169,-1158485,2065743
59,A069500,KODEX 200,20210604,-1426663,-1155565,2117024
60,A069500,KODEX 200,20210603,-1456634,-1102478,2108079
61,A069500,KODEX 200,20210602,-1099883,-1099127,1760192
62,A069500,KODEX 200,20210601,-1171543,-1097138,1817004
63,A069500,KODEX 200,20210531,-1139582,-1008158,1700373
64,A069500,KODEX 200,20210528,-978303,-954564,1484937
65,A069500,KODEX 200,20210527,-683163,-835408,1067343
66,A069500,KODEX 200,20210526,-686260,-814088,1051519
67,A069500,KODEX 200,20210525,-750798,-1382611,1684841
68,A069500,KODEX 200,20210524,-408216,-1328060,1288776
69,A069500,KODEX 200,20210521,-441895,-1432064,1429270
70,A069500,KODEX 200,20210520,-639729,-1472618,1672164
71,A069500,KODEX 200,20210518,-721599,-1490049,1780092
72,A069500,KODEX 200,20210517,-451180,-1390198,1413054
73,A069500,KODEX 200,20210514,-650393,-1355320,1654835
74,A069500,KODEX 200,20210513,-492749,-1133312,1284188
75,A069500,KODEX 200,20210512,-790899,-1091808,1478947
76,A069500,KODEX 200,20210511,-1339243,-1188077,2162558
77,A069500,KODEX 200,20210510,-1672164,-1126346,2489246
78,A069500,KODEX 200,20210507,-1376713,-1134899,2228823
79,A069500,KODEX 200,20210506,-1265752,-1092751,2183937
80,A069500,KODEX 200,20210504,-1235459,-1140526,2199627
81,A069500,KODEX 200,20210503,-1027332,-1065175,1915804
82,A069500,KODEX 200,20210430,-1015697,-1284506,2106411
83,A069500,KODEX 200,20210429,-1042350,-1320330,2175398
84,A069500,KODEX 200,20210428,-1140829,-1331877,2290430
85,A069500,KODEX 200,20210427,-1596962,-829914,2247719
86,A069500,KODEX 200,20210426,-1521206,655781,750509
87,A069500,KODEX 200,20210423,-1281639,1150894,12122
88,A069500,KODEX 200,20210422,-1104185,1042821,-49154
89,A069500,KODEX 200,20210421,-738460,1075245,-444345
90,A069500,KODEX 200,20210420,-1578020,4009033,-2614425
91,A069500,KODEX 200,20210419,-1287103,2292808,-1186586
92,A069500,KODEX 200,20210416,-1247131,2277134,-1208392
93,A069500,KODEX 200,20210415,-1410088,2292758,-1056208
94,A069500,KODEX 200,20210414,-1405557,781910,477829
95,A069500,KODEX 200,20210413,-1328903,-758788,2029881
96,A069500,KODEX 200,20210412,-887280,-786218,1604126
97,A069500,KODEX 200,20210409,-864579,-647727,1440760
98,A069500,KODEX 200,20210408,-1087699,-583533,1610478
99,A069500,KODEX 200,20210407,-1014877,-624973,1578937
100,A069500,KODEX 200,20210406,-921041,-602050,1464961
101,A069500,KODEX 200,20210405,-1026224,-579673,1556296
102,A069500,KODEX 200,20210402,-1096373,-584166,1634034
103,A069500,KODEX 200,20210401,-900270,-840385,1710210
104,A069500,KODEX 200,20210331,-694536,-817075,1476566
105,A069500,KODEX 200,20210330,-731612,-1563163,2272561
106,A069500,KODEX 200,20210329,-393778,-1560962,1928554
107,A069500,KODEX 200,20210326,-342912,-1605278,1922277
108,A069500,KODEX 200,20210325,76149,-1487309,1382816
109,A069500,KODEX 200,20210324,385023,-1524895,1105725
110,A069500,KODEX 200,20210323,260704,-1508751,1214576
111,A069500,KODEX 200,20210322,-413743,-1482074,1866223
112,A069500,KODEX 200,20210319,-346452,-1219226,1535325
113,A069500,KODEX 200,20210318,-429747,-1075658,1480928
114,A069500,KODEX 200,20210317,-276239,-1141318,1397629
115,A069500,KODEX 200,20210316,-576605,-1113565,1670079
116,A069500,KODEX 200,20210315,-515304,-1712903,2210706
117,A069500,KODEX 200,20210312,-627638,-1658040,2268208
118,A069500,KODEX 200,20210311,-324146,-1665079,1971001
