,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A337150,KODEX 200exTOP,20210827,-3,0,-25
1,A337150,KODEX 200exTOP,20210826,-3,0,-25
2,A337150,KODEX 200exTOP,20210825,-3,0,-25
3,A337150,KODEX 200exTOP,20210824,-9,0,-19
4,A337150,KODEX 200exTOP,20210823,-9,0,-19
5,A337150,KODEX 200exTOP,20210820,-15,0,-13
6,A337150,KODEX 200exTOP,20210819,-9,0,-19
7,A337150,KODEX 200exTOP,20210818,0,0,-28
8,A337150,KODEX 200exTOP,20210817,0,0,-28
9,A337150,KODEX 200exTOP,20210813,-19,0,-9
10,A337150,KODEX 200exTOP,20210812,-19,0,-9
11,A337150,KODEX 200exTOP,20210811,-26,0,98
12,A337150,KODEX 200exTOP,20210810,-46,0,118
13,A337150,KODEX 200exTOP,20210809,-46,0,118
14,A337150,KODEX 200exTOP,20210806,-47,0,119
15,A337150,KODEX 200exTOP,20210805,-42,0,114
16,A337150,KODEX 200exTOP,20210804,-11,0,83
17,A337150,KODEX 200exTOP,20210803,97,0,-25
18,A337150,KODEX 200exTOP,20210802,97,0,-25
19,A337150,KODEX 200exTOP,20210730,97,0,-25
20,A337150,KODEX 200exTOP,20210729,97,0,-25
21,A337150,KODEX 200exTOP,20210728,104,0,-32
22,A337150,KODEX 200exTOP,20210727,101,0,-29
23,A337150,KODEX 200exTOP,20210726,100,0,-28
24,A337150,KODEX 200exTOP,20210723,93,0,-21
25,A337150,KODEX 200exTOP,20210722,93,0,-21
26,A337150,KODEX 200exTOP,20210721,96,0,-28
27,A337150,KODEX 200exTOP,20210720,93,0,-25
28,A337150,KODEX 200exTOP,20210719,103,0,-35
29,A337150,KODEX 200exTOP,20210716,98,0,-30
30,A337150,KODEX 200exTOP,20210715,101,0,-33
31,A337150,KODEX 200exTOP,20210714,218,0,-150
32,A337150,KODEX 200exTOP,20210713,179,0,-111
33,A337150,KODEX 200exTOP,20210712,191,0,-123
34,A337150,KODEX 200exTOP,20210709,191,0,-123
35,A337150,KODEX 200exTOP,20210708,107,0,-39
