,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A315930,KODEX Top5PlusTR,20210827,-22426,-2900000,2933091
1,A315930,KODEX Top5PlusTR,20210826,-22639,-2900000,2933285
2,A315930,KODEX Top5PlusTR,20210825,-24418,-2900000,2935064
3,A315930,KODEX Top5PlusTR,20210824,-24550,-2900000,2935182
4,A315930,KODEX Top5PlusTR,20210823,-24302,-2900000,2934915
5,A315930,KODEX Top5PlusTR,20210820,-23456,-2899880,2933949
6,A315930,KODEX Top5PlusTR,20210819,-23246,-2900000,2933859
7,A315930,KODEX Top5PlusTR,20210818,-26648,-2899898,2937159
8,A315930,KODEX Top5PlusTR,20210817,-26674,-2900000,2937268
9,A315930,KODEX Top5PlusTR,20210813,-28822,-2900000,2939416
10,A315930,KODEX Top5PlusTR,20210812,-33598,-2900000,2944330
11,A315930,KODEX Top5PlusTR,20210811,-34502,-2900000,2945234
12,A315930,KODEX Top5PlusTR,20210810,-39523,-2900000,2950236
13,A315930,KODEX Top5PlusTR,20210809,-44172,-2899995,2954864
14,A315930,KODEX Top5PlusTR,20210806,-41725,-2900000,2952531
15,A315930,KODEX Top5PlusTR,20210805,-41398,-2900000,2952155
16,A315930,KODEX Top5PlusTR,20210804,-41217,-2899714,2951694
17,A315930,KODEX Top5PlusTR,20210803,-37521,-2899688,2947958
18,A315930,KODEX Top5PlusTR,20210802,-33982,-2899902,2944618
19,A315930,KODEX Top5PlusTR,20210730,-33349,-2900000,2944064
20,A315930,KODEX Top5PlusTR,20210729,-34577,-2899947,2945239
21,A315930,KODEX Top5PlusTR,20210728,-35088,-2899953,2945756
22,A315930,KODEX Top5PlusTR,20210727,-38179,-2899811,2948687
23,A315930,KODEX Top5PlusTR,20210726,-37882,-2900000,2948579
24,A315930,KODEX Top5PlusTR,20210723,-39749,-2899708,2950156
25,A315930,KODEX Top5PlusTR,20210722,-39437,-2900000,2950136
26,A315930,KODEX Top5PlusTR,20210721,-38753,-2900000,2949432
27,A315930,KODEX Top5PlusTR,20210720,-39824,-2899905,2950408
28,A315930,KODEX Top5PlusTR,20210719,-41154,-2900000,2951815
29,A315930,KODEX Top5PlusTR,20210716,-42038,-2899858,2952557
30,A315930,KODEX Top5PlusTR,20210715,-42214,-2899688,2952563
31,A315930,KODEX Top5PlusTR,20210714,-41127,-2899900,2951688
32,A315930,KODEX Top5PlusTR,20210713,-41237,-2899739,2951637
33,A315930,KODEX Top5PlusTR,20210712,-38732,-2900000,2949343
34,A315930,KODEX Top5PlusTR,20210709,-38116,-2900000,2948430
35,A315930,KODEX Top5PlusTR,20210708,-39832,-2899706,2949852
36,A315930,KODEX Top5PlusTR,20210707,-38437,-2899998,2948749
37,A315930,KODEX Top5PlusTR,20210706,-38904,-2899880,2949098
38,A315930,KODEX Top5PlusTR,20210705,-38247,-2899979,2948540
39,A315930,KODEX Top5PlusTR,20210702,-39882,-2900000,2950199
40,A315930,KODEX Top5PlusTR,20210701,-40904,-2900000,2951221
41,A315930,KODEX Top5PlusTR,20210630,-42799,-2899688,2952804
42,A315930,KODEX Top5PlusTR,20210629,-41745,-2899963,2952025
43,A315930,KODEX Top5PlusTR,20210628,-42348,-2900000,2952665
44,A315930,KODEX Top5PlusTR,20210625,-44363,-2899983,2954663
45,A315930,KODEX Top5PlusTR,20210624,-40905,-2899934,2951166
46,A315930,KODEX Top5PlusTR,20210623,-37753,-2899688,2947771
47,A315930,KODEX Top5PlusTR,20210622,-34244,196,44378
