,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A214980,KODEX 단기채권PLUS,20210827,-7416,-69,10313
1,A214980,KODEX 단기채권PLUS,20210826,-10652,-69,13549
2,A214980,KODEX 단기채권PLUS,20210825,-9880,-69,12789
3,A214980,KODEX 단기채권PLUS,20210824,-9191,-69,12187
4,A214980,KODEX 단기채권PLUS,20210823,-9338,-69,12338
5,A214980,KODEX 단기채권PLUS,20210820,-6892,-69,7714
6,A214980,KODEX 단기채권PLUS,20210819,-3893,-69,4735
7,A214980,KODEX 단기채권PLUS,20210818,-1309,-69,2154
8,A214980,KODEX 단기채권PLUS,20210817,-2318,-69,3495
9,A214980,KODEX 단기채권PLUS,20210813,-4200,-69,5412
10,A214980,KODEX 단기채권PLUS,20210812,-2201,-69,3318
11,A214980,KODEX 단기채권PLUS,20210811,-5306,-69,6424
12,A214980,KODEX 단기채권PLUS,20210810,-3484,-69,4607
13,A214980,KODEX 단기채권PLUS,20210809,-5181,-69,6302
14,A214980,KODEX 단기채권PLUS,20210806,-7188,-69,8309
15,A214980,KODEX 단기채권PLUS,20210805,-13691,-69,14813
16,A214980,KODEX 단기채권PLUS,20210804,-13124,-69,14216
17,A214980,KODEX 단기채권PLUS,20210803,-10028,-69,11553
18,A214980,KODEX 단기채권PLUS,20210802,-9882,-69,11407
19,A214980,KODEX 단기채권PLUS,20210730,-4564,-69,6088
20,A214980,KODEX 단기채권PLUS,20210729,-5033,-69,6558
21,A214980,KODEX 단기채권PLUS,20210728,-5808,-69,7281
22,A214980,KODEX 단기채권PLUS,20210727,-7212,-83,8499
23,A214980,KODEX 단기채권PLUS,20210726,-7604,-83,8895
24,A214980,KODEX 단기채권PLUS,20210723,-2864,-83,3704
25,A214980,KODEX 단기채권PLUS,20210722,-1412,-66,2232
26,A214980,KODEX 단기채권PLUS,20210721,5446,-66,-4646
27,A214980,KODEX 단기채권PLUS,20210720,5679,-83,-4862
28,A214980,KODEX 단기채권PLUS,20210719,5481,-83,-4665
29,A214980,KODEX 단기채권PLUS,20210716,8315,4,-7587
30,A214980,KODEX 단기채권PLUS,20210715,7000,4,-6273
31,A214980,KODEX 단기채권PLUS,20210714,8541,4,-7814
