,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210827,563981,0,-568819
1,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210826,571298,30,-576100
2,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210825,578024,0,-582752
3,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210824,579916,3,-584647
4,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210823,580396,172,-585210
5,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210820,586445,152,-591230
6,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210819,587098,0,-591721
7,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210818,588203,0,-592779
8,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210817,591485,0,-596059
9,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210813,592505,159,-597237
10,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210812,593605,62,-598170
11,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210811,623957,170,-628629
12,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210810,631733,64,-636300
13,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210809,630631,0,-635038
14,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210806,637574,0,-641769
15,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210805,634729,0,-639081
16,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210804,629791,0,-634143
17,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210803,629434,0,-633685
18,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210802,628671,172,-632982
19,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210730,625261,0,-629397
20,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210729,625144,98,-629377
21,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210728,624335,0,-628461
22,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210727,625484,0,-629365
23,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210726,624316,0,-628214
24,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210723,623514,22,-627424
25,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210722,623551,22,-627455
26,A276970,KODEX 미국S&P고배당커버드콜(합성 H),20210721,622565,172,-626619
