,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A308620,KODEX 미국채10년선물,20210827,199697,0,-211861
1,A308620,KODEX 미국채10년선물,20210826,191947,0,-204106
2,A308620,KODEX 미국채10년선물,20210825,187756,0,-199914
3,A308620,KODEX 미국채10년선물,20210824,183610,0,-195683
4,A308620,KODEX 미국채10년선물,20210823,181162,0,-193235
5,A308620,KODEX 미국채10년선물,20210820,178597,0,-190666
6,A308620,KODEX 미국채10년선물,20210819,176305,0,-188327
7,A308620,KODEX 미국채10년선물,20210818,178823,0,-190845
8,A308620,KODEX 미국채10년선물,20210817,171807,0,-183827
9,A308620,KODEX 미국채10년선물,20210813,160664,0,-172384
10,A308620,KODEX 미국채10년선물,20210812,162681,0,-174401
11,A308620,KODEX 미국채10년선물,20210811,163323,0,-175043
12,A308620,KODEX 미국채10년선물,20210810,163891,0,-175611
13,A308620,KODEX 미국채10년선물,20210809,168046,0,-180566
14,A308620,KODEX 미국채10년선물,20210806,170665,0,-183185
15,A308620,KODEX 미국채10년선물,20210805,172283,0,-184801
16,A308620,KODEX 미국채10년선물,20210804,167702,0,-180220
17,A308620,KODEX 미국채10년선물,20210803,165559,0,-178077
18,A308620,KODEX 미국채10년선물,20210802,163324,0,-175837
19,A308620,KODEX 미국채10년선물,20210730,160421,0,-167234
20,A308620,KODEX 미국채10년선물,20210729,159055,0,-165970
21,A308620,KODEX 미국채10년선물,20210728,151365,0,-158278
22,A308620,KODEX 미국채10년선물,20210727,154989,0,-161897
23,A308620,KODEX 미국채10년선물,20210726,152764,0,-158870
24,A308620,KODEX 미국채10년선물,20210723,155819,0,-161925
25,A308620,KODEX 미국채10년선물,20210722,158066,0,-164516
26,A308620,KODEX 미국채10년선물,20210721,149355,0,-155801
27,A308620,KODEX 미국채10년선물,20210720,142571,0,-149485
28,A308620,KODEX 미국채10년선물,20210719,137737,0,-144651
29,A308620,KODEX 미국채10년선물,20210716,124201,0,-126115
30,A308620,KODEX 미국채10년선물,20210715,119240,0,-121149
31,A308620,KODEX 미국채10년선물,20210714,119881,0,-121690
32,A308620,KODEX 미국채10년선물,20210713,116884,0,-118837
33,A308620,KODEX 미국채10년선물,20210712,114295,0,-116056
34,A308620,KODEX 미국채10년선물,20210709,114284,0,-116022
35,A308620,KODEX 미국채10년선물,20210708,116970,0,-118708
36,A308620,KODEX 미국채10년선물,20210707,116125,0,-117863
37,A308620,KODEX 미국채10년선물,20210706,118275,0,-120013
38,A308620,KODEX 미국채10년선물,20210705,115302,0,-117040
39,A308620,KODEX 미국채10년선물,20210702,115051,0,-116791
40,A308620,KODEX 미국채10년선물,20210701,114608,0,-116610
41,A308620,KODEX 미국채10년선물,20210630,117369,0,-119371
42,A308620,KODEX 미국채10년선물,20210629,109891,0,-111883
43,A308620,KODEX 미국채10년선물,20210628,107784,0,-109776
44,A308620,KODEX 미국채10년선물,20210625,103741,0,-105723
45,A308620,KODEX 미국채10년선물,20210624,101951,0,-103933
46,A308620,KODEX 미국채10년선물,20210623,101883,0,-103865
47,A308620,KODEX 미국채10년선물,20210622,106240,0,-108222
48,A308620,KODEX 미국채10년선물,20210621,113896,0,-115878
49,A308620,KODEX 미국채10년선물,20210618,104423,0,-106448
50,A308620,KODEX 미국채10년선물,20210617,101457,0,-103480
51,A308620,KODEX 미국채10년선물,20210616,111853,0,-114126
52,A308620,KODEX 미국채10년선물,20210615,102059,0,-104332
53,A308620,KODEX 미국채10년선물,20210614,100136,0,-102344
54,A308620,KODEX 미국채10년선물,20210611,100431,0,-102640
55,A308620,KODEX 미국채10년선물,20210610,99258,0,-101467
56,A308620,KODEX 미국채10년선물,20210609,97660,0,-99869
57,A308620,KODEX 미국채10년선물,20210608,95763,0,-97972
58,A308620,KODEX 미국채10년선물,20210607,95605,0,-97809
59,A308620,KODEX 미국채10년선물,20210604,94898,0,-97102
60,A308620,KODEX 미국채10년선물,20210603,92394,0,-94598
61,A308620,KODEX 미국채10년선물,20210602,87727,0,-89930
62,A308620,KODEX 미국채10년선물,20210601,86784,0,-88985
63,A308620,KODEX 미국채10년선물,20210531,79071,0,-81271
64,A308620,KODEX 미국채10년선물,20210528,74372,0,-76572
65,A308620,KODEX 미국채10년선물,20210527,57351,0,-59322
66,A308620,KODEX 미국채10년선물,20210526,59475,0,-61446
67,A308620,KODEX 미국채10년선물,20210525,52328,0,-54300
