,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A251350,KODEX 선진국MSCI World,20210827,608946,0,-592335
1,A251350,KODEX 선진국MSCI World,20210826,613250,0,-596639
2,A251350,KODEX 선진국MSCI World,20210825,610995,0,-594343
3,A251350,KODEX 선진국MSCI World,20210824,608775,0,-592114
4,A251350,KODEX 선진국MSCI World,20210823,600965,0,-584310
5,A251350,KODEX 선진국MSCI World,20210820,598862,0,-582197
6,A251350,KODEX 선진국MSCI World,20210819,606445,36,-592120
7,A251350,KODEX 선진국MSCI World,20210818,609172,0,-594794
8,A251350,KODEX 선진국MSCI World,20210817,594101,52,-579716
9,A251350,KODEX 선진국MSCI World,20210813,590223,72,-575858
10,A251350,KODEX 선진국MSCI World,20210812,587836,932,-574282
11,A251350,KODEX 선진국MSCI World,20210811,582740,0,-568244
12,A251350,KODEX 선진국MSCI World,20210810,586125,17,-571646
13,A251350,KODEX 선진국MSCI World,20210809,582676,0,-567980
14,A251350,KODEX 선진국MSCI World,20210806,568554,0,-553851
15,A251350,KODEX 선진국MSCI World,20210805,560630,29,-545756
16,A251350,KODEX 선진국MSCI World,20210804,557035,4,-542086
17,A251350,KODEX 선진국MSCI World,20210803,541772,4,-526481
18,A251350,KODEX 선진국MSCI World,20210802,530032,0,-514753
19,A251350,KODEX 선진국MSCI World,20210730,539236,5,-523952
20,A251350,KODEX 선진국MSCI World,20210729,535390,0,-520108
21,A251350,KODEX 선진국MSCI World,20210728,531423,0,-515835
22,A251350,KODEX 선진국MSCI World,20210727,531342,0,-515738
23,A251350,KODEX 선진국MSCI World,20210726,528553,0,-512850
24,A251350,KODEX 선진국MSCI World,20210723,531122,0,-515621
25,A251350,KODEX 선진국MSCI World,20210722,529774,0,-514275
26,A251350,KODEX 선진국MSCI World,20210721,532344,0,-516845
27,A251350,KODEX 선진국MSCI World,20210720,529914,22,-514549
28,A251350,KODEX 선진국MSCI World,20210719,532155,0,-519512
29,A251350,KODEX 선진국MSCI World,20210716,527800,0,-515146
30,A251350,KODEX 선진국MSCI World,20210715,523201,49,-510214
31,A251350,KODEX 선진국MSCI World,20210714,516735,13,-503694
32,A251350,KODEX 선진국MSCI World,20210713,511222,35,-497652
33,A251350,KODEX 선진국MSCI World,20210712,506047,0,-492323
34,A251350,KODEX 선진국MSCI World,20210709,500975,0,-487181
35,A251350,KODEX 선진국MSCI World,20210708,492720,0,-478746
36,A251350,KODEX 선진국MSCI World,20210707,494651,0,-480228
37,A251350,KODEX 선진국MSCI World,20210706,494392,0,-479965
38,A251350,KODEX 선진국MSCI World,20210705,491867,0,-477422
39,A251350,KODEX 선진국MSCI World,20210702,494324,0,-479912
40,A251350,KODEX 선진국MSCI World,20210701,501248,77,-486957
41,A251350,KODEX 선진국MSCI World,20210630,503576,49,-489232
42,A251350,KODEX 선진국MSCI World,20210629,498179,89,-483674
43,A251350,KODEX 선진국MSCI World,20210628,477694,19,-463068
44,A251350,KODEX 선진국MSCI World,20210625,481957,0,-467600
45,A251350,KODEX 선진국MSCI World,20210624,477470,36,-463047
46,A251350,KODEX 선진국MSCI World,20210623,475388,77,-461006
47,A251350,KODEX 선진국MSCI World,20210622,477225,77,-462803
48,A251350,KODEX 선진국MSCI World,20210621,476786,0,-462224
49,A251350,KODEX 선진국MSCI World,20210618,467491,14,-452827
50,A251350,KODEX 선진국MSCI World,20210617,469592,94,-454982
51,A251350,KODEX 선진국MSCI World,20210616,450585,0,-435881
52,A251350,KODEX 선진국MSCI World,20210615,436660,9,-420896
53,A251350,KODEX 선진국MSCI World,20210614,434252,0,-418479
54,A251350,KODEX 선진국MSCI World,20210611,430298,0,-414525
55,A251350,KODEX 선진국MSCI World,20210610,423375,49,-406652
56,A251350,KODEX 선진국MSCI World,20210609,418351,0,-401297
57,A251350,KODEX 선진국MSCI World,20210608,412604,0,-395555
58,A251350,KODEX 선진국MSCI World,20210607,417781,69,-400892
59,A251350,KODEX 선진국MSCI World,20210604,406771,94,-389906
60,A251350,KODEX 선진국MSCI World,20210603,401402,0,-384156
61,A251350,KODEX 선진국MSCI World,20210602,398894,94,-381501
62,A251350,KODEX 선진국MSCI World,20210601,398282,94,-381456
63,A251350,KODEX 선진국MSCI World,20210531,389181,62,-372315
64,A251350,KODEX 선진국MSCI World,20210528,385736,62,-368870
65,A251350,KODEX 선진국MSCI World,20210527,387390,0,-370462
66,A251350,KODEX 선진국MSCI World,20210526,378694,0,-361765
67,A251350,KODEX 선진국MSCI World,20210525,371682,94,-354794
68,A251350,KODEX 선진국MSCI World,20210524,362959,8,-346051
