,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A032640,LG유플러스,20210827,-17922697,15436754,3368709
1,A032640,LG유플러스,20210826,-17945246,15580081,3236690
2,A032640,LG유플러스,20210825,-17800003,15423466,3223839
3,A032640,LG유플러스,20210824,-17960216,15594300,3212936
4,A032640,LG유플러스,20210823,-18084934,15603733,3334979
5,A032640,LG유플러스,20210820,-17675812,15280129,3238660
6,A032640,LG유플러스,20210819,-17259558,15004423,3073634
7,A032640,LG유플러스,20210818,-17232944,15011385,3042041
8,A032640,LG유플러스,20210817,-17008011,14837478,2937338
9,A032640,LG유플러스,20210813,-17073887,14859039,2975233
10,A032640,LG유플러스,20210812,-16949797,15039900,2681462
11,A032640,LG유플러스,20210811,-17252249,15069170,2956922
12,A032640,LG유플러스,20210810,-16900925,14963335,2722598
13,A032640,LG유플러스,20210809,-16881595,14930629,2738671
14,A032640,LG유플러스,20210806,-17121861,14945078,2965479
15,A032640,LG유플러스,20210805,-17750916,15460261,3080401
16,A032640,LG유플러스,20210804,-17619197,15789985,2594456
17,A032640,LG유플러스,20210803,-17320966,15732815,2346628
18,A032640,LG유플러스,20210802,-17351834,16078147,2058213
19,A032640,LG유플러스,20210730,-17569674,16429539,1936560
20,A032640,LG유플러스,20210729,-18034435,16982445,1853206
21,A032640,LG유플러스,20210728,-17765261,16982703,1590981
22,A032640,LG유플러스,20210727,-17198095,16957861,1048292
23,A032640,LG유플러스,20210726,-17356180,17057723,1106331
24,A032640,LG유플러스,20210723,-17304481,17138363,973826
25,A032640,LG유플러스,20210722,-17214205,17384072,633769
26,A032640,LG유플러스,20210721,-16368250,17387702,-215332
27,A032640,LG유플러스,20210720,-16223139,17442126,-423300
28,A032640,LG유플러스,20210719,-16434768,17606965,-360528
29,A032640,LG유플러스,20210716,-16214849,17636751,-625860
30,A032640,LG유플러스,20210715,-16302200,17542933,-460072
31,A032640,LG유플러스,20210714,-16467058,17679339,-429320
32,A032640,LG유플러스,20210713,-16289101,17288906,-224587
33,A032640,LG유플러스,20210712,-16238765,17311105,-307657
34,A032640,LG유플러스,20210709,-16169503,17229815,-295520
35,A032640,LG유플러스,20210708,-15908316,17195569,-517217
36,A032640,LG유플러스,20210707,-16011089,16780895,-177564
37,A032640,LG유플러스,20210706,-16216613,16663817,156192
38,A032640,LG유플러스,20210705,-16225226,16553437,279884
39,A032640,LG유플러스,20210702,-16594911,16675537,530442
40,A032640,LG유플러스,20210701,-16444235,16331166,534366
41,A032640,LG유플러스,20210630,-17073375,16612372,874645
42,A032640,LG유플러스,20210629,-16882126,16531096,760313
43,A032640,LG유플러스,20210628,-17153388,16362137,1196697
44,A032640,LG유플러스,20210625,-17319545,16292858,1173547
45,A032640,LG유플러스,20210624,-16925162,16063119,884667
46,A032640,LG유플러스,20210623,-16780058,16044577,751075
47,A032640,LG유플러스,20210622,-15748081,15626130,131931
48,A032640,LG유플러스,20210621,-15770516,15600429,178712
49,A032640,LG유플러스,20210618,-15707360,15209836,482515
50,A032640,LG유플러스,20210617,-15657155,15180232,340078
51,A032640,LG유플러스,20210616,-15762170,15248138,387913
52,A032640,LG유플러스,20210615,-15627460,15255890,227424
53,A032640,LG유플러스,20210614,-15255037,15345697,-236417
54,A032640,LG유플러스,20210611,-15206726,15107898,-249433
55,A032640,LG유플러스,20210610,-15007363,15233197,-659719
56,A032640,LG유플러스,20210609,-15245978,15702683,-480295
57,A032640,LG유플러스,20210608,-14580984,15300251,-743168
58,A032640,LG유플러스,20210607,-14532314,15237159,-729528
59,A032640,LG유플러스,20210604,-14203006,15229398,-1051697
60,A032640,LG유플러스,20210603,-15073202,14900798,-454763
61,A032640,LG유플러스,20210602,-14406552,14458909,-695619
62,A032640,LG유플러스,20210601,-14364035,14060331,-364904
63,A032640,LG유플러스,20210531,-13768581,13705854,-543067
64,A032640,LG유플러스,20210528,-12806122,13228034,-489893
65,A032640,LG유플러스,20210527,-12202998,12934811,-812131
66,A032640,LG유플러스,20210526,-12751937,13340612,-1105000
67,A032640,LG유플러스,20210525,-12658696,13229588,-1069522
68,A032640,LG유플러스,20210524,-12763460,13375581,-1088000
69,A032640,LG유플러스,20210521,-11780964,12944655,-1629390
70,A032640,LG유플러스,20210520,-11631410,12653932,-1517901
71,A032640,LG유플러스,20210518,-11450594,12096217,-1240809
72,A032640,LG유플러스,20210517,-11036310,11722408,-1383285
73,A032640,LG유플러스,20210514,-10228682,11126836,-1066916
74,A032640,LG유플러스,20210513,-10279396,10737041,-632129
75,A032640,LG유플러스,20210512,-9723767,9932021,-333892
76,A032640,LG유플러스,20210511,-9427574,10080339,-950092
77,A032640,LG유플러스,20210510,-8497620,9518866,-1462376
78,A032640,LG유플러스,20210507,-8306943,9407651,-1562596
