,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A008260,NI스틸,20210827,-516397,883868,-132227
1,A008260,NI스틸,20210826,-516122,882632,-131265
2,A008260,NI스틸,20210825,-486524,853436,-131266
3,A008260,NI스틸,20210824,-487866,854884,-131472
4,A008260,NI스틸,20210823,-456876,820621,-128922
5,A008260,NI스틸,20210820,-403770,767453,-129161
6,A008260,NI스틸,20210819,-358635,725266,-131959
7,A008260,NI스틸,20210818,-358659,725384,-131353
8,A008260,NI스틸,20210817,-329297,694775,-131379
9,A008260,NI스틸,20210813,-297456,670726,-138759
10,A008260,NI스틸,20210812,-254913,628827,-138768
11,A008260,NI스틸,20210811,-229348,602049,-138155
12,A008260,NI스틸,20210810,-223552,596130,-138122
13,A008260,NI스틸,20210809,-215861,587670,-137827
14,A008260,NI스틸,20210806,-226414,594961,-137858
15,A008260,NI스틸,20210805,-230549,598795,-137522
16,A008260,NI스틸,20210804,-226627,594705,-137753
17,A008260,NI스틸,20210803,-193814,561671,-137631
18,A008260,NI스틸,20210802,-213420,576772,-132545
19,A008260,NI스틸,20210730,-234713,607830,-141831
20,A008260,NI스틸,20210729,-219850,592998,-141827
21,A008260,NI스틸,20210728,-213775,584508,-140392
22,A008260,NI스틸,20210727,-215293,586857,-140533
23,A008260,NI스틸,20210726,-119166,490919,-140692
24,A008260,NI스틸,20210723,-135357,507146,-140688
25,A008260,NI스틸,20210722,-78593,450280,-140691
26,A008260,NI스틸,20210721,-33851,405439,-140683
27,A008260,NI스틸,20210720,-42879,414675,-140670
28,A008260,NI스틸,20210719,-2335,366706,-133337
29,A008260,NI스틸,20210716,-11068,372370,-133324
30,A008260,NI스틸,20210715,8802,354146,-133179
31,A008260,NI스틸,20210714,47565,316927,-133001
32,A008260,NI스틸,20210713,65334,308174,-142417
33,A008260,NI스틸,20210712,120828,250905,-142444
34,A008260,NI스틸,20210709,151141,223185,-142429
35,A008260,NI스틸,20210708,150164,171121,-90366
36,A008260,NI스틸,20210707,143070,171931,-83351
37,A008260,NI스틸,20210706,157107,160464,-85656
38,A008260,NI스틸,20210705,172571,140332,-80978
39,A008260,NI스틸,20210702,165146,144395,-77349
40,A008260,NI스틸,20210701,162630,150896,-81543
41,A008260,NI스틸,20210630,158419,155013,-81298
42,A008260,NI스틸,20210629,149451,168480,-85547
43,A008260,NI스틸,20210628,-13439,277094,-29652
44,A008260,NI스틸,20210625,98930,167055,-34152
45,A008260,NI스틸,20210624,15590,258680,-43417
46,A008260,NI스틸,20210623,104405,220229,-93682
47,A008260,NI스틸,20210622,69328,252040,-90648
48,A008260,NI스틸,20210621,111590,206835,-86982
49,A008260,NI스틸,20210618,111196,212667,-91789
50,A008260,NI스틸,20210617,111155,208847,-86376
51,A008260,NI스틸,20210616,68335,246636,-83919
52,A008260,NI스틸,20210615,58011,256095,-84931
53,A008260,NI스틸,20210614,64034,240362,-79381
54,A008260,NI스틸,20210611,-208540,505319,-73124
55,A008260,NI스틸,20210610,-137054,426752,-64796
56,A008260,NI스틸,20210609,-105935,395122,-64633
57,A008260,NI스틸,20210608,-80948,371193,-64662
58,A008260,NI스틸,20210607,-55058,341981,-59782
59,A008260,NI스틸,20210604,-154688,438372,-52983
60,A008260,NI스틸,20210603,-91997,375945,-52985
61,A008260,NI스틸,20210602,-162811,436531,-42217
62,A008260,NI스틸,20210601,-188534,466415,-46824
63,A008260,NI스틸,20210531,-186323,479615,-57985
64,A008260,NI스틸,20210528,-239954,547991,-61353
65,A008260,NI스틸,20210527,-256879,567706,-61356
66,A008260,NI스틸,20210526,-374968,685484,-62327
67,A008260,NI스틸,20210525,-283878,589862,-57676
68,A008260,NI스틸,20210524,-257740,562480,-55595
69,A008260,NI스틸,20210521,-12422,271291,-38841
70,A008260,NI스틸,20210520,1798,237014,-18603
71,A008260,NI스틸,20210518,-20279,236815,-3
72,A008260,NI스틸,20210517,-92606,312687,-78
73,A008260,NI스틸,20210514,-170492,386116,1615
74,A008260,NI스틸,20210513,-96406,314168,1481
75,A008260,NI스틸,20210512,160,215137,-256
76,A008260,NI스틸,20210511,16570,189270,-277
