,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A005490,POSCO,20210827,1625709,961830,-2623964
1,A005490,POSCO,20210826,1555602,1065039,-2656197
2,A005490,POSCO,20210825,1509040,1091383,-2637329
3,A005490,POSCO,20210824,1569931,1030497,-2637514
4,A005490,POSCO,20210823,1591999,1088395,-2717405
5,A005490,POSCO,20210820,1587044,1100181,-2723377
6,A005490,POSCO,20210819,1573160,1070666,-2681505
7,A005490,POSCO,20210818,1474099,1122959,-2637718
8,A005490,POSCO,20210817,1444745,1171909,-2657163
9,A005490,POSCO,20210813,1317587,1289934,-2645750
10,A005490,POSCO,20210812,1384993,1233060,-2660961
11,A005490,POSCO,20210811,1297543,1256310,-2598466
12,A005490,POSCO,20210810,1508913,1115637,-2671586
13,A005490,POSCO,20210809,1489243,1098620,-2633669
14,A005490,POSCO,20210806,1384604,1128773,-2555716
15,A005490,POSCO,20210805,1275564,1175112,-2492239
16,A005490,POSCO,20210804,1265418,1199072,-2508316
17,A005490,POSCO,20210803,1348280,1173013,-2567847
18,A005490,POSCO,20210802,998223,1380482,-2423495
19,A005490,POSCO,20210730,944590,1431861,-2420107
20,A005490,POSCO,20210729,1108981,1347007,-2506068
21,A005490,POSCO,20210728,1036307,1444680,-2532377
22,A005490,POSCO,20210727,1088603,1417029,-2557132
23,A005490,POSCO,20210726,1369036,1234312,-2651115
24,A005490,POSCO,20210723,1447968,1176229,-2673489
25,A005490,POSCO,20210722,1771414,993545,-2811444
26,A005490,POSCO,20210721,2050013,795191,-2894692
27,A005490,POSCO,20210720,2059404,781951,-2897090
28,A005490,POSCO,20210719,1946181,844484,-2843898
29,A005490,POSCO,20210716,1892552,846964,-2791915
30,A005490,POSCO,20210715,1783663,926509,-2760476
31,A005490,POSCO,20210714,1879672,850860,-2781108
32,A005490,POSCO,20210713,1842934,865487,-2757811
33,A005490,POSCO,20210712,1826698,895923,-2772078
34,A005490,POSCO,20210709,2093080,688146,-2829820
35,A005490,POSCO,20210708,1924080,849088,-2814839
36,A005490,POSCO,20210707,1989597,724151,-2755982
37,A005490,POSCO,20210706,1850636,760337,-2651985
38,A005490,POSCO,20210705,1806818,784591,-2633405
39,A005490,POSCO,20210702,1758992,816112,-2618311
40,A005490,POSCO,20210701,1731838,818580,-2597011
41,A005490,POSCO,20210630,1704259,817654,-2570674
42,A005490,POSCO,20210629,1668383,839972,-2553639
43,A005490,POSCO,20210628,1567518,863012,-2482201
44,A005490,POSCO,20210625,1600282,862786,-2507786
45,A005490,POSCO,20210624,1661893,812233,-2509008
46,A005490,POSCO,20210623,1847588,741472,-2623321
47,A005490,POSCO,20210622,1735756,821999,-2592965
48,A005490,POSCO,20210621,1796667,750897,-2580377
49,A005490,POSCO,20210618,1695210,774113,-2501708
50,A005490,POSCO,20210617,1593640,808800,-2435764
51,A005490,POSCO,20210616,1445565,875912,-2354699
52,A005490,POSCO,20210615,1446989,885030,-2361746
53,A005490,POSCO,20210614,1382722,935608,-2348089
54,A005490,POSCO,20210611,1232044,1011126,-2270407
55,A005490,POSCO,20210610,1340740,1009009,-2373849
56,A005490,POSCO,20210609,1315836,867701,-2205769
57,A005490,POSCO,20210608,1151317,976230,-2147092
58,A005490,POSCO,20210607,1100100,1038169,-2155457
59,A005490,POSCO,20210604,1006657,1074030,-2095662
60,A005490,POSCO,20210603,895507,1117793,-2026129
61,A005490,POSCO,20210602,667386,1278936,-1954766
62,A005490,POSCO,20210601,631642,1287613,-1927663
63,A005490,POSCO,20210531,424405,1438110,-1867808
64,A005490,POSCO,20210528,368848,1431424,-1803602
65,A005490,POSCO,20210527,242367,1554069,-1795738
66,A005490,POSCO,20210526,256459,1544331,-1798864
67,A005490,POSCO,20210525,151888,1547045,-1695008
68,A005490,POSCO,20210524,125873,1583293,-1705033
69,A005490,POSCO,20210521,77706,1599280,-1672527
70,A005490,POSCO,20210520,49959,1620813,-1666795
71,A005490,POSCO,20210518,-215603,1755597,-1539452
72,A005490,POSCO,20210517,-115091,1725969,-1611344
73,A005490,POSCO,20210514,-203487,1792761,-1591706
74,A005490,POSCO,20210513,-192236,1738110,-1548394
75,A005490,POSCO,20210512,-208989,1765120,-1560044
76,A005490,POSCO,20210511,-320240,1921335,-1596290
77,A005490,POSCO,20210510,-395776,1970263,-1568701
78,A005490,POSCO,20210507,-313338,1920419,-1606010
79,A005490,POSCO,20210506,-305098,1907752,-1602139
80,A005490,POSCO,20210504,-141903,1758416,-1620618
81,A005490,POSCO,20210503,-52665,1687047,-1642502
82,A005490,POSCO,20210430,-13601,1629670,-1624714
83,A005490,POSCO,20210429,-34037,1637291,-1610754
84,A005490,POSCO,20210428,-13927,1644794,-1638408
85,A005490,POSCO,20210427,-113394,1760199,-1653767
86,A005490,POSCO,20210426,-50325,1728955,-1686841
87,A005490,POSCO,20210423,-23905,1706134,-1689435
88,A005490,POSCO,20210422,-844,1698624,-1704273
89,A005490,POSCO,20210421,12709,1643077,-1662717
90,A005490,POSCO,20210420,-73235,1640352,-1574656
91,A005490,POSCO,20210419,-55245,1589933,-1539784
92,A005490,POSCO,20210416,44749,1481726,-1529545
93,A005490,POSCO,20210415,1366,1487786,-1489937
94,A005490,POSCO,20210414,146774,1318370,-1467397
95,A005490,POSCO,20210413,266393,1178915,-1449904
96,A005490,POSCO,20210412,168703,1128736,-1305250
97,A005490,POSCO,20210409,121613,1132300,-1259143
98,A005490,POSCO,20210408,103624,1138195,-1247898
99,A005490,POSCO,20210407,150322,1067367,-1224145
100,A005490,POSCO,20210406,143458,1062084,-1210946
101,A005490,POSCO,20210405,53341,1122975,-1172122
102,A005490,POSCO,20210402,253936,999558,-1252834
103,A005490,POSCO,20210401,240534,1025730,-1264245
104,A005490,POSCO,20210331,226116,1030848,-1252458
105,A005490,POSCO,20210330,183723,1037604,-1216726
106,A005490,POSCO,20210329,141322,1079757,-1216651
107,A005490,POSCO,20210326,257479,994770,-1254775
108,A005490,POSCO,20210325,360223,929453,-1291981
109,A005490,POSCO,20210324,371264,912561,-1286251
110,A005490,POSCO,20210323,322647,954612,-1279243
111,A005490,POSCO,20210322,493589,755225,-1252322
112,A005490,POSCO,20210319,613736,722356,-1339430
113,A005490,POSCO,20210318,487955,778619,-1272799
114,A005490,POSCO,20210317,437844,767254,-1213167
115,A005490,POSCO,20210316,223195,947989,-1181891
116,A005490,POSCO,20210315,176203,1007334,-1193727
117,A005490,POSCO,20210312,245184,994870,-1251602
