,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A049470,SGA,20210827,497907,239416,-560342
1,A049470,SGA,20210826,511315,226012,-560342
2,A049470,SGA,20210825,527722,210505,-560342
3,A049470,SGA,20210824,509663,272168,-560342
4,A049470,SGA,20210823,545734,236089,-560342
5,A049470,SGA,20210820,589502,191930,-560342
6,A049470,SGA,20210819,686922,94550,-560342
7,A049470,SGA,20210818,686312,95624,-551142
8,A049470,SGA,20210817,877606,-85659,-543742
9,A049470,SGA,20210813,988983,-195746,-543742
10,A049470,SGA,20210812,1080975,-286854,-543742
11,A049470,SGA,20210811,1103928,-308706,-543742
12,A049470,SGA,20210810,1112956,-319563,-543742
13,A049470,SGA,20210809,1120469,-330570,-540000
14,A049470,SGA,20210806,1102733,-311963,-540000
15,A049470,SGA,20210805,1025918,-228127,-540000
16,A049470,SGA,20210804,874601,-26806,-540000
17,A049470,SGA,20210803,850161,36702,-540000
18,A049470,SGA,20210802,764942,130684,-540000
19,A049470,SGA,20210730,772447,119994,-540000
20,A049470,SGA,20210729,615426,284727,-540000
21,A049470,SGA,20210728,660520,238121,-540000
22,A049470,SGA,20210727,616404,282133,-540000
23,A049470,SGA,20210726,622669,265285,-540000
24,A049470,SGA,20210723,280481,620611,-540000
25,A049470,SGA,20210722,360364,535724,-540000
26,A049470,SGA,20210721,487045,410293,-540000
27,A049470,SGA,20210720,580798,317540,-540000
28,A049470,SGA,20210719,748692,155939,-540000
29,A049470,SGA,20210716,818288,87179,-540000
30,A049470,SGA,20210715,882933,23005,-540000
31,A049470,SGA,20210714,912048,-8610,-540000
32,A049470,SGA,20210713,874734,31374,-540000
33,A049470,SGA,20210712,965875,-59894,-539999
34,A049470,SGA,20210709,1120468,-203485,-539999
35,A049470,SGA,20210708,1264519,-337283,-540000
36,A049470,SGA,20210707,909610,23007,-540000
37,A049470,SGA,20210706,1047626,-113274,-539999
38,A049470,SGA,20210705,1125274,-190372,-539999
39,A049470,SGA,20210702,1068944,-134307,-539999
40,A049470,SGA,20210701,1114711,-178863,-539999
41,A049470,SGA,20210630,743319,211304,-539999
42,A049470,SGA,20210629,1217499,-299859,-508115
43,A049470,SGA,20210628,1136883,-263052,-468378
44,A049470,SGA,20210625,1040650,-198127,-443381
45,A049470,SGA,20210624,984380,-173900,-443381
46,A049470,SGA,20210623,457261,324748,-438994
47,A049470,SGA,20210622,571974,265779,-433381
48,A049470,SGA,20210621,205286,594736,-405987
49,A049470,SGA,20210618,601438,239637,-417857
50,A049470,SGA,20210617,576503,269373,-420381
51,A049470,SGA,20210616,-653020,978337,-183381
52,A049470,SGA,20210615,-633292,964295,-183381
53,A049470,SGA,20210614,-734238,1076542,-193381
