,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A011810,STX,20210827,649990,428310,-820549
1,A011810,STX,20210826,686820,390426,-818549
2,A011810,STX,20210825,682070,384798,-800134
3,A011810,STX,20210824,684846,363122,-781234
4,A011810,STX,20210823,746153,287805,-767448
5,A011810,STX,20210820,816692,174137,-724019
6,A011810,STX,20210819,808356,118932,-655294
7,A011810,STX,20210818,698879,91437,-517358
8,A011810,STX,20210817,233750,34829,10518
9,A011810,STX,20210813,221452,47588,9228
10,A011810,STX,20210812,209231,58452,9669
11,A011810,STX,20210811,213480,54668,9463
12,A011810,STX,20210810,214128,49798,13706
13,A011810,STX,20210809,214557,55277,7528
14,A011810,STX,20210806,194123,76831,7075
15,A011810,STX,20210805,215424,60404,2231
16,A011810,STX,20210804,219440,57187,1582
17,A011810,STX,20210803,246600,29944,555
18,A011810,STX,20210802,242753,25038,10258
19,A011810,STX,20210730,214807,49849,13422
20,A011810,STX,20210729,225872,49252,2594
21,A011810,STX,20210728,227656,46334,3725
22,A011810,STX,20210727,242631,32728,2539
23,A011810,STX,20210726,246584,28306,2855
24,A011810,STX,20210723,237938,36520,3647
25,A011810,STX,20210722,243024,32480,2372
26,A011810,STX,20210721,249752,24876,1567
27,A011810,STX,20210720,255845,17518,3152
28,A011810,STX,20210719,260495,14471,1703
29,A011810,STX,20210716,258060,16130,1710
30,A011810,STX,20210715,228151,44954,3280
31,A011810,STX,20210714,232787,40382,3416
32,A011810,STX,20210713,218338,55459,3427
33,A011810,STX,20210712,211680,63015,1962
34,A011810,STX,20210709,246708,28822,2032
35,A011810,STX,20210708,241235,32409,3613
36,A011810,STX,20210707,218232,49480,9661
37,A011810,STX,20210706,200729,64463,9909
38,A011810,STX,20210705,180652,87607,9163
39,A011810,STX,20210702,148651,119077,9240
40,A011810,STX,20210701,146870,120550,9188
41,A011810,STX,20210630,129755,136948,9237
42,A011810,STX,20210629,51761,202140,7142
43,A011810,STX,20210628,23095,230013,4036
44,A011810,STX,20210625,11875,238120,4187
45,A011810,STX,20210624,-68492,329743,-3609
46,A011810,STX,20210623,-26965,288867,-19375
47,A011810,STX,20210622,-30642,299231,-26947
48,A011810,STX,20210621,-29063,297684,-26617
49,A011810,STX,20210618,-26321,295128,-26933
50,A011810,STX,20210617,-32921,300624,-26691
51,A011810,STX,20210616,-55222,322556,-25935
52,A011810,STX,20210615,-33045,299659,-25215
53,A011810,STX,20210614,-50600,319547,-26083
54,A011810,STX,20210611,-54014,322908,-26026
55,A011810,STX,20210610,-47985,316863,-25999
56,A011810,STX,20210609,-32978,301783,-25930
57,A011810,STX,20210608,-80334,347371,-23495
58,A011810,STX,20210607,-118127,389331,-26065
59,A011810,STX,20210604,-88773,357150,-31462
60,A011810,STX,20210603,-87326,350082,-28666
61,A011810,STX,20210602,-52867,314652,-28435
62,A011810,STX,20210601,-47189,309471,-28621
63,A011810,STX,20210531,-15735,278211,-31284
64,A011810,STX,20210528,-29274,268538,-31284
65,A011810,STX,20210527,-22719,259358,-30804
66,A011810,STX,20210526,-241739,301307,-28474
67,A011810,STX,20210525,-302955,343048,-31311
68,A011810,STX,20210524,-298089,335574,-31296
69,A011810,STX,20210521,-208132,244370,-31288
70,A011810,STX,20210520,-191990,229195,-31330
71,A011810,STX,20210518,-185554,222917,-31293
72,A011810,STX,20210517,-135755,175225,-31324
73,A011810,STX,20210514,-75263,114240,-31099
74,A011810,STX,20210513,-50471,89640,-31027
75,A011810,STX,20210512,-33993,63460,-21603
76,A011810,STX,20210511,-95031,130585,-31198
77,A011810,STX,20210510,-74429,113709,-31291
78,A011810,STX,20210507,-2438,40132,-30921
79,A011810,STX,20210506,21463,16882,-31341
80,A011810,STX,20210504,45039,-5232,-31403
81,A011810,STX,20210503,28083,5342,-28114
82,A011810,STX,20210430,-128835,143677,-11014
83,A011810,STX,20210429,-124829,157600,-30125
84,A011810,STX,20210428,-112535,139724,-30176
85,A011810,STX,20210427,-130885,158701,-29680
86,A011810,STX,20210426,-147095,174634,-29472
87,A011810,STX,20210423,-72132,99795,-29637
88,A011810,STX,20210422,-63554,90813,-29545
89,A011810,STX,20210421,-53285,80001,-29002
90,A011810,STX,20210420,-53001,79760,-29585
91,A011810,STX,20210419,-35523,62241,-29193
92,A011810,STX,20210416,-33729,60001,-27626
93,A011810,STX,20210415,-33848,58052,-25058
94,A011810,STX,20210414,-30255,53908,-24701
95,A011810,STX,20210413,-21390,44541,-24910
96,A011810,STX,20210412,-34161,57551,-24389
97,A011810,STX,20210409,-28324,51861,-24354
98,A011810,STX,20210408,-26267,49769,-24347
99,A011810,STX,20210407,-27629,50902,-24249
100,A011810,STX,20210406,-18143,41311,-23799
101,A011810,STX,20210405,-21405,45191,-24347
102,A011810,STX,20210402,-11813,35684,-24327
103,A011810,STX,20210401,-10446,34030,-24324
104,A011810,STX,20210331,3809,19765,-24314
105,A011810,STX,20210330,904,22735,-24311
106,A011810,STX,20210329,5452,18603,-24308
107,A011810,STX,20210326,8896,15136,-24305
108,A011810,STX,20210325,16931,-1459,-15960
109,A011810,STX,20210324,22532,-7090,-15989
110,A011810,STX,20210323,28016,-12346,-16004
111,A011810,STX,20210322,33221,-9990,-24005
112,A011810,STX,20210319,3265,-3670,-595
113,A011810,STX,20210318,1290,-541,-572
114,A011810,STX,20210317,-391,1130,-562
115,A011810,STX,20210316,1422,1313,-2553
116,A011810,STX,20210315,2142,581,-2551
117,A011810,STX,20210312,2429,262,-2519
118,A011810,STX,20210311,3205,-514,-2519
