,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A084870,TBH±Û·Î¹ú,20210827,-779933,912606,-19007
1,A084870,TBH±Û·Î¹ú,20210826,-710245,836557,-13125
2,A084870,TBH±Û·Î¹ú,20210825,-740935,851472,-13127
3,A084870,TBH±Û·Î¹ú,20210824,-623742,734928,-12145
4,A084870,TBH±Û·Î¹ú,20210823,-574446,686150,-12168
5,A084870,TBH±Û·Î¹ú,20210820,-572596,685619,-12087
6,A084870,TBH±Û·Î¹ú,20210819,-524263,640394,-12095
7,A084870,TBH±Û·Î¹ú,20210818,-560783,661079,-12160
8,A084870,TBH±Û·Î¹ú,20210817,-517585,616341,-12324
9,A084870,TBH±Û·Î¹ú,20210813,-497565,594855,-12332
10,A084870,TBH±Û·Î¹ú,20210812,-515660,610333,-9840
11,A084870,TBH±Û·Î¹ú,20210811,-507852,604152,-11636
12,A084870,TBH±Û·Î¹ú,20210810,-546523,645181,-15024
13,A084870,TBH±Û·Î¹ú,20210809,-548686,647253,-14933
14,A084870,TBH±Û·Î¹ú,20210806,-536750,637193,-16772
15,A084870,TBH±Û·Î¹ú,20210805,-507325,612773,-16632
16,A084870,TBH±Û·Î¹ú,20210804,-502097,609090,-16621
17,A084870,TBH±Û·Î¹ú,20210803,-505357,612322,-16593
18,A084870,TBH±Û·Î¹ú,20210802,-502447,612435,-16585
19,A084870,TBH±Û·Î¹ú,20210730,-512636,622727,-16522
20,A084870,TBH±Û·Î¹ú,20210729,-500403,614855,-16518
21,A084870,TBH±Û·Î¹ú,20210728,-460013,572269,-14322
22,A084870,TBH±Û·Î¹ú,20210727,-472317,586688,-14437
23,A084870,TBH±Û·Î¹ú,20210726,-455428,570926,-14554
24,A084870,TBH±Û·Î¹ú,20210723,-451944,567371,-14553
25,A084870,TBH±Û·Î¹ú,20210722,-447932,564355,-14549
26,A084870,TBH±Û·Î¹ú,20210721,-440926,562846,-14546
27,A084870,TBH±Û·Î¹ú,20210720,-443973,566595,-14536
28,A084870,TBH±Û·Î¹ú,20210719,-420470,543572,-14517
29,A084870,TBH±Û·Î¹ú,20210716,-521357,646443,-14511
30,A084870,TBH±Û·Î¹ú,20210715,-460030,578104,-14500
31,A084870,TBH±Û·Î¹ú,20210714,-427209,540204,-14492
32,A084870,TBH±Û·Î¹ú,20210713,-425963,538948,-14482
33,A084870,TBH±Û·Î¹ú,20210712,-419505,532488,-14480
34,A084870,TBH±Û·Î¹ú,20210709,-423562,536479,-14414
35,A084870,TBH±Û·Î¹ú,20210708,-387981,501845,-14336
36,A084870,TBH±Û·Î¹ú,20210707,-372297,486140,-14332
37,A084870,TBH±Û·Î¹ú,20210706,-371120,484963,-14332
38,A084870,TBH±Û·Î¹ú,20210705,-349825,463238,-14322
39,A084870,TBH±Û·Î¹ú,20210702,-357433,470842,-14308
40,A084870,TBH±Û·Î¹ú,20210701,-345782,459187,-14288
41,A084870,TBH±Û·Î¹ú,20210630,-307623,413177,-14225
42,A084870,TBH±Û·Î¹ú,20210629,-303677,410657,-14588
43,A084870,TBH±Û·Î¹ú,20210628,-302104,409057,-14539
44,A084870,TBH±Û·Î¹ú,20210625,-296705,402891,-14482
45,A084870,TBH±Û·Î¹ú,20210624,-275339,381462,-14419
46,A084870,TBH±Û·Î¹ú,20210623,-247541,346814,-14415
47,A084870,TBH±Û·Î¹ú,20210622,-248618,347800,-14307
48,A084870,TBH±Û·Î¹ú,20210621,-232489,330467,-14303
49,A084870,TBH±Û·Î¹ú,20210618,-201622,298080,-13797
50,A084870,TBH±Û·Î¹ú,20210617,-199465,295557,-13759
51,A084870,TBH±Û·Î¹ú,20210616,-221830,318853,-13690
52,A084870,TBH±Û·Î¹ú,20210615,-188969,279482,-13653
53,A084870,TBH±Û·Î¹ú,20210614,-183752,273817,-13035
54,A084870,TBH±Û·Î¹ú,20210611,-198817,287529,-12751
55,A084870,TBH±Û·Î¹ú,20210610,-308642,338285,-10518
56,A084870,TBH±Û·Î¹ú,20210609,-300371,330639,-10536
57,A084870,TBH±Û·Î¹ú,20210608,-279177,299467,-9265
58,A084870,TBH±Û·Î¹ú,20210607,-250807,272093,-9261
59,A084870,TBH±Û·Î¹ú,20210604,-248999,271039,-9255
60,A084870,TBH±Û·Î¹ú,20210603,-251191,273252,-9247
61,A084870,TBH±Û·Î¹ú,20210602,-225814,248170,-9686
62,A084870,TBH±Û·Î¹ú,20210601,-148140,170248,-9684
63,A084870,TBH±Û·Î¹ú,20210531,-252415,234991,16346
64,A084870,TBH±Û·Î¹ú,20210528,-215249,222728,-8658
65,A084870,TBH±Û·Î¹ú,20210527,-208128,215856,-8657
66,A084870,TBH±Û·Î¹ú,20210526,-170639,177970,-8660
67,A084870,TBH±Û·Î¹ú,20210525,-167260,174631,-8700
68,A084870,TBH±Û·Î¹ú,20210524,-162165,169027,-8691
69,A084870,TBH±Û·Î¹ú,20210521,-166634,173484,-8679
70,A084870,TBH±Û·Î¹ú,20210520,-166304,173195,-8720
71,A084870,TBH±Û·Î¹ú,20210518,-166224,172287,-8687
72,A084870,TBH±Û·Î¹ú,20210517,-162079,167045,-8651
73,A084870,TBH±Û·Î¹ú,20210514,-157207,160795,-8417
74,A084870,TBH±Û·Î¹ú,20210513,-151525,155012,-8316
75,A084870,TBH±Û·Î¹ú,20210512,-126880,130360,-8309
76,A084870,TBH±Û·Î¹ú,20210511,-117776,122456,-8314
77,A084870,TBH±Û·Î¹ú,20210510,-114668,118899,-8222
78,A084870,TBH±Û·Î¹ú,20210507,-77847,82094,-8238
79,A084870,TBH±Û·Î¹ú,20210506,-76811,81744,-8260
80,A084870,TBH±Û·Î¹ú,20210504,-86105,90520,-8298
81,A084870,TBH±Û·Î¹ú,20210503,-79803,84277,-8348
82,A084870,TBH±Û·Î¹ú,20210430,-60330,64460,-8397
83,A084870,TBH±Û·Î¹ú,20210429,-57447,61605,-8401
84,A084870,TBH±Û·Î¹ú,20210428,-55160,59608,-8457
85,A084870,TBH±Û·Î¹ú,20210427,-58002,62472,-8463
86,A084870,TBH±Û·Î¹ú,20210426,-61934,65978,-8467
87,A084870,TBH±Û·Î¹ú,20210423,-59589,64508,-8812
88,A084870,TBH±Û·Î¹ú,20210422,-60182,64736,-8817
89,A084870,TBH±Û·Î¹ú,20210421,-40955,45466,-8774
90,A084870,TBH±Û·Î¹ú,20210420,-36065,40582,-8780
91,A084870,TBH±Û·Î¹ú,20210419,-37710,37223,-3776
92,A084870,TBH±Û·Î¹ú,20210416,-34781,34244,-3726
93,A084870,TBH±Û·Î¹ú,20210415,-34778,34245,-3721
94,A084870,TBH±Û·Î¹ú,20210414,-35350,34297,-3640
95,A084870,TBH±Û·Î¹ú,20210413,-31215,30149,-3626
96,A084870,TBH±Û·Î¹ú,20210412,-27644,26916,-3585
97,A084870,TBH±Û·Î¹ú,20210409,-39421,37414,-3541
98,A084870,TBH±Û·Î¹ú,20210408,-30708,28683,-3523
99,A084870,TBH±Û·Î¹ú,20210407,-29863,27800,-3485
100,A084870,TBH±Û·Î¹ú,20210406,-21051,18958,-3455
101,A084870,TBH±Û·Î¹ú,20210405,-19365,15102,-1285
102,A084870,TBH±Û·Î¹ú,20210402,-9136,4822,-1234
103,A084870,TBH±Û·Î¹ú,20210401,-7603,3798,-1197
104,A084870,TBH±Û·Î¹ú,20210331,-3653,-189,-1160
105,A084870,TBH±Û·Î¹ú,20210330,-432,-3495,-1075
106,A084870,TBH±Û·Î¹ú,20210329,2182,-6135,-1052
107,A084870,TBH±Û·Î¹ú,20210326,5436,-9397,-1044
108,A084870,TBH±Û·Î¹ú,20210325,12047,-16009,-1043
109,A084870,TBH±Û·Î¹ú,20210324,14204,-17823,-1041
110,A084870,TBH±Û·Î¹ú,20210323,5600,-9932,-273
111,A084870,TBH±Û·Î¹ú,20210322,4916,-6748,-269
112,A084870,TBH±Û·Î¹ú,20210319,3205,-4959,-258
113,A084870,TBH±Û·Î¹ú,20210318,2984,-4864,-123
114,A084870,TBH±Û·Î¹ú,20210317,4885,-5872,-104
115,A084870,TBH±Û·Î¹ú,20210316,8165,-9159,-97
116,A084870,TBH±Û·Î¹ú,20210315,10167,-10086,-82
117,A084870,TBH±Û·Î¹ú,20210312,12439,-12403,-42
118,A084870,TBH±Û·Î¹ú,20210311,12810,-12784,-32
