,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A139270,TIGER 200 ±ÝÀ¶,20210827,600361,14918,-83804
1,A139270,TIGER 200 ±ÝÀ¶,20210826,606870,6495,-79174
2,A139270,TIGER 200 ±ÝÀ¶,20210825,599823,6938,-72329
3,A139270,TIGER 200 ±ÝÀ¶,20210824,603704,3712,-72984
4,A139270,TIGER 200 ±ÝÀ¶,20210823,612338,5430,-83326
5,A139270,TIGER 200 ±ÝÀ¶,20210820,619581,2100,-87238
6,A139270,TIGER 200 ±ÝÀ¶,20210819,617324,1985,-84849
7,A139270,TIGER 200 ±ÝÀ¶,20210818,613350,9533,-88570
8,A139270,TIGER 200 ±ÝÀ¶,20210817,611708,9567,-86961
9,A139270,TIGER 200 ±ÝÀ¶,20210813,613669,6527,-85874
10,A139270,TIGER 200 ±ÝÀ¶,20210812,607706,10238,-83626
11,A139270,TIGER 200 ±ÝÀ¶,20210811,601174,12869,-79796
12,A139270,TIGER 200 ±ÝÀ¶,20210810,606865,10302,-82983
13,A139270,TIGER 200 ±ÝÀ¶,20210809,606249,10811,-82884
14,A139270,TIGER 200 ±ÝÀ¶,20210806,607908,8630,-82371
15,A139270,TIGER 200 ±ÝÀ¶,20210805,606032,13442,-85423
16,A139270,TIGER 200 ±ÝÀ¶,20210804,609756,15647,-91363
17,A139270,TIGER 200 ±ÝÀ¶,20210803,619020,16216,-85208
18,A139270,TIGER 200 ±ÝÀ¶,20210802,614354,7518,-71717
19,A139270,TIGER 200 ±ÝÀ¶,20210730,601362,10396,-61593
20,A139270,TIGER 200 ±ÝÀ¶,20210729,568731,7996,-26562
21,A139270,TIGER 200 ±ÝÀ¶,20210728,575261,9294,-34390
22,A139270,TIGER 200 ±ÝÀ¶,20210727,584316,6548,-40755
23,A139270,TIGER 200 ±ÝÀ¶,20210726,583361,7301,-40553
24,A139270,TIGER 200 ±ÝÀ¶,20210723,571832,9069,-30771
25,A139270,TIGER 200 ±ÝÀ¶,20210722,576689,13164,-39673
26,A139270,TIGER 200 ±ÝÀ¶,20210721,590591,9132,-49551
27,A139270,TIGER 200 ±ÝÀ¶,20210720,594199,6254,-50176
28,A139270,TIGER 200 ±ÝÀ¶,20210719,586838,22850,-59385
29,A139270,TIGER 200 ±ÝÀ¶,20210716,589252,8414,-143237
30,A139270,TIGER 200 ±ÝÀ¶,20210715,593741,9894,-149196
31,A139270,TIGER 200 ±ÝÀ¶,20210714,592596,9146,-147201
32,A139270,TIGER 200 ±ÝÀ¶,20210713,585816,7454,-138709
33,A139270,TIGER 200 ±ÝÀ¶,20210712,590149,4733,-140291
34,A139270,TIGER 200 ±ÝÀ¶,20210709,593718,16829,-155953
35,A139270,TIGER 200 ±ÝÀ¶,20210708,565541,58904,-170226
36,A139270,TIGER 200 ±ÝÀ¶,20210707,558040,81880,-185681
37,A139270,TIGER 200 ±ÝÀ¶,20210706,585901,40910,-326229
38,A139270,TIGER 200 ±ÝÀ¶,20210705,572055,45685,-317179
39,A139270,TIGER 200 ±ÝÀ¶,20210702,605172,26072,-485553
40,A139270,TIGER 200 ±ÝÀ¶,20210701,601294,19398,-467284
41,A139270,TIGER 200 ±ÝÀ¶,20210630,582786,14638,-443989
42,A139270,TIGER 200 ±ÝÀ¶,20210629,577698,2171,-426410
43,A139270,TIGER 200 ±ÝÀ¶,20210628,559847,807,-406520
44,A139270,TIGER 200 ±ÝÀ¶,20210625,440511,41726,-28112
45,A139270,TIGER 200 ±ÝÀ¶,20210624,478915,20140,-44930
46,A139270,TIGER 200 ±ÝÀ¶,20210623,483040,-300,-28613
47,A139270,TIGER 200 ±ÝÀ¶,20210622,484237,13401,-43510
48,A139270,TIGER 200 ±ÝÀ¶,20210621,481727,18387,-45981
49,A139270,TIGER 200 ±ÝÀ¶,20210618,465330,7641,-122522
50,A139270,TIGER 200 ±ÝÀ¶,20210617,468112,6529,-138542
51,A139270,TIGER 200 ±ÝÀ¶,20210616,456299,-360,-118849
52,A139270,TIGER 200 ±ÝÀ¶,20210615,456679,-110,-120593
53,A139270,TIGER 200 ±ÝÀ¶,20210614,458209,1786,-124009
54,A139270,TIGER 200 ±ÝÀ¶,20210611,442438,20096,-126891
55,A139270,TIGER 200 ±ÝÀ¶,20210610,422214,748,-87300
56,A139270,TIGER 200 ±ÝÀ¶,20210609,421018,27,-92547
57,A139270,TIGER 200 ±ÝÀ¶,20210608,413464,59,-80523
58,A139270,TIGER 200 ±ÝÀ¶,20210607,416571,456,-83377
59,A139270,TIGER 200 ±ÝÀ¶,20210604,418192,710,-86502
60,A139270,TIGER 200 ±ÝÀ¶,20210603,410633,-360,-77733
61,A139270,TIGER 200 ±ÝÀ¶,20210602,368692,-242,-35757
62,A139270,TIGER 200 ±ÝÀ¶,20210601,369161,190,-35658
63,A139270,TIGER 200 ±ÝÀ¶,20210531,370520,-360,-42963
64,A139270,TIGER 200 ±ÝÀ¶,20210528,360367,361,-34000
65,A139270,TIGER 200 ±ÝÀ¶,20210527,359678,-201,-32649
66,A139270,TIGER 200 ±ÝÀ¶,20210526,356514,652,-28522
67,A139270,TIGER 200 ±ÝÀ¶,20210525,360256,448,-32030
68,A139270,TIGER 200 ±ÝÀ¶,20210524,352560,-288,-21226
69,A139270,TIGER 200 ±ÝÀ¶,20210521,353167,-360,-21761
70,A139270,TIGER 200 ±ÝÀ¶,20210520,340290,748,-9230
71,A139270,TIGER 200 ±ÝÀ¶,20210518,339168,-360,-11857
72,A139270,TIGER 200 ±ÝÀ¶,20210517,334936,648,-5704
73,A139270,TIGER 200 ±ÝÀ¶,20210514,335638,748,-6485
74,A139270,TIGER 200 ±ÝÀ¶,20210513,316056,25,23058
75,A139270,TIGER 200 ±ÝÀ¶,20210512,272546,-151,76119
76,A139270,TIGER 200 ±ÝÀ¶,20210511,250795,748,104780
77,A139270,TIGER 200 ±ÝÀ¶,20210510,237834,-360,98472
78,A139270,TIGER 200 ±ÝÀ¶,20210507,222237,748,112762
79,A139270,TIGER 200 ±ÝÀ¶,20210506,203199,277,144771
80,A139270,TIGER 200 ±ÝÀ¶,20210504,192530,143,191243
81,A139270,TIGER 200 ±ÝÀ¶,20210503,172524,-11,218662
82,A139270,TIGER 200 ±ÝÀ¶,20210430,170913,-213,245439
83,A139270,TIGER 200 ±ÝÀ¶,20210429,159856,664,255649
84,A139270,TIGER 200 ±ÝÀ¶,20210428,138048,-354,278475
85,A139270,TIGER 200 ±ÝÀ¶,20210427,124669,-360,302577
86,A139270,TIGER 200 ±ÝÀ¶,20210426,114103,-360,313293
87,A139270,TIGER 200 ±ÝÀ¶,20210423,64622,414,376671
88,A139270,TIGER 200 ±ÝÀ¶,20210422,64523,208,377177
89,A139270,TIGER 200 ±ÝÀ¶,20210421,62767,72,386591
90,A139270,TIGER 200 ±ÝÀ¶,20210420,70824,-360,379006
91,A139270,TIGER 200 ±ÝÀ¶,20210419,77112,-360,373718
92,A139270,TIGER 200 ±ÝÀ¶,20210416,72434,-360,378416
93,A139270,TIGER 200 ±ÝÀ¶,20210415,65734,-360,385116
94,A139270,TIGER 200 ±ÝÀ¶,20210414,63357,53,398280
95,A139270,TIGER 200 ±ÝÀ¶,20210413,60693,262,400735
96,A139270,TIGER 200 ±ÝÀ¶,20210412,56911,-131,404925
97,A139270,TIGER 200 ±ÝÀ¶,20210409,58262,-360,403823
98,A139270,TIGER 200 ±ÝÀ¶,20210408,48253,-194,413666
99,A139270,TIGER 200 ±ÝÀ¶,20210407,43262,583,418080
100,A139270,TIGER 200 ±ÝÀ¶,20210406,46513,748,414664
101,A139270,TIGER 200 ±ÝÀ¶,20210405,50910,748,325006
102,A139270,TIGER 200 ±ÝÀ¶,20210402,72276,598,33956
103,A139270,TIGER 200 ±ÝÀ¶,20210401,78652,-337,-92967
104,A139270,TIGER 200 ±ÝÀ¶,20210331,74917,-31,-89538
105,A139270,TIGER 200 ±ÝÀ¶,20210330,73921,-360,-88064
106,A139270,TIGER 200 ±ÝÀ¶,20210329,73463,-360,-102252
107,A139270,TIGER 200 ±ÝÀ¶,20210326,62054,-360,-78299
108,A139270,TIGER 200 ±ÝÀ¶,20210325,56411,176,-73042
109,A139270,TIGER 200 ±ÝÀ¶,20210324,63433,748,-106802
110,A139270,TIGER 200 ±ÝÀ¶,20210323,59787,206,-171753
111,A139270,TIGER 200 ±ÝÀ¶,20210322,60447,548,-172755
112,A139270,TIGER 200 ±ÝÀ¶,20210319,63979,648,-261555
113,A139270,TIGER 200 ±ÝÀ¶,20210318,45361,-360,-241929
114,A139270,TIGER 200 ±ÝÀ¶,20210317,51623,251,-367578
115,A139270,TIGER 200 ±ÝÀ¶,20210316,45333,748,-361784
116,A139270,TIGER 200 ±ÝÀ¶,20210315,42798,-360,-453616
117,A139270,TIGER 200 ±ÝÀ¶,20210312,49596,-360,-460409
118,A139270,TIGER 200 ±ÝÀ¶,20210311,45464,-112,-425947
