,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ º¯∏≈ºˆ,ø‹±π¿Œ º¯∏≈ºˆ,±‚∞¸ º¯∏≈ºˆ
0,A139240,TIGER 200 √∂∞≠º“¿Á,20210827,266017,1940,-271051
1,A139240,TIGER 200 √∂∞≠º“¿Á,20210826,264920,1940,-269893
2,A139240,TIGER 200 √∂∞≠º“¿Á,20210825,266574,1940,-271498
3,A139240,TIGER 200 √∂∞≠º“¿Á,20210824,265893,1940,-270933
4,A139240,TIGER 200 √∂∞≠º“¿Á,20210823,266726,1940,-271667
5,A139240,TIGER 200 √∂∞≠º“¿Á,20210820,268909,1940,-273849
6,A139240,TIGER 200 √∂∞≠º“¿Á,20210819,274990,1940,-280927
7,A139240,TIGER 200 √∂∞≠º“¿Á,20210818,272146,1940,-278190
8,A139240,TIGER 200 √∂∞≠º“¿Á,20210817,273111,1940,-279154
9,A139240,TIGER 200 √∂∞≠º“¿Á,20210813,270755,1940,-276798
10,A139240,TIGER 200 √∂∞≠º“¿Á,20210812,272057,1940,-278100
11,A139240,TIGER 200 √∂∞≠º“¿Á,20210811,273313,1940,-279257
12,A139240,TIGER 200 √∂∞≠º“¿Á,20210810,274595,1940,-280875
13,A139240,TIGER 200 √∂∞≠º“¿Á,20210809,275172,1940,-281404
14,A139240,TIGER 200 √∂∞≠º“¿Á,20210806,276655,1940,-283370
15,A139240,TIGER 200 √∂∞≠º“¿Á,20210805,273848,1940,-280653
16,A139240,TIGER 200 √∂∞≠º“¿Á,20210804,277396,1940,-284161
17,A139240,TIGER 200 √∂∞≠º“¿Á,20210803,283434,1940,-290128
18,A139240,TIGER 200 √∂∞≠º“¿Á,20210802,291995,1940,-298688
19,A139240,TIGER 200 √∂∞≠º“¿Á,20210730,297589,1940,-304318
20,A139240,TIGER 200 √∂∞≠º“¿Á,20210729,311511,1940,-318242
21,A139240,TIGER 200 √∂∞≠º“¿Á,20210728,308596,1940,-315319
22,A139240,TIGER 200 √∂∞≠º“¿Á,20210727,322345,1940,-328954
23,A139240,TIGER 200 √∂∞≠º“¿Á,20210726,315315,1940,-322719
24,A139240,TIGER 200 √∂∞≠º“¿Á,20210723,317252,1940,-324579
25,A139240,TIGER 200 √∂∞≠º“¿Á,20210722,343611,1940,-350948
26,A139240,TIGER 200 √∂∞≠º“¿Á,20210721,353528,1940,-360865
27,A139240,TIGER 200 √∂∞≠º“¿Á,20210720,354219,1940,-361056
