,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A292160,TIGER KRX300,20210827,-3845,-4014,22574
1,A292160,TIGER KRX300,20210826,-3755,-4014,22484
2,A292160,TIGER KRX300,20210825,-3797,-4014,22526
3,A292160,TIGER KRX300,20210824,-3479,-4014,22208
4,A292160,TIGER KRX300,20210823,-3491,-4014,22220
5,A292160,TIGER KRX300,20210820,-3528,-4014,22257
6,A292160,TIGER KRX300,20210819,-3794,-4014,22523
7,A292160,TIGER KRX300,20210818,-1875,-4014,20604
8,A292160,TIGER KRX300,20210817,-1930,-4014,20659
9,A292160,TIGER KRX300,20210813,-1981,-4014,20710
10,A292160,TIGER KRX300,20210812,-2029,-4014,20758
11,A292160,TIGER KRX300,20210811,-2087,-4014,20816
12,A292160,TIGER KRX300,20210810,-1899,-4014,20628
13,A292160,TIGER KRX300,20210809,-1912,-4014,20651
14,A292160,TIGER KRX300,20210806,-1906,-4014,20645
15,A292160,TIGER KRX300,20210805,-1886,-4014,20625
16,A292160,TIGER KRX300,20210804,-1855,-4014,20594
17,A292160,TIGER KRX300,20210803,-1764,-4014,20503
18,A292160,TIGER KRX300,20210802,-1250,-4014,19989
19,A292160,TIGER KRX300,20210730,-1261,-4014,20000
20,A292160,TIGER KRX300,20210729,-1554,-4014,20293
21,A292160,TIGER KRX300,20210728,-1665,-4014,20404
22,A292160,TIGER KRX300,20210727,-1665,-4014,20404
23,A292160,TIGER KRX300,20210726,-1624,-4014,20363
24,A292160,TIGER KRX300,20210723,-1630,-4014,20369
25,A292160,TIGER KRX300,20210722,-1630,-4014,20369
26,A292160,TIGER KRX300,20210721,-1610,-4014,20349
27,A292160,TIGER KRX300,20210720,-1640,-4014,20379
28,A292160,TIGER KRX300,20210719,-1633,-4014,20372
29,A292160,TIGER KRX300,20210716,-1677,-4014,20416
30,A292160,TIGER KRX300,20210715,-1577,-4014,20316
31,A292160,TIGER KRX300,20210714,-1463,-4014,20202
32,A292160,TIGER KRX300,20210713,-1323,-4014,20062
33,A292160,TIGER KRX300,20210712,-1308,-4014,20047
34,A292160,TIGER KRX300,20210709,-1306,-4014,20045
35,A292160,TIGER KRX300,20210708,-1237,-4014,19976
36,A292160,TIGER KRX300,20210707,-1187,-3834,19746
37,A292160,TIGER KRX300,20210706,-1222,-3824,19771
38,A292160,TIGER KRX300,20210705,-1101,-3824,19650
39,A292160,TIGER KRX300,20210702,-1092,-3824,19641
40,A292160,TIGER KRX300,20210701,-1156,-3824,19705
41,A292160,TIGER KRX300,20210630,-1186,-3824,19735
42,A292160,TIGER KRX300,20210629,-1319,-3824,19868
43,A292160,TIGER KRX300,20210628,-327,-3824,18876
44,A292160,TIGER KRX300,20210625,-284,-3824,18833
45,A292160,TIGER KRX300,20210624,-125,-3824,18674
46,A292160,TIGER KRX300,20210623,190,-3824,18359
47,A292160,TIGER KRX300,20210622,-141,-3824,18690
48,A292160,TIGER KRX300,20210621,-120,-3824,18669
49,A292160,TIGER KRX300,20210618,-90,-3824,18639
50,A292160,TIGER KRX300,20210617,5,-3824,18544
51,A292160,TIGER KRX300,20210616,-8,-3824,18557
52,A292160,TIGER KRX300,20210615,142,-3824,18407
53,A292160,TIGER KRX300,20210614,213,-3824,18336
54,A292160,TIGER KRX300,20210611,203,-3824,18346
55,A292160,TIGER KRX300,20210610,264,-3824,18285
56,A292160,TIGER KRX300,20210609,270,-3824,18279
57,A292160,TIGER KRX300,20210608,-332,-3824,15449
58,A292160,TIGER KRX300,20210607,-340,-3824,15457
59,A292160,TIGER KRX300,20210604,-361,-3824,15478
60,A292160,TIGER KRX300,20210603,-227,-3829,15349
61,A292160,TIGER KRX300,20210602,-18,-3951,15262
62,A292160,TIGER KRX300,20210601,-30,-3951,15274
63,A292160,TIGER KRX300,20210531,-214,-3951,15458
64,A292160,TIGER KRX300,20210528,-547,-3951,15791
65,A292160,TIGER KRX300,20210527,-567,-3955,15815
66,A292160,TIGER KRX300,20210526,-1406,-3955,16654
67,A292160,TIGER KRX300,20210525,-1364,-3995,16652
68,A292160,TIGER KRX300,20210524,-1382,-3995,16670
69,A292160,TIGER KRX300,20210521,-1401,-3995,16689
70,A292160,TIGER KRX300,20210520,-1405,-4014,16712
71,A292160,TIGER KRX300,20210518,-1409,-4014,16716
72,A292160,TIGER KRX300,20210517,-1382,-4014,16689
73,A292160,TIGER KRX300,20210514,-1401,-4014,16708
74,A292160,TIGER KRX300,20210513,-1402,-4014,16708
75,A292160,TIGER KRX300,20210512,-1534,-4014,16840
76,A292160,TIGER KRX300,20210511,-1580,-4014,16886
77,A292160,TIGER KRX300,20210510,-1622,-4014,16928
78,A292160,TIGER KRX300,20210507,-1612,-4014,16918
