,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ º¯∏≈ºˆ,ø‹±π¿Œ º¯∏≈ºˆ,±‚∞¸ º¯∏≈ºˆ
0,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210827,-456907,31204,417697
1,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210826,-470795,30960,431829
2,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210825,-458694,7095,440543
3,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210824,-450654,8226,431372
4,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210823,-460730,10712,438962
5,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210820,-446458,6347,429057
6,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210819,-442341,8821,421366
7,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210818,-424944,6197,406593
8,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210817,-429620,6553,410974
9,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210813,-427675,278,415303
10,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210812,-465170,885,452759
11,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210811,-457849,13815,432598
12,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210810,-472569,20288,440915
13,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210809,-477571,29903,436282
14,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210806,-473629,30936,430616
15,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210805,-472681,28849,431886
16,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210804,-493403,28612,469398
17,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210803,-503220,11205,496623
18,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210802,-533436,0,538038
19,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210730,-529544,3203,531039
20,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210729,-545820,6,550881
21,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210728,-547908,1834,551121
22,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210727,-541361,9390,537048
23,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210726,-540488,0,545569
24,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210723,-549144,0,554626
25,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210722,-531714,3684,533926
26,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210721,-499319,0,504209
27,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210720,-490571,16007,477191
28,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210719,-480133,35687,447061
29,A364990,TIGER KRX∞‘¿”K-¥∫µÙ,20210716,-450608,32689,336029
