,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A300610,TIGER K게임,20210827,43764,0,-44134
1,A300610,TIGER K게임,20210826,43866,0,-44234
2,A300610,TIGER K게임,20210825,43162,0,-43530
3,A300610,TIGER K게임,20210824,43596,0,-43964
4,A300610,TIGER K게임,20210823,43400,0,-43768
5,A300610,TIGER K게임,20210820,42701,0,-43069
6,A300610,TIGER K게임,20210819,41431,0,-41799
7,A300610,TIGER K게임,20210818,41719,0,-42087
8,A300610,TIGER K게임,20210817,42247,0,-42615
9,A300610,TIGER K게임,20210813,42759,0,-43127
10,A300610,TIGER K게임,20210812,31009,0,-31377
11,A300610,TIGER K게임,20210811,31162,0,-31541
12,A300610,TIGER K게임,20210810,30508,0,-30887
13,A300610,TIGER K게임,20210809,30123,0,-30501
14,A300610,TIGER K게임,20210806,32548,0,-32926
15,A300610,TIGER K게임,20210805,33516,0,-33894
16,A300610,TIGER K게임,20210804,26126,0,-26504
17,A300610,TIGER K게임,20210803,25491,0,-25895
18,A300610,TIGER K게임,20210802,25267,0,-25645
19,A300610,TIGER K게임,20210730,25067,0,-25445
20,A300610,TIGER K게임,20210729,26279,0,-26657
21,A300610,TIGER K게임,20210728,27358,0,-27736
22,A300610,TIGER K게임,20210727,28179,0,-28557
23,A300610,TIGER K게임,20210726,28430,0,-28808
24,A300610,TIGER K게임,20210723,27192,0,-27570
25,A300610,TIGER K게임,20210722,27506,0,-27885
26,A300610,TIGER K게임,20210721,25217,0,-25625
27,A300610,TIGER K게임,20210720,23574,0,-23982
28,A300610,TIGER K게임,20210719,22787,0,-23195
29,A300610,TIGER K게임,20210716,21775,0,-22183
30,A300610,TIGER K게임,20210715,22602,400,-23410
31,A300610,TIGER K게임,20210714,23763,400,-24571
32,A300610,TIGER K게임,20210713,20435,400,-21243
33,A300610,TIGER K게임,20210712,26080,400,-26888
34,A300610,TIGER K게임,20210709,25839,900,-27197
35,A300610,TIGER K게임,20210708,27257,800,-28515
36,A300610,TIGER K게임,20210707,27082,700,-28239
37,A300610,TIGER K게임,20210706,28389,600,-29564
38,A300610,TIGER K게임,20210705,28587,520,-29680
39,A300610,TIGER K게임,20210702,18383,0,-18788
40,A300610,TIGER K게임,20210701,18821,0,-18858
41,A300610,TIGER K게임,20210630,31365,0,-31402
42,A300610,TIGER K게임,20210629,29524,0,-29561
43,A300610,TIGER K게임,20210628,9985,0,-10022
44,A300610,TIGER K게임,20210625,9443,0,-9480
45,A300610,TIGER K게임,20210624,9448,0,-9485
46,A300610,TIGER K게임,20210623,9432,0,-9466
47,A300610,TIGER K게임,20210622,6772,0,-6804
48,A300610,TIGER K게임,20210621,3377,0,-3409
49,A300610,TIGER K게임,20210618,2307,0,-2339
50,A300610,TIGER K게임,20210617,2367,0,-2399
51,A300610,TIGER K게임,20210616,1513,0,-1545
52,A300610,TIGER K게임,20210615,1048,0,-1080
53,A300610,TIGER K게임,20210614,668,0,-700
54,A300610,TIGER K게임,20210611,611,0,-643
55,A300610,TIGER K게임,20210610,-305,0,273
56,A300610,TIGER K게임,20210609,459,0,-491
57,A300610,TIGER K게임,20210608,754,0,-786
58,A300610,TIGER K게임,20210607,-959,0,927
59,A300610,TIGER K게임,20210604,-962,0,930
60,A300610,TIGER K게임,20210603,-1885,0,1853
61,A300610,TIGER K게임,20210602,-1622,0,1590
62,A300610,TIGER K게임,20210601,-2144,0,2112
63,A300610,TIGER K게임,20210531,-2020,0,1988
64,A300610,TIGER K게임,20210528,-4016,0,3984
65,A300610,TIGER K게임,20210527,-3970,0,3938
66,A300610,TIGER K게임,20210526,-4269,0,4237
67,A300610,TIGER K게임,20210525,-4565,0,4533
68,A300610,TIGER K게임,20210524,-4273,0,4241
69,A300610,TIGER K게임,20210521,-4335,0,4303
70,A300610,TIGER K게임,20210520,-5060,0,5028
71,A300610,TIGER K게임,20210518,-4814,0,4782
72,A300610,TIGER K게임,20210517,-4576,0,4544
73,A300610,TIGER K게임,20210514,-5156,0,5124
74,A300610,TIGER K게임,20210513,-5471,0,5439
75,A300610,TIGER K게임,20210512,-4381,0,4350
76,A300610,TIGER K게임,20210511,-4578,0,4547
77,A300610,TIGER K게임,20210510,-4652,0,4621
78,A300610,TIGER K게임,20210507,-4153,0,4122
79,A300610,TIGER K게임,20210506,-5997,0,5966
80,A300610,TIGER K게임,20210504,-6243,0,6212
81,A300610,TIGER K게임,20210503,-6654,0,6623
82,A300610,TIGER K게임,20210430,-7174,0,7144
83,A300610,TIGER K게임,20210429,-6031,0,6003
84,A300610,TIGER K게임,20210428,-6070,0,6043
85,A300610,TIGER K게임,20210427,-6071,0,6046
86,A300610,TIGER K게임,20210426,3970,0,-26279
87,A300610,TIGER K게임,20210423,2052,0,-24420
88,A300610,TIGER K게임,20210422,2275,0,-24643
89,A300610,TIGER K게임,20210421,2825,0,-25183
90,A300610,TIGER K게임,20210420,26840,0,-103051
91,A300610,TIGER K게임,20210419,26337,0,-102548
92,A300610,TIGER K게임,20210416,25359,0,-101556
93,A300610,TIGER K게임,20210415,24374,0,-100559
94,A300610,TIGER K게임,20210414,24389,0,-100569
95,A300610,TIGER K게임,20210413,24477,0,-100544
96,A300610,TIGER K게임,20210412,24170,0,-100693
97,A300610,TIGER K게임,20210409,16404,0,-65634
98,A300610,TIGER K게임,20210408,17941,0,-67171
99,A300610,TIGER K게임,20210407,56021,0,-191806
100,A300610,TIGER K게임,20210406,84287,0,-309521
101,A300610,TIGER K게임,20210405,96786,0,-348694
102,A300610,TIGER K게임,20210402,95796,0,-311787
103,A300610,TIGER K게임,20210401,96193,0,-312183
104,A300610,TIGER K게임,20210331,95424,0,-311390
105,A300610,TIGER K게임,20210330,74263,0,-243492
106,A300610,TIGER K게임,20210329,58989,0,-201636
107,A300610,TIGER K게임,20210326,58211,0,-200858
108,A300610,TIGER K게임,20210325,11695,0,-58667
109,A300610,TIGER K게임,20210324,13286,0,-60259
110,A300610,TIGER K게임,20210323,15236,0,-62209
111,A300610,TIGER K게임,20210322,-8581,0,8581
112,A300610,TIGER K게임,20210319,-5424,0,5424
113,A300610,TIGER K게임,20210318,-4114,0,4114
114,A300610,TIGER K게임,20210317,-4105,0,4105
115,A300610,TIGER K게임,20210316,-3734,0,3734
116,A300610,TIGER K게임,20210315,-2467,0,2467
117,A300610,TIGER K게임,20210312,-2561,0,2561
118,A300610,TIGER K게임,20210311,-2740,0,2740
