,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A289250,TIGER MSCI KOREA ESG유니버설,20210827,-6068,0,6244
1,A289250,TIGER MSCI KOREA ESG유니버설,20210826,-6069,0,6245
2,A289250,TIGER MSCI KOREA ESG유니버설,20210825,-6083,0,6259
3,A289250,TIGER MSCI KOREA ESG유니버설,20210824,-6087,0,6263
4,A289250,TIGER MSCI KOREA ESG유니버설,20210823,-6075,0,6251
5,A289250,TIGER MSCI KOREA ESG유니버설,20210820,-6083,0,6259
6,A289250,TIGER MSCI KOREA ESG유니버설,20210819,-6038,0,6214
7,A289250,TIGER MSCI KOREA ESG유니버설,20210818,-6075,0,6251
8,A289250,TIGER MSCI KOREA ESG유니버설,20210817,-6100,0,6276
9,A289250,TIGER MSCI KOREA ESG유니버설,20210813,-5914,0,6090
10,A289250,TIGER MSCI KOREA ESG유니버설,20210812,-5925,0,6101
11,A289250,TIGER MSCI KOREA ESG유니버설,20210811,-6016,0,6192
12,A289250,TIGER MSCI KOREA ESG유니버설,20210810,-6068,0,6244
13,A289250,TIGER MSCI KOREA ESG유니버설,20210809,-6075,0,6251
14,A289250,TIGER MSCI KOREA ESG유니버설,20210806,-6065,0,6241
15,A289250,TIGER MSCI KOREA ESG유니버설,20210805,-6093,0,6269
16,A289250,TIGER MSCI KOREA ESG유니버설,20210804,-6156,0,6332
17,A289250,TIGER MSCI KOREA ESG유니버설,20210803,-6192,0,6368
18,A289250,TIGER MSCI KOREA ESG유니버설,20210802,-5204,0,5380
19,A289250,TIGER MSCI KOREA ESG유니버설,20210730,-4762,0,4938
20,A289250,TIGER MSCI KOREA ESG유니버설,20210729,-5013,0,5189
21,A289250,TIGER MSCI KOREA ESG유니버설,20210728,-5018,0,5194
22,A289250,TIGER MSCI KOREA ESG유니버설,20210727,-5062,0,5238
23,A289250,TIGER MSCI KOREA ESG유니버설,20210726,-4828,0,5004
24,A289250,TIGER MSCI KOREA ESG유니버설,20210723,-4869,0,5045
25,A289250,TIGER MSCI KOREA ESG유니버설,20210722,-4998,0,5174
26,A289250,TIGER MSCI KOREA ESG유니버설,20210721,-4795,0,4971
27,A289250,TIGER MSCI KOREA ESG유니버설,20210720,-4813,0,4989
28,A289250,TIGER MSCI KOREA ESG유니버설,20210719,-4824,0,5000
29,A289250,TIGER MSCI KOREA ESG유니버설,20210716,-4802,0,4978
30,A289250,TIGER MSCI KOREA ESG유니버설,20210715,-5036,0,5212
31,A289250,TIGER MSCI KOREA ESG유니버설,20210714,-5166,0,5342
32,A289250,TIGER MSCI KOREA ESG유니버설,20210713,-5180,0,5356
33,A289250,TIGER MSCI KOREA ESG유니버설,20210712,-5181,0,5357
34,A289250,TIGER MSCI KOREA ESG유니버설,20210709,-5175,0,5351
35,A289250,TIGER MSCI KOREA ESG유니버설,20210708,-5250,0,5426
36,A289250,TIGER MSCI KOREA ESG유니버설,20210707,-5244,0,5420
37,A289250,TIGER MSCI KOREA ESG유니버설,20210706,-4931,0,5107
38,A289250,TIGER MSCI KOREA ESG유니버설,20210705,-4887,0,5063
39,A289250,TIGER MSCI KOREA ESG유니버설,20210702,-4859,0,5035
40,A289250,TIGER MSCI KOREA ESG유니버설,20210701,-4844,0,5020
41,A289250,TIGER MSCI KOREA ESG유니버설,20210630,-4883,0,5059
42,A289250,TIGER MSCI KOREA ESG유니버설,20210629,-4560,0,4736
43,A289250,TIGER MSCI KOREA ESG유니버설,20210628,-4492,0,4668
44,A289250,TIGER MSCI KOREA ESG유니버설,20210625,-5010,0,5186
45,A289250,TIGER MSCI KOREA ESG유니버설,20210624,-4942,0,5118
46,A289250,TIGER MSCI KOREA ESG유니버설,20210623,-4806,0,4982
47,A289250,TIGER MSCI KOREA ESG유니버설,20210622,-4827,0,5003
48,A289250,TIGER MSCI KOREA ESG유니버설,20210621,-4700,0,4876
49,A289250,TIGER MSCI KOREA ESG유니버설,20210618,-4735,0,4911
50,A289250,TIGER MSCI KOREA ESG유니버설,20210617,-4646,0,4822
51,A289250,TIGER MSCI KOREA ESG유니버설,20210616,-4681,0,4857
52,A289250,TIGER MSCI KOREA ESG유니버설,20210615,-4373,0,4549
53,A289250,TIGER MSCI KOREA ESG유니버설,20210614,-4394,0,4570
54,A289250,TIGER MSCI KOREA ESG유니버설,20210611,-4158,0,4334
55,A289250,TIGER MSCI KOREA ESG유니버설,20210610,-4189,0,4365
56,A289250,TIGER MSCI KOREA ESG유니버설,20210609,-3863,0,4039
57,A289250,TIGER MSCI KOREA ESG유니버설,20210608,-3751,0,3927
58,A289250,TIGER MSCI KOREA ESG유니버설,20210607,-3791,0,3967
59,A289250,TIGER MSCI KOREA ESG유니버설,20210604,-3767,0,3943
60,A289250,TIGER MSCI KOREA ESG유니버설,20210603,-3412,0,3588
61,A289250,TIGER MSCI KOREA ESG유니버설,20210602,-3506,0,3507
62,A289250,TIGER MSCI KOREA ESG유니버설,20210601,-3705,0,3706
63,A289250,TIGER MSCI KOREA ESG유니버설,20210531,-3182,0,3182
64,A289250,TIGER MSCI KOREA ESG유니버설,20210528,-3191,0,3191
65,A289250,TIGER MSCI KOREA ESG유니버설,20210527,-3193,0,3193
66,A289250,TIGER MSCI KOREA ESG유니버설,20210526,-3077,0,3077
67,A289250,TIGER MSCI KOREA ESG유니버설,20210525,-3320,0,3320
68,A289250,TIGER MSCI KOREA ESG유니버설,20210524,-3301,0,3301
69,A289250,TIGER MSCI KOREA ESG유니버설,20210521,-3339,0,3339
70,A289250,TIGER MSCI KOREA ESG유니버설,20210520,-3244,0,3244
71,A289250,TIGER MSCI KOREA ESG유니버설,20210518,-3284,0,3284
72,A289250,TIGER MSCI KOREA ESG유니버설,20210517,-3285,0,3285
73,A289250,TIGER MSCI KOREA ESG유니버설,20210514,-3377,0,3377
74,A289250,TIGER MSCI KOREA ESG유니버설,20210513,-3443,0,3443
75,A289250,TIGER MSCI KOREA ESG유니버설,20210512,-3722,0,3722
76,A289250,TIGER MSCI KOREA ESG유니버설,20210511,-3331,0,3331
77,A289250,TIGER MSCI KOREA ESG유니버설,20210510,-3341,0,3341
78,A289250,TIGER MSCI KOREA ESG유니버설,20210507,-3019,0,3019
79,A289250,TIGER MSCI KOREA ESG유니버설,20210506,-1652,0,1652
80,A289250,TIGER MSCI KOREA ESG유니버설,20210504,-1652,0,1652
81,A289250,TIGER MSCI KOREA ESG유니버설,20210503,-1473,0,1473
82,A289250,TIGER MSCI KOREA ESG유니버설,20210430,-1542,0,1542
83,A289250,TIGER MSCI KOREA ESG유니버설,20210429,-1606,0,1606
84,A289250,TIGER MSCI KOREA ESG유니버설,20210428,-1631,0,1631
85,A289250,TIGER MSCI KOREA ESG유니버설,20210427,-1645,0,1645
86,A289250,TIGER MSCI KOREA ESG유니버설,20210426,-1462,0,1462
87,A289250,TIGER MSCI KOREA ESG유니버설,20210423,-1740,0,1740
88,A289250,TIGER MSCI KOREA ESG유니버설,20210422,-1822,0,1822
89,A289250,TIGER MSCI KOREA ESG유니버설,20210421,-1787,0,1787
90,A289250,TIGER MSCI KOREA ESG유니버설,20210420,-1781,0,1781
91,A289250,TIGER MSCI KOREA ESG유니버설,20210419,-3314,0,3314
92,A289250,TIGER MSCI KOREA ESG유니버설,20210416,-3242,0,3242
93,A289250,TIGER MSCI KOREA ESG유니버설,20210415,-3021,0,3021
