,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210827,36641476,390421,-37533092
1,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210826,36304091,347655,-37147905
2,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210825,36312332,244933,-37050324
3,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210824,35950652,508995,-36952810
4,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210823,35713084,650086,-36850637
5,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210820,35712523,373685,-36572430
6,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210819,34934680,334400,-35713561
7,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210818,34922843,2040,-35365188
8,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210817,33299889,0,-33726350
9,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210813,29092695,0,-29485903
10,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210812,27373920,0,-27743114
11,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210811,25846768,26800,-26228515
12,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210810,25998279,24746,-26372488
13,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210809,24932180,0,-25268842
14,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210806,22112379,159061,-22587289
15,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210805,21002031,623101,-21929119
16,A394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),20210804,19927240,220881,-20446387
