,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210827,1598910,-153,-1648499
1,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210826,1566554,-153,-1616569
2,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210825,1525174,-153,-1575465
3,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210824,1500032,-153,-1550681
4,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210823,1458323,-153,-1507387
5,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210820,1431831,-153,-1480109
6,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210819,1447358,-127,-1489337
7,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210818,1452975,-153,-1494872
8,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210817,1343035,-153,-1375866
9,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210813,1317774,-153,-1350273
10,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210812,1323968,-145,-1356451
11,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210811,1308762,-153,-1340699
12,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210810,1292252,-127,-1323731
13,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210809,1304891,-153,-1334940
14,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210806,1251010,-153,-1280886
15,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210805,1233202,-153,-1262974
16,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210804,1209280,-153,-1238816
17,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210803,1177856,-153,-1206804
18,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210802,1131943,-153,-1160866
19,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210730,1124316,-153,-1153240
20,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210729,1053686,-136,-1082347
21,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210728,980383,-153,-1007544
22,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210727,939864,-153,-966623
23,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210726,895306,-134,-920488
24,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210723,884847,-130,-909852
25,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210722,865789,-153,-890738
26,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210721,853792,-153,-878724
27,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210720,832177,-153,-857734
28,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210719,824883,-127,-851405
29,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210716,807710,-153,-833882
30,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210715,734986,-127,-760464
31,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210714,691133,-153,-699526
32,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210713,661033,-153,-668931
33,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210712,617526,-147,-619258
34,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210709,575878,-153,-575853
35,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210708,568552,-150,-567924
36,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210707,552553,-153,-552097
37,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210706,555744,-153,-555027
38,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210705,513744,-153,-512334
39,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210702,491512,-153,-489352
40,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210701,463346,-153,-461034
41,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210630,442963,-129,-441361
42,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210629,415657,12035,-426152
43,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210628,408478,3283,-409973
44,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210625,403693,1772,-403486
45,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210624,363219,-153,-361027
46,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210623,346845,15008,-359550
47,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210622,362158,250,-360010
48,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210621,353300,236,-349689
49,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210618,323631,-141,-321329
50,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210617,355818,3900,-357798
51,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210616,356616,6747,-361648
52,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210615,347710,18680,-364355
53,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210614,370223,19347,-387370
54,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210611,396866,19223,-413831
55,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210610,405626,16777,-420347
56,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210609,407524,16777,-422231
57,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210608,410165,16797,-424875
58,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210607,445418,11831,-454616
59,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210604,474420,10808,-483185
60,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210603,442022,10202,-450139
61,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210602,448795,10216,-458161
62,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210601,454483,10197,-463438
63,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210531,428421,6901,-434012
64,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210528,421407,5971,-426033
65,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210527,407227,5974,-413200
66,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210526,404346,5954,-410283
67,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210525,390254,5948,-396174
68,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210524,439051,5974,-445224
69,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210521,428441,5957,-434448
70,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210520,455813,5966,-462145
71,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210518,435263,5948,-441690
72,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210517,415171,5974,-421396
73,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210514,438786,5948,-445390
74,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210513,428013,5948,-441074
75,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210512,414401,5966,-427510
76,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210511,428424,5948,-442008
77,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210510,323739,5948,-336686
78,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210507,309256,5948,-323182
79,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210506,322870,5948,-336611
80,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210504,248314,5966,-261247
81,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210503,219601,5974,-232845
82,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210430,227671,5948,-240788
83,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210429,215183,5948,-228288
84,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210428,194866,5971,-207855
85,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210427,188894,5954,-201612
86,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210426,202378,5948,-215526
87,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210423,206606,5948,-219923
88,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210422,168061,5960,-181287
89,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210421,173780,5974,-186670
90,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210420,156528,5948,-169141
91,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210419,77853,5948,-90150
92,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210416,78914,5957,-91113
93,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210415,75145,5948,-86969
94,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210414,33591,5948,-45274
95,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210413,24549,5948,-36072
96,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210412,11888,5948,-22874
97,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210409,26719,5948,-39953
98,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210408,32169,5963,-45377
99,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210407,51782,5948,-64928
100,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210406,29259,5948,-42268
101,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210405,37204,5948,-50120
102,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210402,15836,5948,-26004
103,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210401,19884,5972,-30158
104,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210331,46147,5971,-56324
105,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210330,31149,5948,-41073
106,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210329,32461,5948,-42563
107,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210326,33019,5948,-43170
108,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210325,20739,5958,-30847
109,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210324,-9513,5964,419
110,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210323,13707,5971,-22998
111,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210322,24827,5948,-34101
112,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210319,42383,5962,-51830
113,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210318,-16851,5948,8769
114,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210317,-35839,5948,28844
115,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210316,-39113,5980,32222
116,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210315,-28881,5980,22178
117,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210312,-41247,6001,34472
118,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210311,-51534,-20,51319
