,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A150460,TIGER 중국소비테마,20210827,-198553,214,232020
1,A150460,TIGER 중국소비테마,20210826,-193946,-20,227647
2,A150460,TIGER 중국소비테마,20210825,-194266,214,227749
3,A150460,TIGER 중국소비테마,20210824,-191497,20,225183
4,A150460,TIGER 중국소비테마,20210823,-190752,118,224336
5,A150460,TIGER 중국소비테마,20210820,-188237,133,221810
6,A150460,TIGER 중국소비테마,20210819,-185185,13,218886
7,A150460,TIGER 중국소비테마,20210818,-179512,214,213019
8,A150460,TIGER 중국소비테마,20210817,-167494,118,201098
9,A150460,TIGER 중국소비테마,20210813,-153727,214,187237
10,A150460,TIGER 중국소비테마,20210812,-138853,-22,172621
11,A150460,TIGER 중국소비테마,20210811,-122512,214,156044
12,A150460,TIGER 중국소비테마,20210810,-127114,66,160795
13,A150460,TIGER 중국소비테마,20210809,-130265,214,163803
14,A150460,TIGER 중국소비테마,20210806,-131200,-22,164998
15,A150460,TIGER 중국소비테마,20210805,-126269,100,159882
16,A150460,TIGER 중국소비테마,20210804,-128421,-22,162154
17,A150460,TIGER 중국소비테마,20210803,-121163,214,154653
18,A150460,TIGER 중국소비테마,20210802,-115337,214,148829
19,A150460,TIGER 중국소비테마,20210730,-112385,83,146010
20,A150460,TIGER 중국소비테마,20210729,-104926,179,138450
21,A150460,TIGER 중국소비테마,20210728,-99899,-22,134095
22,A150460,TIGER 중국소비테마,20210727,-91396,189,125382
23,A150460,TIGER 중국소비테마,20210726,-89742,152,123768
24,A150460,TIGER 중국소비테마,20210723,-87145,214,121105
25,A150460,TIGER 중국소비테마,20210722,-82727,40,116743
26,A150460,TIGER 중국소비테마,20210721,-79048,63,113034
27,A150460,TIGER 중국소비테마,20210720,-82438,191,116299
28,A150460,TIGER 중국소비테마,20210719,-77174,214,111015
29,A150460,TIGER 중국소비테마,20210716,-69158,199,103013
30,A150460,TIGER 중국소비테마,20210715,-67764,605,101275
31,A150460,TIGER 중국소비테마,20210714,-66919,588,100447
32,A150460,TIGER 중국소비테마,20210713,-55905,459,89563
33,A150460,TIGER 중국소비테마,20210712,-50104,432,83336
34,A150460,TIGER 중국소비테마,20210709,-46347,515,79554
35,A150460,TIGER 중국소비테마,20210708,-42964,454,76188
36,A150460,TIGER 중국소비테마,20210707,-28155,570,59864
37,A150460,TIGER 중국소비테마,20210706,-32625,714,64192
38,A150460,TIGER 중국소비테마,20210705,-32523,714,64091
39,A150460,TIGER 중국소비테마,20210702,-21221,693,48713
40,A150460,TIGER 중국소비테마,20210701,-17174,714,44648
41,A150460,TIGER 중국소비테마,20210630,-9318,482,36971
42,A150460,TIGER 중국소비테마,20210629,-4560,647,32048
43,A150460,TIGER 중국소비테마,20210628,-7608,567,35180
44,A150460,TIGER 중국소비테마,20210625,-5254,478,32897
45,A150460,TIGER 중국소비테마,20210624,-33725,514,61332
46,A150460,TIGER 중국소비테마,20210623,-4919,714,31360
47,A150460,TIGER 중국소비테마,20210622,-6303,541,17919
48,A150460,TIGER 중국소비테마,20210621,4747,608,6807
49,A150460,TIGER 중국소비테마,20210618,21230,627,-22314
50,A150460,TIGER 중국소비테마,20210617,21672,592,-22575
51,A150460,TIGER 중국소비테마,20210616,21569,620,-22450
52,A150460,TIGER 중국소비테마,20210615,25384,478,-26102
53,A150460,TIGER 중국소비테마,20210614,31253,714,-32204
54,A150460,TIGER 중국소비테마,20210611,22133,714,-23023
55,A150460,TIGER 중국소비테마,20210610,9703,714,-10318
56,A150460,TIGER 중국소비테마,20210609,29015,478,-29406
57,A150460,TIGER 중국소비테마,20210608,24737,695,-25040
58,A150460,TIGER 중국소비테마,20210607,30859,611,-31176
59,A150460,TIGER 중국소비테마,20210604,42134,564,-42392
60,A150460,TIGER 중국소비테마,20210603,93624,478,-153648
61,A150460,TIGER 중국소비테마,20210602,96765,478,-156723
62,A150460,TIGER 중국소비테마,20210601,102126,714,-162082
63,A150460,TIGER 중국소비테마,20210531,51082,645,-110800
64,A150460,TIGER 중국소비테마,20210528,34833,214,-92274
65,A150460,TIGER 중국소비테마,20210527,18637,150,-72238
66,A150460,TIGER 중국소비테마,20210526,-16973,64,-36548
67,A150460,TIGER 중국소비테마,20210525,-89492,112,72063
68,A150460,TIGER 중국소비테마,20210524,-87480,-22,70188
69,A150460,TIGER 중국소비테마,20210521,-90045,78,72693
70,A150460,TIGER 중국소비테마,20210520,-82061,214,64532
71,A150460,TIGER 중국소비테마,20210518,-84436,-22,67095
72,A150460,TIGER 중국소비테마,20210517,-91313,-22,73960
73,A150460,TIGER 중국소비테마,20210514,-129378,-22,131279
74,A150460,TIGER 중국소비테마,20210513,-111407,164,112939
75,A150460,TIGER 중국소비테마,20210512,-103010,214,104355
76,A150460,TIGER 중국소비테마,20210511,-102163,-22,105248
77,A150460,TIGER 중국소비테마,20210510,-97256,-22,100392
78,A150460,TIGER 중국소비테마,20210507,-109661,102,113543
79,A150460,TIGER 중국소비테마,20210506,-95476,114,99037
