,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A228790,TIGER 화장품,20210827,2613879,10079,-2657547
1,A228790,TIGER 화장품,20210826,2565315,0,-2597904
2,A228790,TIGER 화장품,20210825,2506205,0,-2542372
3,A228790,TIGER 화장품,20210824,2452423,0,-2480554
4,A228790,TIGER 화장품,20210823,2188446,11027,-2215871
5,A228790,TIGER 화장품,20210820,2178651,1193,-2196199
6,A228790,TIGER 화장품,20210819,2109167,5410,-2130928
7,A228790,TIGER 화장품,20210818,2042255,0,-2057581
8,A228790,TIGER 화장품,20210817,2004595,3895,-2023813
9,A228790,TIGER 화장품,20210813,1969660,7338,-1992412
10,A228790,TIGER 화장품,20210812,1946114,0,-1961430
11,A228790,TIGER 화장품,20210811,1885433,174,-1901523
12,A228790,TIGER 화장품,20210810,1858954,0,-1874870
13,A228790,TIGER 화장품,20210809,1819685,1035,-1836632
14,A228790,TIGER 화장품,20210806,1795339,0,-1811248
15,A228790,TIGER 화장품,20210805,1794718,0,-1810602
16,A228790,TIGER 화장품,20210804,1764407,0,-1780163
17,A228790,TIGER 화장품,20210803,1706414,0,-1722162
18,A228790,TIGER 화장품,20210802,1550165,3758,-1569516
19,A228790,TIGER 화장품,20210730,1525530,10792,-1551912
20,A228790,TIGER 화장품,20210729,1479746,13627,-1507052
21,A228790,TIGER 화장품,20210728,1438316,18039,-1468701
22,A228790,TIGER 화장품,20210727,1471968,0,-1483687
23,A228790,TIGER 화장품,20210726,1468661,0,-1480071
24,A228790,TIGER 화장품,20210723,1415690,0,-1425314
25,A228790,TIGER 화장품,20210722,1336015,5537,-1350461
26,A228790,TIGER 화장품,20210721,1299800,1984,-1310538
27,A228790,TIGER 화장품,20210720,1289220,2495,-1300425
28,A228790,TIGER 화장품,20210719,1284515,1785,-1294487
29,A228790,TIGER 화장품,20210716,1250371,0,-1257428
30,A228790,TIGER 화장품,20210715,1225230,0,-1227528
31,A228790,TIGER 화장품,20210714,1206533,0,-1209730
32,A228790,TIGER 화장품,20210713,1206013,414,-1209515
33,A228790,TIGER 화장품,20210712,1166751,8375,-1178178
34,A228790,TIGER 화장품,20210709,1153567,13983,-1169660
35,A228790,TIGER 화장품,20210708,1172381,8931,-1198233
36,A228790,TIGER 화장품,20210707,1172790,1532,-1189768
37,A228790,TIGER 화장품,20210706,1143786,999,-1159203
38,A228790,TIGER 화장품,20210705,1118264,0,-1134486
39,A228790,TIGER 화장품,20210702,1112940,0,-1128638
40,A228790,TIGER 화장품,20210701,1025684,90,-1039069
41,A228790,TIGER 화장품,20210630,1036993,0,-1046734
42,A228790,TIGER 화장품,20210629,974969,0,-983579
43,A228790,TIGER 화장품,20210628,908417,0,-917023
44,A228790,TIGER 화장품,20210625,929380,2308,-940116
45,A228790,TIGER 화장품,20210624,845092,20000,-873051
46,A228790,TIGER 화장품,20210623,828034,12985,-849185
47,A228790,TIGER 화장품,20210622,784443,12062,-812811
48,A228790,TIGER 화장품,20210621,745306,12031,-773931
49,A228790,TIGER 화장품,20210618,800351,155,-816725
50,A228790,TIGER 화장품,20210617,837324,155,-853716
51,A228790,TIGER 화장품,20210616,886301,155,-903373
52,A228790,TIGER 화장품,20210615,901393,155,-919146
53,A228790,TIGER 화장품,20210614,937174,0,-954760
54,A228790,TIGER 화장품,20210611,895848,0,-912228
55,A228790,TIGER 화장품,20210610,866066,1850,-884174
56,A228790,TIGER 화장품,20210609,847769,490,-859143
57,A228790,TIGER 화장품,20210608,805100,0,-815772
58,A228790,TIGER 화장품,20210607,732136,0,-744283
59,A228790,TIGER 화장품,20210604,705474,0,-717903
60,A228790,TIGER 화장품,20210603,774154,0,-786360
61,A228790,TIGER 화장품,20210602,672289,0,-683763
62,A228790,TIGER 화장품,20210601,551047,5,-562314
63,A228790,TIGER 화장품,20210531,463684,0,-474834
64,A228790,TIGER 화장품,20210528,278333,0,-287071
65,A228790,TIGER 화장품,20210527,75327,0,-83742
66,A228790,TIGER 화장품,20210526,-62464,0,54522
67,A228790,TIGER 화장품,20210525,-106514,0,108364
68,A228790,TIGER 화장품,20210524,-143896,0,145658
69,A228790,TIGER 화장품,20210521,-158208,0,161204
70,A228790,TIGER 화장품,20210520,-176398,0,180860
71,A228790,TIGER 화장품,20210518,-144816,0,147597
72,A228790,TIGER 화장품,20210517,-122561,0,125157
73,A228790,TIGER 화장품,20210514,-130184,0,132792
