,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A000860,강남제비스코,20210827,-98185,61047,27423
1,A000860,강남제비스코,20210826,-95439,55617,30036
2,A000860,강남제비스코,20210825,-101752,49849,42231
3,A000860,강남제비스코,20210824,-120171,41825,67467
4,A000860,강남제비스코,20210823,-129914,29071,86014
5,A000860,강남제비스코,20210820,-136438,24664,97498
6,A000860,강남제비스코,20210819,-134227,15538,104445
7,A000860,강남제비스코,20210818,-145050,12835,118210
8,A000860,강남제비스코,20210817,-138302,6165,120376
9,A000860,강남제비스코,20210813,-138067,5062,121016
10,A000860,강남제비스코,20210812,-136628,3897,121879
11,A000860,강남제비스코,20210811,-137328,4082,122875
12,A000860,강남제비스코,20210810,-137231,2956,123960
13,A000860,강남제비스코,20210809,-138751,2789,125506
14,A000860,강남제비스코,20210806,-139303,3203,125639
15,A000860,강남제비스코,20210805,-139654,4130,124557
16,A000860,강남제비스코,20210804,-141061,4476,125627
17,A000860,강남제비스코,20210803,-142896,5398,126540
18,A000860,강남제비스코,20210802,-145941,9913,125047
19,A000860,강남제비스코,20210730,-151805,7916,124547
20,A000860,강남제비스코,20210729,-154112,9220,124517
21,A000860,강남제비스코,20210728,-147120,8052,118673
22,A000860,강남제비스코,20210727,-148133,10983,117436
23,A000860,강남제비스코,20210726,-151126,13521,118449
24,A000860,강남제비스코,20210723,-151181,15151,118381
25,A000860,강남제비스코,20210722,-149844,14572,117596
26,A000860,강남제비스코,20210721,-150581,17749,114913
27,A000860,강남제비스코,20210720,-143564,8933,115619
28,A000860,강남제비스코,20210719,-145059,7257,118744
29,A000860,강남제비스코,20210716,-156517,14276,122259
30,A000860,강남제비스코,20210715,-159182,17979,121149
31,A000860,강남제비스코,20210714,-161479,20596,121426
32,A000860,강남제비스코,20210713,-136430,4524,121482
33,A000860,강남제비스코,20210712,-131788,4826,119415
34,A000860,강남제비스코,20210709,-126390,3515,118071
35,A000860,강남제비스코,20210708,-132755,4900,123401
36,A000860,강남제비스코,20210707,-137890,10799,122248
37,A000860,강남제비스코,20210706,-146939,16675,126366
38,A000860,강남제비스코,20210705,-138619,8665,126177
39,A000860,강남제비스코,20210702,-135278,6777,125373
40,A000860,강남제비스코,20210701,-135415,5242,125864
41,A000860,강남제비스코,20210630,-141979,11237,126918
42,A000860,강남제비스코,20210629,-143412,14241,126498
43,A000860,강남제비스코,20210628,-149805,20142,127034
44,A000860,강남제비스코,20210625,-130175,1015,125741
45,A000860,강남제비스코,20210624,-128093,727,123938
46,A000860,강남제비스코,20210623,-129764,36,126326
47,A000860,강남제비스코,20210622,-130528,1822,125302
48,A000860,강남제비스코,20210621,-130000,1412,125233
49,A000860,강남제비스코,20210618,-127749,2557,121912
50,A000860,강남제비스코,20210617,-131139,6978,120640
51,A000860,강남제비스코,20210616,-129216,7001,118960
52,A000860,강남제비스코,20210615,-128727,7977,117595
53,A000860,강남제비스코,20210614,-124427,9133,112123
54,A000860,강남제비스코,20210611,-122990,7678,112099
55,A000860,강남제비스코,20210610,-124427,8204,113013
56,A000860,강남제비스코,20210609,-122018,6579,112239
57,A000860,강남제비스코,20210608,-123044,7720,112332
58,A000860,강남제비스코,20210607,-121628,7444,111132
59,A000860,강남제비스코,20210604,-121552,7382,111123
60,A000860,강남제비스코,20210603,-122062,8090,110928
61,A000860,강남제비스코,20210602,-122310,9005,110142
62,A000860,강남제비스코,20210601,-122087,8715,110411
63,A000860,강남제비스코,20210531,-121900,8355,110576
64,A000860,강남제비스코,20210528,-122818,8857,110783
65,A000860,강남제비스코,20210527,-127727,6986,117563
66,A000860,강남제비스코,20210526,-133642,5120,125348
67,A000860,강남제비스코,20210525,-133499,3984,126329
68,A000860,강남제비스코,20210524,-146256,2766,140431
69,A000860,강남제비스코,20210521,-155234,1053,151082
70,A000860,강남제비스코,20210520,-166774,5757,158256
71,A000860,강남제비스코,20210518,-164274,3253,158459
72,A000860,강남제비스코,20210517,-157501,-4363,159390
73,A000860,강남제비스코,20210514,-161455,-2107,161110
74,A000860,강남제비스코,20210513,-163381,-283,161282
75,A000860,강남제비스코,20210512,-163480,-513,161356
76,A000860,강남제비스코,20210511,-161912,2024,157168
77,A000860,강남제비스코,20210510,-165662,5052,157567
78,A000860,강남제비스코,20210507,-160232,7966,149153
79,A000860,강남제비스코,20210506,-138121,-8683,144258
80,A000860,강남제비스코,20210504,-130715,-15876,144352
81,A000860,강남제비스코,20210503,-129138,-16749,144873
82,A000860,강남제비스코,20210430,-126801,-18781,143869
83,A000860,강남제비스코,20210429,-121049,-20833,140055
84,A000860,강남제비스코,20210428,-115842,-25941,139951
85,A000860,강남제비스코,20210427,-117800,-24719,140426
86,A000860,강남제비스코,20210426,-117399,-25675,141076
87,A000860,강남제비스코,20210423,-118798,-24879,141569
88,A000860,강남제비스코,20210422,-116720,-27483,142151
89,A000860,강남제비스코,20210421,-107119,-30325,135381
90,A000860,강남제비스코,20210420,-112520,-26458,136572
91,A000860,강남제비스코,20210419,-111779,-27462,136835
92,A000860,강남제비스코,20210416,-110833,-29153,137422
93,A000860,강남제비스코,20210415,-109291,-30665,137311
94,A000860,강남제비스코,20210414,-112459,-27522,137416
95,A000860,강남제비스코,20210413,-112344,-27773,137564
96,A000860,강남제비스코,20210412,-123213,-20052,139771
97,A000860,강남제비스코,20210409,-117680,-23543,137727
98,A000860,강남제비스코,20210408,-116785,-18363,131556
99,A000860,강남제비스코,20210407,-106908,-22487,125769
100,A000860,강남제비스코,20210406,-109114,-19403,124916
101,A000860,강남제비스코,20210405,-113280,-15671,125797
102,A000860,강남제비스코,20210402,-113228,-16141,125812
103,A000860,강남제비스코,20210401,-110685,-9914,120014
104,A000860,강남제비스코,20210331,-111970,7994,101946
105,A000860,강남제비스코,20210330,-31094,-13222,42211
106,A000860,강남제비스코,20210329,-15066,-9328,26583
107,A000860,강남제비스코,20210326,-15226,-9443,26756
108,A000860,강남제비스코,20210325,-16256,-8750,27029
109,A000860,강남제비스코,20210324,-9130,-16739,27995
110,A000860,강남제비스코,20210323,-8508,-15989,26622
111,A000860,강남제비스코,20210322,-15230,-9403,26758
112,A000860,강남제비스코,20210319,-13953,-8565,24129
113,A000860,강남제비스코,20210318,-12938,-7614,22242
114,A000860,강남제비스코,20210317,-13364,-7031,22084
115,A000860,강남제비스코,20210316,-16311,-4685,22203
116,A000860,강남제비스코,20210315,-16004,-4173,21885
117,A000860,강남제비스코,20210312,-12698,-7168,22428
118,A000860,강남제비스코,20210311,-15225,-4248,22824
