,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A204620,글로벌텍스프리,20210827,1620048,-382732,-263601
1,A204620,글로벌텍스프리,20210826,1616790,-379369,-263601
2,A204620,글로벌텍스프리,20210825,1616715,-379775,-263601
3,A204620,글로벌텍스프리,20210824,1621284,-384344,-263601
4,A204620,글로벌텍스프리,20210823,1607442,-382095,-251968
5,A204620,글로벌텍스프리,20210820,1612476,-386729,-251968
6,A204620,글로벌텍스프리,20210819,1634117,-407318,-251968
7,A204620,글로벌텍스프리,20210818,1626913,-398997,-251978
8,A204620,글로벌텍스프리,20210817,1651749,-423768,-251978
9,A204620,글로벌텍스프리,20210813,1639139,-417519,-251985
10,A204620,글로벌텍스프리,20210812,1633722,-411392,-251989
11,A204620,글로벌텍스프리,20210811,1626580,-407881,-251989
12,A204620,글로벌텍스프리,20210810,1635594,-411233,-252000
13,A204620,글로벌텍스프리,20210809,1629543,-401082,-252000
14,A204620,글로벌텍스프리,20210806,1634056,-401773,-252000
15,A204620,글로벌텍스프리,20210805,1626098,-393779,-252000
16,A204620,글로벌텍스프리,20210804,1637526,-406356,-252003
17,A204620,글로벌텍스프리,20210803,1655054,-418380,-252003
18,A204620,글로벌텍스프리,20210802,1683200,-441997,-252013
19,A204620,글로벌텍스프리,20210730,1683409,-440490,-252019
20,A204620,글로벌텍스프리,20210729,1677304,-433458,-252023
21,A204620,글로벌텍스프리,20210728,1682312,-437923,-252023
22,A204620,글로벌텍스프리,20210727,1686214,-439245,-252033
23,A204620,글로벌텍스프리,20210726,1679448,-431479,-252033
24,A204620,글로벌텍스프리,20210723,1669308,-420826,-252037
25,A204620,글로벌텍스프리,20210722,1665077,-415914,-252044
26,A204620,글로벌텍스프리,20210721,1667832,-418573,-252044
27,A204620,글로벌텍스프리,20210720,1654403,-404870,-252048
28,A204620,글로벌텍스프리,20210719,1663976,-414573,-252058
29,A204620,글로벌텍스프리,20210716,1662249,-413637,-252058
30,A204620,글로벌텍스프리,20210715,1648677,-398928,-252058
31,A204620,글로벌텍스프리,20210714,1662180,-411419,-252066
32,A204620,글로벌텍스프리,20210713,1639770,-389303,-252074
33,A204620,글로벌텍스프리,20210712,1629782,-377595,-252074
34,A204620,글로벌텍스프리,20210709,1640028,-384133,-252074
35,A204620,글로벌텍스프리,20210708,1676909,-421257,-252082
36,A204620,글로벌텍스프리,20210707,1701306,-432519,-255120
37,A204620,글로벌텍스프리,20210706,1678816,-413728,-255121
38,A204620,글로벌텍스프리,20210705,1671510,-411142,-255121
39,A204620,글로벌텍스프리,20210702,1642058,-393450,-255121
40,A204620,글로벌텍스프리,20210701,1636611,-386447,-255121
41,A204620,글로벌텍스프리,20210630,1662736,-414539,-255121
42,A204620,글로벌텍스프리,20210629,1663313,-432996,-240121
43,A204620,글로벌텍스프리,20210628,1647302,-431683,-225121
44,A204620,글로벌텍스프리,20210625,1640201,-449831,-198121
45,A204620,글로벌텍스프리,20210624,1626963,-439039,-198121
46,A204620,글로벌텍스프리,20210623,1647200,-487390,-168121
47,A204620,글로벌텍스프리,20210622,1655536,-490103,-170121
48,A204620,글로벌텍스프리,20210621,1613748,-448264,-170121
49,A204620,글로벌텍스프리,20210618,1614560,-446383,-172121
50,A204620,글로벌텍스프리,20210617,1602195,-435392,-172121
51,A204620,글로벌텍스프리,20210616,1538467,-372262,-172121
52,A204620,글로벌텍스프리,20210615,1513513,-331149,-172121
53,A204620,글로벌텍스프리,20210614,1459990,-308753,-172121
54,A204620,글로벌텍스프리,20210611,1432384,-284708,-174121
55,A204620,글로벌텍스프리,20210610,1305919,-257659,-145245
56,A204620,글로벌텍스프리,20210609,840672,50743,-108101
57,A204620,글로벌텍스프리,20210608,740274,-80116,-160539
58,A204620,글로벌텍스프리,20210607,718330,-64122,-150539
59,A204620,글로벌텍스프리,20210604,707353,-53518,-153539
60,A204620,글로벌텍스프리,20210603,687580,-26551,-158539
61,A204620,글로벌텍스프리,20210602,609987,52144,-158539
62,A204620,글로벌텍스프리,20210601,563576,87083,-158539
63,A204620,글로벌텍스프리,20210531,462484,180994,-158539
64,A204620,글로벌텍스프리,20210528,635080,5915,-158539
65,A204620,글로벌텍스프리,20210527,653405,-4546,-158539
66,A204620,글로벌텍스프리,20210526,515162,-20631,-158539
67,A204620,글로벌텍스프리,20210525,506575,-32816,-158539
68,A204620,글로벌텍스프리,20210524,528973,-63295,-158539
69,A204620,글로벌텍스프리,20210521,512677,-49194,-158539
70,A204620,글로벌텍스프리,20210520,507106,-42867,-158539
71,A204620,글로벌텍스프리,20210518,498576,-27534,-158539
72,A204620,글로벌텍스프리,20210517,507631,-62422,-158539
73,A204620,글로벌텍스프리,20210514,426209,-20858,-158539
74,A204620,글로벌텍스프리,20210513,370523,29042,-158539
75,A204620,글로벌텍스프리,20210512,448570,-98888,-158849
76,A204620,글로벌텍스프리,20210511,-163474,219448,-107576
77,A204620,글로벌텍스프리,20210510,-86135,120962,-107576
78,A204620,글로벌텍스프리,20210507,-141810,144174,-87328
79,A204620,글로벌텍스프리,20210506,-229586,209319,-61441
80,A204620,글로벌텍스프리,20210504,-228609,213038,-61441
81,A204620,글로벌텍스프리,20210503,-210046,148702,-16441
82,A204620,글로벌텍스프리,20210430,-216971,97121,28578
83,A204620,글로벌텍스프리,20210429,1900,-111161,11642
84,A204620,글로벌텍스프리,20210428,36394,-145779,11642
85,A204620,글로벌텍스프리,20210427,-15719,-93342,11642
86,A204620,글로벌텍스프리,20210426,-31075,-78173,11864
87,A204620,글로벌텍스프리,20210423,-30354,-78868,11864
88,A204620,글로벌텍스프리,20210422,-34389,-74727,11864
89,A204620,글로벌텍스프리,20210421,15678,-125285,11864
90,A204620,글로벌텍스프리,20210420,-51883,-53472,14723
91,A204620,글로벌텍스프리,20210419,77464,-183569,14723
92,A204620,글로벌텍스프리,20210416,15998,-114001,14346
93,A204620,글로벌텍스프리,20210415,107640,-204354,20945
94,A204620,글로벌텍스프리,20210414,87607,-185767,18476
95,A204620,글로벌텍스프리,20210413,77927,-169998,15388
96,A204620,글로벌텍스프리,20210412,103825,-192669,13862
97,A204620,글로벌텍스프리,20210409,133689,-216892,10802
98,A204620,글로벌텍스프리,20210408,121071,-200437,10802
99,A204620,글로벌텍스프리,20210407,132059,-219739,17802
100,A204620,글로벌텍스프리,20210406,176836,-252569,7802
101,A204620,글로벌텍스프리,20210405,142688,-215907,7802
102,A204620,글로벌텍스프리,20210402,191693,-256910,7902
103,A204620,글로벌텍스프리,20210401,200354,-268503,7902
104,A204620,글로벌텍스프리,20210331,194053,-264284,7902
105,A204620,글로벌텍스프리,20210330,210575,-278146,7902
106,A204620,글로벌텍스프리,20210329,189071,-256801,7902
107,A204620,글로벌텍스프리,20210326,129050,-193465,3095
108,A204620,글로벌텍스프리,20210325,73345,-142458,13095
109,A204620,글로벌텍스프리,20210324,35152,-100027,13095
110,A204620,글로벌텍스프리,20210323,5938,-90224,34035
111,A204620,글로벌텍스프리,20210322,27555,-109356,33674
112,A204620,글로벌텍스프리,20210319,-54230,-5454,33435
113,A204620,글로벌텍스프리,20210318,91394,-119134,7121
114,A204620,글로벌텍스프리,20210317,94683,-110368,-2879
115,A204620,글로벌텍스프리,20210316,43307,-33945,-7879
116,A204620,글로벌텍스프리,20210315,62444,-52454,-7880
117,A204620,글로벌텍스프리,20210312,75560,-58545,-12880
118,A204620,글로벌텍스프리,20210311,61222,-54685,-12880
