,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A190510,나무가,20210827,821013,150015,-976400
1,A190510,나무가,20210826,827347,144144,-976838
2,A190510,나무가,20210825,811586,161428,-976838
3,A190510,나무가,20210824,818647,155036,-976838
4,A190510,나무가,20210823,822525,151634,-977273
5,A190510,나무가,20210820,832728,141881,-977719
6,A190510,나무가,20210819,847128,130804,-971503
7,A190510,나무가,20210818,822266,135606,-958641
8,A190510,나무가,20210817,828165,131784,-960683
9,A190510,나무가,20210813,800480,155902,-957683
10,A190510,나무가,20210812,798571,157833,-957683
11,A190510,나무가,20210811,822511,132022,-958445
12,A190510,나무가,20210810,830869,124885,-959189
13,A190510,나무가,20210809,835969,116103,-963197
14,A190510,나무가,20210806,771380,98462,-875307
15,A190510,나무가,20210805,705723,139473,-841636
16,A190510,나무가,20210804,771584,101812,-872528
17,A190510,나무가,20210803,732534,156795,-880944
18,A190510,나무가,20210802,816049,107331,-915421
19,A190510,나무가,20210730,834844,101642,-925421
20,A190510,나무가,20210729,836560,101376,-926870
21,A190510,나무가,20210728,811492,128155,-928272
22,A190510,나무가,20210727,884128,88788,-961407
23,A190510,나무가,20210726,873200,124744,-987962
24,A190510,나무가,20210723,966789,111261,-1065201
25,A190510,나무가,20210722,968341,109682,-1065201
26,A190510,나무가,20210721,976027,89940,-1064480
27,A190510,나무가,20210720,914499,147630,-1061241
28,A190510,나무가,20210719,976177,124098,-1100280
29,A190510,나무가,20210716,969722,131039,-1100280
30,A190510,나무가,20210715,869736,232040,-1100280
31,A190510,나무가,20210714,892791,209486,-1100280
32,A190510,나무가,20210713,885133,217155,-1100280
33,A190510,나무가,20210712,921987,181073,-1100280
34,A190510,나무가,20210709,938685,164618,-1100280
35,A190510,나무가,20210708,936911,166428,-1100280
36,A190510,나무가,20210707,903062,197564,-1097521
37,A190510,나무가,20210706,917547,182821,-1097521
38,A190510,나무가,20210705,920808,179598,-1097521
39,A190510,나무가,20210702,1013653,86033,-1097521
40,A190510,나무가,20210701,1016251,83896,-1097521
41,A190510,나무가,20210630,995382,105971,-1097521
42,A190510,나무가,20210629,979797,126526,-1102521
43,A190510,나무가,20210628,1006131,64992,-1067618
44,A190510,나무가,20210625,990405,54118,-1059818
45,A190510,나무가,20210624,989236,48063,-1052522
46,A190510,나무가,20210623,986303,51582,-1052522
47,A190510,나무가,20210622,975687,62263,-1052522
48,A190510,나무가,20210621,973558,64402,-1052522
49,A190510,나무가,20210618,968356,69687,-1052522
50,A190510,나무가,20210617,974033,64050,-1052522
51,A190510,나무가,20210616,982699,55384,-1052522
52,A190510,나무가,20210615,986764,51298,-1052522
53,A190510,나무가,20210614,993207,44857,-1052522
54,A190510,나무가,20210611,983169,54851,-1052522
55,A190510,나무가,20210610,983251,54769,-1052522
56,A190510,나무가,20210609,986418,51302,-1052522
57,A190510,나무가,20210608,980211,57511,-1052522
