,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A008350,³²¼±¾Ë¹Ì´½,20210827,8355396,-545685,-7965976
1,A008350,³²¼±¾Ë¹Ì´½,20210826,8438473,-628809,-7955752
2,A008350,³²¼±¾Ë¹Ì´½,20210825,8163424,-345062,-7956581
3,A008350,³²¼±¾Ë¹Ì´½,20210824,8156020,-332192,-7949437
4,A008350,³²¼±¾Ë¹Ì´½,20210823,8329643,-523427,-7930731
5,A008350,³²¼±¾Ë¹Ì´½,20210820,8452156,-669998,-7914860
6,A008350,³²¼±¾Ë¹Ì´½,20210819,8640593,-852317,-7920003
7,A008350,³²¼±¾Ë¹Ì´½,20210818,8578350,-768914,-7927232
8,A008350,³²¼±¾Ë¹Ì´½,20210817,8900041,-1083921,-7929693
9,A008350,³²¼±¾Ë¹Ì´½,20210813,8966851,-1131189,-7944603
10,A008350,³²¼±¾Ë¹Ì´½,20210812,9140944,-1282299,-7952955
11,A008350,³²¼±¾Ë¹Ì´½,20210811,9095608,-1243338,-7953856
12,A008350,³²¼±¾Ë¹Ì´½,20210810,9096421,-1231658,-7959075
13,A008350,³²¼±¾Ë¹Ì´½,20210809,9243744,-1361306,-7977792
14,A008350,³²¼±¾Ë¹Ì´½,20210806,9256056,-1368265,-7978071
15,A008350,³²¼±¾Ë¹Ì´½,20210805,9256286,-1341785,-7980563
16,A008350,³²¼±¾Ë¹Ì´½,20210804,9245355,-1328759,-7981491
17,A008350,³²¼±¾Ë¹Ì´½,20210803,9539931,-1625505,-7979362
18,A008350,³²¼±¾Ë¹Ì´½,20210802,9610320,-1706262,-7988968
19,A008350,³²¼±¾Ë¹Ì´½,20210730,9133633,-1234224,-7983197
20,A008350,³²¼±¾Ë¹Ì´½,20210729,8536563,-627467,-7982263
21,A008350,³²¼±¾Ë¹Ì´½,20210728,8689398,-776915,-7983271
22,A008350,³²¼±¾Ë¹Ì´½,20210727,8218976,-311970,-7964794
23,A008350,³²¼±¾Ë¹Ì´½,20210726,8288651,-404695,-7927787
24,A008350,³²¼±¾Ë¹Ì´½,20210723,8521453,-654220,-7921515
25,A008350,³²¼±¾Ë¹Ì´½,20210722,8691066,-884235,-7845708
26,A008350,³²¼±¾Ë¹Ì´½,20210721,8407145,-648944,-7823582
27,A008350,³²¼±¾Ë¹Ì´½,20210720,8340000,-635149,-7828780
28,A008350,³²¼±¾Ë¹Ì´½,20210719,8067254,-346866,-7820767
29,A008350,³²¼±¾Ë¹Ì´½,20210716,9119446,-1415883,-7805253
30,A008350,³²¼±¾Ë¹Ì´½,20210715,7986608,-719326,-7340538
31,A008350,³²¼±¾Ë¹Ì´½,20210714,7802866,-722243,-7140658
32,A008350,³²¼±¾Ë¹Ì´½,20210713,7674389,-737724,-7016660
33,A008350,³²¼±¾Ë¹Ì´½,20210712,7592859,-768493,-6913772
34,A008350,³²¼±¾Ë¹Ì´½,20210709,7303121,-690934,-6675401
35,A008350,³²¼±¾Ë¹Ì´½,20210708,7887074,-1246215,-6691709
36,A008350,³²¼±¾Ë¹Ì´½,20210707,7767798,-1319644,-6487507
37,A008350,³²¼±¾Ë¹Ì´½,20210706,7321331,-1092638,-6293958
38,A008350,³²¼±¾Ë¹Ì´½,20210705,7979214,-1936737,-6095713
39,A008350,³²¼±¾Ë¹Ì´½,20210702,6152884,-146309,-6096710
40,A008350,³²¼±¾Ë¹Ì´½,20210701,6026258,-26409,-6093016
41,A008350,³²¼±¾Ë¹Ì´½,20210630,6170820,-149387,-6100040
42,A008350,³²¼±¾Ë¹Ì´½,20210629,6809184,-855672,-6040976
43,A008350,³²¼±¾Ë¹Ì´½,20210628,6786196,-880400,-5993213
44,A008350,³²¼±¾Ë¹Ì´½,20210625,6647227,-958297,-5780926
45,A008350,³²¼±¾Ë¹Ì´½,20210624,6374448,-932905,-5533216
46,A008350,³²¼±¾Ë¹Ì´½,20210623,6016115,-822302,-5280611
47,A008350,³²¼±¾Ë¹Ì´½,20210622,5567316,-725006,-4915884
48,A008350,³²¼±¾Ë¹Ì´½,20210621,5460560,-897366,-4653397
49,A008350,³²¼±¾Ë¹Ì´½,20210618,5515416,-1035159,-4567051
50,A008350,³²¼±¾Ë¹Ì´½,20210617,5521979,-1216387,-4381864
51,A008350,³²¼±¾Ë¹Ì´½,20210616,5395253,-1318542,-4152499
52,A008350,³²¼±¾Ë¹Ì´½,20210615,5193520,-1392972,-3873409
53,A008350,³²¼±¾Ë¹Ì´½,20210614,4736872,-1201606,-3602749
54,A008350,³²¼±¾Ë¹Ì´½,20210611,4535411,-1106624,-3494742
55,A008350,³²¼±¾Ë¹Ì´½,20210610,4697580,-1303423,-3461908
56,A008350,³²¼±¾Ë¹Ì´½,20210609,5078844,-3195396,-1951926
57,A008350,³²¼±¾Ë¹Ì´½,20210608,4813662,-3132799,-1748597
58,A008350,³²¼±¾Ë¹Ì´½,20210607,4704618,-3120968,-1653274
59,A008350,³²¼±¾Ë¹Ì´½,20210604,4415022,-3008595,-1480474
60,A008350,³²¼±¾Ë¹Ì´½,20210603,4216532,-3052772,-1237966
61,A008350,³²¼±¾Ë¹Ì´½,20210602,4111151,-3111619,-1076902
62,A008350,³²¼±¾Ë¹Ì´½,20210601,3905477,-3110195,-884869
63,A008350,³²¼±¾Ë¹Ì´½,20210531,3806524,-3168138,-717963
64,A008350,³²¼±¾Ë¹Ì´½,20210528,3735335,-3288302,-533385
65,A008350,³²¼±¾Ë¹Ì´½,20210527,3558871,-3233467,-408374
66,A008350,³²¼±¾Ë¹Ì´½,20210526,3489005,-3314723,-252623
67,A008350,³²¼±¾Ë¹Ì´½,20210525,3374376,-3357734,-95572
68,A008350,³²¼±¾Ë¹Ì´½,20210524,3466094,-3340200,-205021
69,A008350,³²¼±¾Ë¹Ì´½,20210521,3288894,-3202801,-162296
70,A008350,³²¼±¾Ë¹Ì´½,20210520,2986657,-3014066,-48555
71,A008350,³²¼±¾Ë¹Ì´½,20210518,2730609,-2911895,106629
72,A008350,³²¼±¾Ë¹Ì´½,20210517,2645008,-2784615,65690
73,A008350,³²¼±¾Ë¹Ì´½,20210514,2596217,-2740971,90365
74,A008350,³²¼±¾Ë¹Ì´½,20210513,2448203,-2584051,78887
75,A008350,³²¼±¾Ë¹Ì´½,20210512,2497491,-2596757,44005
76,A008350,³²¼±¾Ë¹Ì´½,20210511,2207897,-2429660,147588
77,A008350,³²¼±¾Ë¹Ì´½,20210510,1933911,-2030425,28798
