,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A253590,³×¿À¼À,20210827,368832,-448127,73579
1,A253590,³×¿À¼À,20210826,458903,-466627,2008
2,A253590,³×¿À¼À,20210825,445725,-437808,2008
3,A253590,³×¿À¼À,20210824,397776,-380854,2008
4,A253590,³×¿À¼À,20210823,397434,-380512,2008
5,A253590,³×¿À¼À,20210820,404954,-388032,2008
6,A253590,³×¿À¼À,20210819,378148,-361113,2008
7,A253590,³×¿À¼À,20210818,347283,-330216,2008
8,A253590,³×¿À¼À,20210817,363343,-346324,2008
9,A253590,³×¿À¼À,20210813,358157,-341081,2008
10,A253590,³×¿À¼À,20210812,360432,-343097,2008
11,A253590,³×¿À¼À,20210811,359043,-343005,2008
12,A253590,³×¿À¼À,20210810,352758,-337026,2008
13,A253590,³×¿À¼À,20210809,349001,-333309,2008
14,A253590,³×¿À¼À,20210806,349390,-333698,2008
15,A253590,³×¿À¼À,20210805,347900,-332841,2008
16,A253590,³×¿À¼À,20210804,353972,-334911,2008
17,A253590,³×¿À¼À,20210803,352155,-332064,2008
18,A253590,³×¿À¼À,20210802,364885,-344855,2008
19,A253590,³×¿À¼À,20210730,369692,-348325,2008
20,A253590,³×¿À¼À,20210729,348783,-326364,2008
21,A253590,³×¿À¼À,20210728,339205,-324850,12008
22,A253590,³×¿À¼À,20210727,335643,-324301,12008
23,A253590,³×¿À¼À,20210726,373727,-354792,12008
24,A253590,³×¿À¼À,20210723,393432,-372002,11508
25,A253590,³×¿À¼À,20210722,100916,-108998,38308
26,A253590,³×¿À¼À,20210721,133943,-120365,17428
27,A253590,³×¿À¼À,20210720,89304,-75624,16228
28,A253590,³×¿À¼À,20210719,71234,-57424,16228
29,A253590,³×¿À¼À,20210716,29104,-15263,16228
30,A253590,³×¿À¼À,20210715,91106,-85462,13466
31,A253590,³×¿À¼À,20210714,101224,-95538,13466
32,A253590,³×¿À¼À,20210713,119595,-108212,13466
33,A253590,³×¿À¼À,20210712,129089,-118316,13466
34,A253590,³×¿À¼À,20210709,143369,-128837,13466
35,A253590,³×¿À¼À,20210708,139907,-124949,13466
36,A253590,³×¿À¼À,20210707,110210,-100834,13466
37,A253590,³×¿À¼À,20210706,111647,-102256,13466
38,A253590,³×¿À¼À,20210705,124651,-115507,13466
39,A253590,³×¿À¼À,20210702,124960,-115426,13466
40,A253590,³×¿À¼À,20210701,147422,-132311,13466
41,A253590,³×¿À¼À,20210630,162386,-155297,13466
42,A253590,³×¿À¼À,20210629,165670,-158581,13466
43,A253590,³×¿À¼À,20210628,159355,-149026,13466
44,A253590,³×¿À¼À,20210625,161897,-153994,13466
45,A253590,³×¿À¼À,20210624,167590,-177762,13466
46,A253590,³×¿À¼À,20210623,165514,-175756,13466
47,A253590,³×¿À¼À,20210622,169535,-178326,13466
48,A253590,³×¿À¼À,20210621,165039,-174629,13466
49,A253590,³×¿À¼À,20210618,144734,-154624,13466
50,A253590,³×¿À¼À,20210617,180615,-191074,13467
51,A253590,³×¿À¼À,20210616,183836,-196298,13467
52,A253590,³×¿À¼À,20210615,183896,-188708,12167
53,A253590,³×¿À¼À,20210614,186365,-190857,11867
54,A253590,³×¿À¼À,20210611,138438,-159698,11667
55,A253590,³×¿À¼À,20210610,105308,-124136,10167
56,A253590,³×¿À¼À,20210609,76269,-93842,9667
57,A253590,³×¿À¼À,20210608,34129,-46701,4667
58,A253590,³×¿À¼À,20210607,26150,-38712,4667
59,A253590,³×¿À¼À,20210604,30029,-42571,4667
60,A253590,³×¿À¼À,20210603,13040,-41553,4667
61,A253590,³×¿À¼À,20210602,37891,-65610,4667
62,A253590,³×¿À¼À,20210601,26502,-55631,4667
63,A253590,³×¿À¼À,20210531,25965,-55320,4667
64,A253590,³×¿À¼À,20210528,31800,-61155,4667
65,A253590,³×¿À¼À,20210527,36773,-66127,4667
66,A253590,³×¿À¼À,20210526,26672,-55480,4667
67,A253590,³×¿À¼À,20210525,35532,-63841,4667
68,A253590,³×¿À¼À,20210524,53942,-72572,-5333
69,A253590,³×¿À¼À,20210521,20054,-38352,-5333
70,A253590,³×¿À¼À,20210520,-6575,-11686,-5333
71,A253590,³×¿À¼À,20210518,22168,-38988,-5333
72,A253590,³×¿À¼À,20210517,70106,-86247,-5333
73,A253590,³×¿À¼À,20210514,29825,-45846,-5333
74,A253590,³×¿À¼À,20210513,18854,-39475,-5333
75,A253590,³×¿À¼À,20210512,26703,-47323,-5333
76,A253590,³×¿À¼À,20210511,-10682,-9711,-5333
77,A253590,³×¿À¼À,20210510,-34042,15234,-5333
78,A253590,³×¿À¼À,20210507,-30691,9633,-5333
79,A253590,³×¿À¼À,20210506,-36486,10100,1
80,A253590,³×¿À¼À,20210504,-38495,13909,1
81,A253590,³×¿À¼À,20210503,-75402,50820,1
82,A253590,³×¿À¼À,20210430,-98539,73957,1
83,A253590,³×¿À¼À,20210429,-122910,98328,1
84,A253590,³×¿À¼À,20210428,-129655,104716,0
85,A253590,³×¿À¼À,20210427,-154232,129420,0
86,A253590,³×¿À¼À,20210426,-173116,144670,0
87,A253590,³×¿À¼À,20210423,-184518,156073,0
88,A253590,³×¿À¼À,20210422,-183609,155164,0
89,A253590,³×¿À¼À,20210421,-131999,106053,0
90,A253590,³×¿À¼À,20210420,-215199,189513,0
91,A253590,³×¿À¼À,20210419,-268878,250273,0
92,A253590,³×¿À¼À,20210416,-108330,92703,0
93,A253590,³×¿À¼À,20210415,-100404,88558,0
94,A253590,³×¿À¼À,20210414,-104356,101231,0
95,A253590,³×¿À¼À,20210413,-85164,82058,0
96,A253590,³×¿À¼À,20210412,-60716,59611,0
97,A253590,³×¿À¼À,20210409,-43789,44684,0
98,A253590,³×¿À¼À,20210408,-18788,21383,0
99,A253590,³×¿À¼À,20210407,-19942,22540,0
100,A253590,³×¿À¼À,20210406,-10210,13808,0
101,A253590,³×¿À¼À,20210405,-54105,54552,0
102,A253590,³×¿À¼À,20210402,-24641,27088,0
103,A253590,³×¿À¼À,20210401,-14252,18852,0
104,A253590,³×¿À¼À,20210331,-7956,10414,0
105,A253590,³×¿À¼À,20210330,-11675,15940,0
106,A253590,³×¿À¼À,20210329,3983,140,0
107,A253590,³×¿À¼À,20210326,2464,1033,0
108,A253590,³×¿À¼À,20210325,-9261,12762,0
109,A253590,³×¿À¼À,20210324,-23609,27125,0
110,A253590,³×¿À¼À,20210323,5377,-531,0
111,A253590,³×¿À¼À,20210322,-29834,35322,0
112,A253590,³×¿À¼À,20210319,-54037,60973,0
113,A253590,³×¿À¼À,20210318,-45097,49383,0
114,A253590,³×¿À¼À,20210317,26663,-16296,0
115,A253590,³×¿À¼À,20210316,-6205,311,0
116,A253590,³×¿À¼À,20210315,-4913,563,0
117,A253590,³×¿À¼À,20210312,19378,-22677,0
118,A253590,³×¿À¼À,20210311,20933,-24232,0
