,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A251270,넷마블,20210827,82715,-1011556,964729
1,A251270,넷마블,20210826,82015,-1000727,954181
2,A251270,넷마블,20210825,-98321,-900451,1007405
3,A251270,넷마블,20210824,-99559,-904919,1015920
4,A251270,넷마블,20210823,-93499,-904037,1009167
5,A251270,넷마블,20210820,-84934,-875793,957331
6,A251270,넷마블,20210819,-118042,-837682,952403
7,A251270,넷마블,20210818,-144672,-815725,957055
8,A251270,넷마블,20210817,-89988,-800281,886931
9,A251270,넷마블,20210813,-91129,-791552,871753
10,A251270,넷마블,20210812,-237035,-786158,1012246
11,A251270,넷마블,20210811,-404535,-697815,1091535
12,A251270,넷마블,20210810,-351822,-692441,1033224
13,A251270,넷마블,20210809,-343849,-700724,1034041
14,A251270,넷마블,20210806,-397858,-700775,1086192
15,A251270,넷마블,20210805,-413799,-702195,1091649
16,A251270,넷마블,20210804,-418600,-690880,1083534
17,A251270,넷마블,20210803,-363500,-749463,1087038
18,A251270,넷마블,20210802,-407312,-753435,1128239
19,A251270,넷마블,20210730,-427681,-728577,1123769
20,A251270,넷마블,20210729,-475257,-686101,1125291
21,A251270,넷마블,20210728,-375784,-722571,1059438
22,A251270,넷마블,20210727,-366982,-696380,1024608
23,A251270,넷마블,20210726,-374301,-678414,1015051
24,A251270,넷마블,20210723,-453232,-607788,1024017
25,A251270,넷마블,20210722,-413091,-599185,988440
26,A251270,넷마블,20210721,-420856,-591687,987433
27,A251270,넷마블,20210720,-428390,-565169,957726
28,A251270,넷마블,20210719,-186395,-713716,859124
29,A251270,넷마블,20210716,-193972,-704434,859320
30,A251270,넷마블,20210715,-94850,-750352,829177
31,A251270,넷마블,20210714,-97797,-732443,814190
32,A251270,넷마블,20210713,-93672,-737147,815608
33,A251270,넷마블,20210712,-119300,-725103,828774
34,A251270,넷마블,20210709,-118867,-708346,812564
35,A251270,넷마블,20210708,-133928,-686004,797560
36,A251270,넷마블,20210707,-157076,-686146,825804
37,A251270,넷마블,20210706,-227394,-684625,894312
38,A251270,넷마블,20210705,-245398,-653712,881837
39,A251270,넷마블,20210702,-185830,-679898,846351
40,A251270,넷마블,20210701,-237217,-643664,863367
41,A251270,넷마블,20210630,12791,-775917,740501
42,A251270,넷마블,20210629,25184,-779450,741319
43,A251270,넷마블,20210628,61538,-789872,723522
44,A251270,넷마블,20210625,19372,-760519,737365
45,A251270,넷마블,20210624,12823,-748377,714704
46,A251270,넷마블,20210623,-12999,-746975,738384
47,A251270,넷마블,20210622,-54630,-743589,775611
48,A251270,넷마블,20210621,-81670,-724737,784466
49,A251270,넷마블,20210618,-114568,-708355,802840
50,A251270,넷마블,20210617,-122815,-691856,794439
51,A251270,넷마블,20210616,-187662,-677967,846606
52,A251270,넷마블,20210615,-330066,-565174,879176
53,A251270,넷마블,20210614,-594346,-421278,1001284
54,A251270,넷마블,20210611,-578544,-460974,1025507
55,A251270,넷마블,20210610,-689490,-388857,1066745
