,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A285490,노바텍,20210827,-70203,51831,-18156
1,A285490,노바텍,20210826,-73975,55731,-18161
2,A285490,노바텍,20210825,-76994,58792,-18161
3,A285490,노바텍,20210824,-78710,65353,-18168
4,A285490,노바텍,20210823,-91690,76510,-6205
5,A285490,노바텍,20210820,-91334,68217,1736
6,A285490,노바텍,20210819,-92455,69065,1728
7,A285490,노바텍,20210818,-92217,68838,1718
8,A285490,노바텍,20210817,-93046,69709,1712
9,A285490,노바텍,20210813,-114067,91116,1885
10,A285490,노바텍,20210812,-114655,91968,1937
11,A285490,노바텍,20210811,-112370,89400,1932
12,A285490,노바텍,20210810,-129332,96437,11860
13,A285490,노바텍,20210809,-139430,106538,11860
14,A285490,노바텍,20210806,-129526,96350,11860
15,A285490,노바텍,20210805,-124148,91181,11602
16,A285490,노바텍,20210804,-123866,91603,11602
17,A285490,노바텍,20210803,-122520,90036,11602
18,A285490,노바텍,20210802,-124961,92477,11602
19,A285490,노바텍,20210730,-131976,91704,18900
20,A285490,노바텍,20210729,-134118,94149,18900
21,A285490,노바텍,20210728,-133617,93171,18900
22,A285490,노바텍,20210727,-134615,94136,19253
23,A285490,노바텍,20210726,-138169,97720,19253
24,A285490,노바텍,20210723,-143028,102115,19258
25,A285490,노바텍,20210722,-148103,105594,19258
26,A285490,노바텍,20210721,-134318,92891,19258
27,A285490,노바텍,20210720,-139820,98063,17774
28,A285490,노바텍,20210719,-137972,96182,17774
29,A285490,노바텍,20210716,-143471,101335,17976
30,A285490,노바텍,20210715,-145123,102686,17976
31,A285490,노바텍,20210714,-144128,101734,17976
32,A285490,노바텍,20210713,-151484,106269,18497
33,A285490,노바텍,20210712,-148462,102649,18751
34,A285490,노바텍,20210709,-146032,98414,19321
35,A285490,노바텍,20210708,-148425,98971,19917
36,A285490,노바텍,20210707,-154992,103917,19917
37,A285490,노바텍,20210706,-155326,104392,19917
38,A285490,노바텍,20210705,-155261,103218,19917
39,A285490,노바텍,20210702,-154290,102151,19917
40,A285490,노바텍,20210701,-166311,106865,27316
41,A285490,노바텍,20210630,-168281,107320,28816
42,A285490,노바텍,20210629,-173295,112305,28841
43,A285490,노바텍,20210628,-174617,114215,27341
44,A285490,노바텍,20210625,-162489,101538,27668
45,A285490,노바텍,20210624,-164031,103050,27668
46,A285490,노바텍,20210623,-164127,103818,27668
47,A285490,노바텍,20210622,-166639,103724,27668
48,A285490,노바텍,20210621,-163305,100599,27668
49,A285490,노바텍,20210618,-204027,110258,58322
50,A285490,노바텍,20210617,-203775,110106,58322
51,A285490,노바텍,20210616,-205235,111465,58322
52,A285490,노바텍,20210615,-195441,102145,58322
53,A285490,노바텍,20210614,-194359,100917,58322
54,A285490,노바텍,20210611,-195225,101867,58322
55,A285490,노바텍,20210610,-196694,103404,58322
56,A285490,노바텍,20210609,-197884,105670,58322
57,A285490,노바텍,20210608,-203308,110752,58322
58,A285490,노바텍,20210607,-217620,110395,64845
59,A285490,노바텍,20210604,-217321,111572,64917
60,A285490,노바텍,20210603,-229545,123841,64917
61,A285490,노바텍,20210602,-224061,120269,61877
62,A285490,노바텍,20210601,-220329,116813,61990
63,A285490,노바텍,20210531,-213914,113019,62048
64,A285490,노바텍,20210528,-233426,123097,71656
65,A285490,노바텍,20210527,-227005,114969,71656
66,A285490,노바텍,20210526,-222577,112504,71656
67,A285490,노바텍,20210525,-223568,117198,71750
68,A285490,노바텍,20210524,-225404,118990,71844
69,A285490,노바텍,20210521,-227868,117597,79003
70,A285490,노바텍,20210520,-243400,131011,81198
71,A285490,노바텍,20210518,-249193,143680,73460
72,A285490,노바텍,20210517,-231074,126440,73460
73,A285490,노바텍,20210514,-233407,133123,72520
74,A285490,노바텍,20210513,-235291,135444,83240
75,A285490,노바텍,20210512,-250949,144020,87612
76,A285490,노바텍,20210511,-274588,153247,99751
77,A285490,노바텍,20210510,-296447,174227,100064
78,A285490,노바텍,20210507,-289298,169745,99900
79,A285490,노바텍,20210506,-305643,186339,99900
80,A285490,노바텍,20210504,-326771,208237,99590
81,A285490,노바텍,20210503,-333859,215817,98336
82,A285490,노바텍,20210430,-350441,224207,107588
83,A285490,노바텍,20210429,-361872,236177,107588
84,A285490,노바텍,20210428,-367336,248771,103782
85,A285490,노바텍,20210427,-369799,246525,108413
86,A285490,노바텍,20210426,-381168,257614,108590
87,A285490,노바텍,20210423,-387168,270915,101978
88,A285490,노바텍,20210422,-236497,156206,70152
89,A285490,노바텍,20210421,-204850,115672,68903
90,A285490,노바텍,20210420,-203570,118728,64890
91,A285490,노바텍,20210419,-186616,108647,60010
92,A285490,노바텍,20210416,-177326,107020,52297
93,A285490,노바텍,20210415,-181637,111529,52245
94,A285490,노바텍,20210414,-193530,123586,52245
95,A285490,노바텍,20210413,-205995,135471,52466
96,A285490,노바텍,20210412,-266359,174402,52627
97,A285490,노바텍,20210409,-82376,10386,50716
98,A285490,노바텍,20210408,-76618,6366,49559
99,A285490,노바텍,20210407,-72116,574,50559
100,A285490,노바텍,20210406,-73898,5394,47819
101,A285490,노바텍,20210405,-79266,11009,47477
102,A285490,노바텍,20210402,-82999,9831,52643
103,A285490,노바텍,20210401,-101547,15351,66369
104,A285490,노바텍,20210331,-94322,12094,65151
105,A285490,노바텍,20210330,-85620,7035,63821
106,A285490,노바텍,20210329,-128181,25453,100933
107,A285490,노바텍,20210326,-143704,40231,101947
108,A285490,노바텍,20210325,-114621,30546,85049
109,A285490,노바텍,20210324,-137281,50653,85743
110,A285490,노바텍,20210323,-145809,81963,63410
111,A285490,노바텍,20210322,-34085,20127,10384
112,A285490,노바텍,20210319,-7278,14906,-10112
113,A285490,노바텍,20210318,3877,4328,-9323
114,A285490,노바텍,20210317,11491,-682,-12450
115,A285490,노바텍,20210316,8641,1047,-11248
116,A285490,노바텍,20210315,6227,3412,-10648
117,A285490,노바텍,20210312,8204,767,-9908
118,A285490,노바텍,20210311,7417,1648,-9908
