,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A064260,다날,20210827,-204024,-1024173,820615
1,A064260,다날,20210826,-154015,-1093071,839824
2,A064260,다날,20210825,-250654,-1002443,839293
3,A064260,다날,20210824,-348130,-941126,839175
4,A064260,다날,20210823,-342311,-916782,829098
5,A064260,다날,20210820,-162958,-1049678,829011
6,A064260,다날,20210819,-80801,-1167964,875045
7,A064260,다날,20210818,-287731,-1123476,1042607
8,A064260,다날,20210817,-210221,-1205109,1042242
9,A064260,다날,20210813,-297486,-1163343,1078210
10,A064260,다날,20210812,-440315,-1126459,1181064
11,A064260,다날,20210811,-438944,-1132038,1180675
12,A064260,다날,20210810,-485613,-1088815,1182743
13,A064260,다날,20210809,-339140,-1221167,1167170
14,A064260,다날,20210806,-372903,-1238944,1214829
15,A064260,다날,20210805,-375174,-1228731,1205000
16,A064260,다날,20210804,-444272,-1214208,1238774
17,A064260,다날,20210803,-507660,-1177587,1237331
18,A064260,다날,20210802,-540035,-1134028,1235933
19,A064260,다날,20210730,-883159,-795074,1214661
20,A064260,다날,20210729,-473981,-1184284,1218389
21,A064260,다날,20210728,-432647,-1236879,1213016
22,A064260,다날,20210727,-985397,-526135,1120712
23,A064260,다날,20210726,-948724,-598602,1155736
24,A064260,다날,20210723,339453,-1039272,281459
25,A064260,다날,20210722,216049,-933279,328738
26,A064260,다날,20210721,148676,-860090,328151
27,A064260,다날,20210720,200689,-957592,325179
28,A064260,다날,20210719,147210,-930188,354893
29,A064260,다날,20210716,124135,-877825,353127
30,A064260,다날,20210715,-208464,-738291,470383
31,A064260,다날,20210714,-438122,-523429,527131
32,A064260,다날,20210713,-617061,-409335,616637
33,A064260,다날,20210712,-333471,-526206,467871
34,A064260,다날,20210709,-305666,-466859,385881
35,A064260,다날,20210708,-555345,-397931,532338
36,A064260,다날,20210707,-596019,-241794,469378
37,A064260,다날,20210706,-255101,-82579,-29046
38,A064260,다날,20210705,-85365,-245362,-30759
39,A064260,다날,20210702,-15519,-313424,-30010
40,A064260,다날,20210701,-142983,-184999,-31304
41,A064260,다날,20210630,-8937,-316355,-33063
42,A064260,다날,20210629,27328,-383668,-33978
43,A064260,다날,20210628,-88291,-287287,-37167
44,A064260,다날,20210625,-76662,-247938,-38963
45,A064260,다날,20210624,-117853,-200480,-42182
46,A064260,다날,20210623,-68754,-277813,-43208
47,A064260,다날,20210622,-34699,-317773,-38383
48,A064260,다날,20210621,-92618,-254224,-40180
49,A064260,다날,20210618,166835,-518263,-43038
50,A064260,다날,20210617,132613,-522146,-40130
51,A064260,다날,20210616,121844,-510545,-42339
52,A064260,다날,20210615,275246,-667189,-44045
53,A064260,다날,20210614,224426,-609380,-46159
54,A064260,다날,20210611,690627,-1075557,-38941
55,A064260,다날,20210610,688420,-1093682,-37230
56,A064260,다날,20210609,636367,-1043613,-33881
57,A064260,다날,20210608,665345,-1077564,-33097
58,A064260,다날,20210607,635255,-1047371,-33799
59,A064260,다날,20210604,660327,-1064070,-34917
60,A064260,다날,20210603,581371,-984705,-35739
61,A064260,다날,20210602,605092,-1020154,-35737
62,A064260,다날,20210601,393517,-815571,-33077
63,A064260,다날,20210531,523342,-948751,-28638
64,A064260,다날,20210528,617232,-1042998,-27790
65,A064260,다날,20210527,448431,-904145,-29108
66,A064260,다날,20210526,324509,-765634,-27431
