,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A128820,대성산업,20210827,647456,85129,-612865
1,A128820,대성산업,20210826,654532,78060,-612872
2,A128820,대성산업,20210825,656493,75592,-612865
3,A128820,대성산업,20210824,657720,75191,-613191
4,A128820,대성산업,20210823,671049,61683,-613612
5,A128820,대성산업,20210820,714829,18421,-614080
6,A128820,대성산업,20210819,732192,3832,-614120
7,A128820,대성산업,20210818,637358,98331,-613185
8,A128820,대성산업,20210817,645479,91567,-613241
9,A128820,대성산업,20210813,667965,72031,-612825
10,A128820,대성산업,20210812,630986,110824,-613981
11,A128820,대성산업,20210811,661865,84173,-614109
12,A128820,대성산업,20210810,681606,64515,-614042
13,A128820,대성산업,20210809,660951,86891,-612408
14,A128820,대성산업,20210806,644874,102230,-609850
15,A128820,대성산업,20210805,645306,101353,-609405
16,A128820,대성산업,20210804,651209,96292,-608949
17,A128820,대성산업,20210803,648651,96522,-608731
18,A128820,대성산업,20210802,633287,114027,-609572
19,A128820,대성산업,20210730,626544,130808,-618952
20,A128820,대성산업,20210729,641170,117516,-618937
21,A128820,대성산업,20210728,622443,136255,-618939
22,A128820,대성산업,20210727,597130,163108,-619191
23,A128820,대성산업,20210726,663283,92429,-614565
24,A128820,대성산업,20210723,635081,124372,-614760
25,A128820,대성산업,20210722,662224,100924,-617955
26,A128820,대성산업,20210721,672691,89937,-617934
27,A128820,대성산업,20210720,653910,103233,-610749
28,A128820,대성산업,20210719,659530,89392,-601728
29,A128820,대성산업,20210716,646161,105611,-601708
30,A128820,대성산업,20210715,683166,67702,-601527
31,A128820,대성산업,20210714,696949,55689,-604811
32,A128820,대성산업,20210713,692393,67984,-612070
33,A128820,대성산업,20210712,708599,54661,-612100
34,A128820,대성산업,20210709,712479,57295,-612035
35,A128820,대성산업,20210708,724256,24198,-588856
36,A128820,대성산업,20210707,616161,87746,-532837
37,A128820,대성산업,20210706,632891,44455,-507014
38,A128820,대성산업,20210705,627071,50393,-507006
39,A128820,대성산업,20210702,598951,72800,-502288
40,A128820,대성산업,20210701,594429,76393,-502259
41,A128820,대성산업,20210630,585704,86469,-504302
42,A128820,대성산업,20210629,604913,75480,-509396
43,A128820,대성산업,20210628,614017,85634,-527458
44,A128820,대성산업,20210625,656785,52367,-536422
45,A128820,대성산업,20210624,626999,54479,-508530
46,A128820,대성산업,20210623,670756,26912,-526504
47,A128820,대성산업,20210622,649586,39674,-517651
48,A128820,대성산업,20210621,529921,138287,-503515
49,A128820,대성산업,20210618,618141,48132,-504092
50,A128820,대성산업,20210617,608245,49036,-495100
51,A128820,대성산업,20210616,594623,58243,-490541
52,A128820,대성산업,20210615,591889,52398,-482376
53,A128820,대성산업,20210614,587896,7903,-499572
54,A128820,대성산업,20210611,575178,16208,-493620
55,A128820,대성산업,20210610,565048,21158,-487508
56,A128820,대성산업,20210609,529560,57181,-489084
57,A128820,대성산업,20210608,521764,66791,-489093
58,A128820,대성산업,20210607,544895,45889,-489072
59,A128820,대성산업,20210604,524353,63289,-482984
60,A128820,대성산업,20210603,535111,55548,-482942
61,A128820,대성산업,20210602,443820,134109,-482864
62,A128820,대성산업,20210601,425384,129085,-482578
63,A128820,대성산업,20210531,436116,137061,-510134
64,A128820,대성산업,20210528,473090,107660,-514930
65,A128820,대성산업,20210527,466116,113363,-514912
66,A128820,대성산업,20210526,472146,104746,-514907
67,A128820,대성산업,20210525,501099,77866,-514281
68,A128820,대성산업,20210524,495570,50169,-512114
69,A128820,대성산업,20210521,359296,146923,-473356
70,A128820,대성산업,20210520,212990,237764,-514639
71,A128820,대성산업,20210518,246088,188868,-493412
72,A128820,대성산업,20210517,-15236,191041,-214447
73,A128820,대성산업,20210514,-33972,217207,-212528
74,A128820,대성산업,20210513,-107149,289500,-213213
75,A128820,대성산업,20210512,-46534,227626,-215423
76,A128820,대성산업,20210511,-71931,262477,-217511
77,A128820,대성산업,20210510,-71138,259965,-217284
78,A128820,대성산업,20210507,-26783,244505,-246084
79,A128820,대성산업,20210506,34102,213429,-275193
80,A128820,대성산업,20210504,96872,180542,-305076
81,A128820,대성산업,20210503,100362,181113,-307439
82,A128820,대성산업,20210430,111575,174755,-312694
83,A128820,대성산업,20210429,80035,206645,-312640
84,A128820,대성산업,20210428,99458,188579,-313997
85,A128820,대성산업,20210427,35933,251894,-313687
86,A128820,대성산업,20210426,32062,257858,-315780
87,A128820,대성산업,20210423,24246,269566,-319671
88,A128820,대성산업,20210422,22245,275568,-323752
89,A128820,대성산업,20210421,29379,273060,-328380
90,A128820,대성산업,20210420,38505,268382,-333838
91,A128820,대성산업,20210419,42111,270451,-338959
92,A128820,대성산업,20210416,48025,270223,-344251
93,A128820,대성산업,20210415,64300,288897,-349365
94,A128820,대성산업,20210414,17173,340726,-353853
95,A128820,대성산업,20210413,32044,323281,-351829
96,A128820,대성산업,20210412,70319,284885,-351950
97,A128820,대성산업,20210409,117289,236639,-350129
98,A128820,대성산업,20210408,151616,203146,-350413
99,A128820,대성산업,20210407,161194,196636,-354131
100,A128820,대성산업,20210406,152383,204893,-354110
101,A128820,대성산업,20210405,148927,209249,-354928
102,A128820,대성산업,20210402,138505,223516,-354783
103,A128820,대성산업,20210401,123394,231000,-354762
104,A128820,대성산업,20210331,204795,158488,-354718
105,A128820,대성산업,20210330,190554,172329,-354326
106,A128820,대성산업,20210329,219383,143430,-354278
107,A128820,대성산업,20210326,268754,93822,-354013
108,A128820,대성산업,20210325,274861,86875,-353112
109,A128820,대성산업,20210324,275761,84296,-351358
110,A128820,대성산업,20210323,297521,60978,-351642
111,A128820,대성산업,20210322,306940,51803,-351479
112,A128820,대성산업,20210319,313410,46959,-352943
113,A128820,대성산업,20210318,307600,53665,-352831
114,A128820,대성산업,20210317,324378,38028,-352806
115,A128820,대성산업,20210316,308250,54146,-352826
116,A128820,대성산업,20210315,385781,-32216,-352780
117,A128820,대성산업,20210312,421318,-67378,-352955
118,A128820,대성산업,20210311,426636,-72043,-352520
