,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A003540,대신증권,20210827,1029857,-2274827,1178848
1,A003540,대신증권,20210826,1024579,-2237864,1150181
2,A003540,대신증권,20210825,1070552,-2264656,1131077
3,A003540,대신증권,20210824,1057891,-2234034,1113317
4,A003540,대신증권,20210823,1104296,-2275760,1103138
5,A003540,대신증권,20210820,1147878,-2304302,1089596
6,A003540,대신증권,20210819,1224858,-2355189,1060004
7,A003540,대신증권,20210818,1217319,-2354112,1068792
8,A003540,대신증권,20210817,1264476,-2394193,1065419
9,A003540,대신증권,20210813,1226638,-2352299,1062958
10,A003540,대신증권,20210812,1221867,-2343305,1057457
11,A003540,대신증권,20210811,1246149,-2351099,1041007
12,A003540,대신증권,20210810,1220433,-2335717,1057310
13,A003540,대신증권,20210809,1245742,-2338847,1036140
14,A003540,대신증권,20210806,1201147,-2330502,1073520
15,A003540,대신증권,20210805,1204106,-2327676,1070065
16,A003540,대신증권,20210804,1203099,-2339167,1082076
17,A003540,대신증권,20210803,1204380,-2342839,1086328
18,A003540,대신증권,20210802,1187273,-2339917,1100565
19,A003540,대신증권,20210730,1186353,-2343224,1100866
20,A003540,대신증권,20210729,1145178,-2326080,1124409
21,A003540,대신증권,20210728,1142644,-2329906,1130789
22,A003540,대신증권,20210727,1104283,-2308708,1148103
23,A003540,대신증권,20210726,1106462,-2307685,1144745
24,A003540,대신증권,20210723,1075566,-2274970,1143562
25,A003540,대신증권,20210722,1071829,-2278300,1150811
26,A003540,대신증권,20210721,1083954,-2281322,1141753
27,A003540,대신증권,20210720,1073461,-2280498,1151583
28,A003540,대신증권,20210719,1077941,-2293154,1159212
29,A003540,대신증권,20210716,1096599,-2305210,1152114
30,A003540,대신증권,20210715,1105248,-2319927,1158179
31,A003540,대신증권,20210714,1105202,-2318182,1162028
32,A003540,대신증권,20210713,1101978,-2321488,1164313
33,A003540,대신증권,20210712,1036026,-2294609,1192469
34,A003540,대신증권,20210709,1026337,-2287435,1194608
35,A003540,대신증권,20210708,899267,-2168448,1197938
36,A003540,대신증권,20210707,900991,-2163977,1192000
