,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A003090,´ë¿õ,20210827,630210,-1304052,687634
1,A003090,´ë¿õ,20210826,636426,-1299739,675469
2,A003090,´ë¿õ,20210825,635029,-1288008,665160
3,A003090,´ë¿õ,20210824,645744,-1301258,665258
4,A003090,´ë¿õ,20210823,694931,-1332724,647549
5,A003090,´ë¿õ,20210820,773678,-1408732,645415
6,A003090,´ë¿õ,20210819,748213,-1395123,656405
7,A003090,´ë¿õ,20210818,790278,-1401074,619181
8,A003090,´ë¿õ,20210817,853166,-1425107,579751
9,A003090,´ë¿õ,20210813,858912,-1431006,580106
10,A003090,´ë¿õ,20210812,842028,-1414652,581680
11,A003090,´ë¿õ,20210811,831958,-1401113,578325
12,A003090,´ë¿õ,20210810,864925,-1433618,577934
13,A003090,´ë¿õ,20210809,876678,-1449300,582628
14,A003090,´ë¿õ,20210806,832272,-1408055,586122
15,A003090,´ë¿õ,20210805,827766,-1405704,589415
16,A003090,´ë¿õ,20210804,836680,-1409297,584705
17,A003090,´ë¿õ,20210803,941898,-1497529,567211
18,A003090,´ë¿õ,20210802,941218,-1495485,566663
19,A003090,´ë¿õ,20210730,969522,-1512561,555912
20,A003090,´ë¿õ,20210729,969033,-1507565,551828
21,A003090,´ë¿õ,20210728,1028285,-1563006,547870
22,A003090,´ë¿õ,20210727,1024037,-1554031,541998
23,A003090,´ë¿õ,20210726,950887,-1478419,538932
24,A003090,´ë¿õ,20210723,934079,-1466453,539939
25,A003090,´ë¿õ,20210722,960488,-1497078,534664
26,A003090,´ë¿õ,20210721,955411,-1489087,521466
27,A003090,´ë¿õ,20210720,975115,-1518090,524509
28,A003090,´ë¿õ,20210719,965280,-1520582,534605
29,A003090,´ë¿õ,20210716,977545,-1518678,543825
30,A003090,´ë¿õ,20210715,962036,-1511348,547845
31,A003090,´ë¿õ,20210714,933879,-1502018,550622
32,A003090,´ë¿õ,20210713,882122,-1435657,524313
33,A003090,´ë¿õ,20210712,860813,-1407008,522927
34,A003090,´ë¿õ,20210709,805619,-1323368,495457
35,A003090,´ë¿õ,20210708,803487,-1325241,501772
36,A003090,´ë¿õ,20210707,724654,-1248601,502524
37,A003090,´ë¿õ,20210706,777058,-1298693,507891
38,A003090,´ë¿õ,20210705,755980,-1269118,504362
39,A003090,´ë¿õ,20210702,816344,-1346547,504026
40,A003090,´ë¿õ,20210701,771348,-1301612,505521
41,A003090,´ë¿õ,20210630,854408,-1386836,506347
42,A003090,´ë¿õ,20210629,839292,-1360036,495339
43,A003090,´ë¿õ,20210628,864651,-1357790,471642
44,A003090,´ë¿õ,20210625,970912,-1430187,434685
45,A003090,´ë¿õ,20210624,804413,-1236511,412864
46,A003090,´ë¿õ,20210623,776787,-1178397,382654
47,A003090,´ë¿õ,20210622,845432,-1191758,328234
48,A003090,´ë¿õ,20210621,899406,-1225039,299626
49,A003090,´ë¿õ,20210618,914647,-1217520,276443
50,A003090,´ë¿õ,20210617,943462,-1218509,249046
51,A003090,´ë¿õ,20210616,864944,-1116010,226468
52,A003090,´ë¿õ,20210615,782345,-974724,167324
53,A003090,´ë¿õ,20210614,897905,-1033367,109163
54,A003090,´ë¿õ,20210611,948991,-1078448,104437
55,A003090,´ë¿õ,20210610,981921,-1099773,93368
56,A003090,´ë¿õ,20210609,1002019,-1112518,85983
57,A003090,´ë¿õ,20210608,949628,-1043864,71123
58,A003090,´ë¿õ,20210607,801126,-874716,52499
