,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A001130,대한제분,20210827,47307,-32157,-26896
1,A001130,대한제분,20210826,47545,-32366,-26925
2,A001130,대한제분,20210825,47271,-31976,-27010
3,A001130,대한제분,20210824,46808,-31423,-27000
4,A001130,대한제분,20210823,47139,-31781,-26985
5,A001130,대한제분,20210820,47366,-31934,-27044
6,A001130,대한제분,20210819,47274,-31039,-27823
7,A001130,대한제분,20210818,47416,-30991,-27996
8,A001130,대한제분,20210817,48736,-31960,-27990
9,A001130,대한제분,20210813,48832,-31227,-27603
10,A001130,대한제분,20210812,48907,-31274,-27409
11,A001130,대한제분,20210811,48412,-30709,-27469
12,A001130,대한제분,20210810,47951,-30310,-27251
13,A001130,대한제분,20210809,47204,-29663,-27160
14,A001130,대한제분,20210806,46587,-29629,-26571
15,A001130,대한제분,20210805,46682,-29836,-26458
16,A001130,대한제분,20210804,47487,-30097,-26998
17,A001130,대한제분,20210803,47555,-30005,-27159
18,A001130,대한제분,20210802,46782,-28929,-27515
19,A001130,대한제분,20210730,46823,-28781,-27769
20,A001130,대한제분,20210729,44642,-26878,-27772
21,A001130,대한제분,20210728,44790,-25975,-28415
22,A001130,대한제분,20210727,43946,-25040,-28505
23,A001130,대한제분,20210726,42926,-24699,-27808
24,A001130,대한제분,20210723,42845,-24472,-27954
25,A001130,대한제분,20210722,42846,-24204,-28018
26,A001130,대한제분,20210721,42533,-23832,-28107
27,A001130,대한제분,20210720,41325,-23081,-27710
28,A001130,대한제분,20210719,40566,-22792,-27238
29,A001130,대한제분,20210716,39788,-22007,-27244
30,A001130,대한제분,20210715,40417,-22394,-27312
31,A001130,대한제분,20210714,39829,-21387,-27733
32,A001130,대한제분,20210713,39260,-20954,-27642
33,A001130,대한제분,20210712,38252,-20136,-27468
34,A001130,대한제분,20210709,37313,-19602,-27080
35,A001130,대한제분,20210708,35377,-17611,-27183
36,A001130,대한제분,20210707,34388,-16783,-27001
37,A001130,대한제분,20210706,34158,-16387,-27173
38,A001130,대한제분,20210705,33948,-16157,-27206
39,A001130,대한제분,20210702,32616,-15055,-26974
40,A001130,대한제분,20210701,32003,-14666,-26734
41,A001130,대한제분,20210630,30385,-13263,-26493
42,A001130,대한제분,20210629,29261,-12578,-26085
43,A001130,대한제분,20210628,27866,-11527,-25737
44,A001130,대한제분,20210625,27010,-10676,-25699
45,A001130,대한제분,20210624,26330,-10344,-25327
46,A001130,대한제분,20210623,25843,-9348,-25835
47,A001130,대한제분,20210622,25318,-8607,-26064
48,A001130,대한제분,20210621,25724,-8058,-26994
49,A001130,대한제분,20210618,24524,-7892,-26076
50,A001130,대한제분,20210617,26098,-10573,-24970
51,A001130,대한제분,20210616,26070,-10725,-24616
52,A001130,대한제분,20210615,25519,-11028,-23812
53,A001130,대한제분,20210614,24792,-10730,-23383
54,A001130,대한제분,20210611,24687,-10680,-23328
55,A001130,대한제분,20210610,23882,-11243,-21959
56,A001130,대한제분,20210609,23630,-11720,-21229
57,A001130,대한제분,20210608,22271,-11359,-20208
58,A001130,대한제분,20210607,21235,-11125,-19560
59,A001130,대한제분,20210604,18823,-9952,-18314
60,A001130,대한제분,20210603,19231,-10508,-18166
61,A001130,대한제분,20210602,20942,-11142,-18191
62,A001130,대한제분,20210601,22271,-11739,-17833
63,A001130,대한제분,20210531,22405,-11689,-18039
64,A001130,대한제분,20210528,23197,-12019,-18102
65,A001130,대한제분,20210527,22022,-10936,-18095
