,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A021040,대호특수강,20210827,-1842005,1225789,53151
1,A021040,대호특수강,20210826,-1857526,1241316,53151
2,A021040,대호특수강,20210825,-1804894,1189124,53151
3,A021040,대호특수강,20210824,-1802052,1185638,53322
4,A021040,대호특수강,20210823,-1767270,1150856,53322
5,A021040,대호특수강,20210820,-1774700,1170286,53322
6,A021040,대호특수강,20210819,-1921242,1316887,53322
7,A021040,대호특수강,20210818,-1973892,1369416,53322
8,A021040,대호특수강,20210817,-1931765,1327802,53322
9,A021040,대호특수강,20210813,-2116910,1498729,53322
10,A021040,대호특수강,20210812,-2071732,1515543,53324
11,A021040,대호특수강,20210811,-2070176,1514052,53324
12,A021040,대호특수강,20210810,-2064079,1519592,53324
13,A021040,대호특수강,20210809,-2039208,1563121,53324
14,A021040,대호특수강,20210806,-2040128,1572994,53324
15,A021040,대호특수강,20210805,-2047926,1597760,53324
16,A021040,대호특수강,20210804,-2017390,1567246,53324
17,A021040,대호특수강,20210803,-1942170,1461731,53324
18,A021040,대호특수강,20210802,-1793255,1421816,53324
19,A021040,대호특수강,20210730,-1809805,1437425,53324
20,A021040,대호특수강,20210729,-1825702,1386047,53324
21,A021040,대호특수강,20210728,-1739937,1317188,53324
22,A021040,대호특수강,20210727,-1815378,1398942,53324
23,A021040,대호특수강,20210726,-1631141,1211716,53324
24,A021040,대호특수강,20210723,-1821548,1133775,53324
25,A021040,대호특수강,20210722,-1802928,1018973,53324
26,A021040,대호특수강,20210721,-1714825,976384,53327
27,A021040,대호특수강,20210720,-1806189,993751,53505
28,A021040,대호특수강,20210719,-1779724,997429,53532
29,A021040,대호특수강,20210716,-1833112,1066224,53532
30,A021040,대호특수강,20210715,-1979141,1095415,53532
31,A021040,대호특수강,20210714,-1923171,1036609,53532
32,A021040,대호특수강,20210713,-1924982,1041328,53532
33,A021040,대호특수강,20210712,-1965121,991604,53533
34,A021040,대호특수강,20210709,-1900538,927020,53533
35,A021040,대호특수강,20210708,-1879113,995639,53532
36,A021040,대호특수강,20210707,-1825466,1029516,53532
37,A021040,대호특수강,20210706,-1825496,1041076,53532
38,A021040,대호특수강,20210705,-1808388,1024036,53532
39,A021040,대호특수강,20210702,-1820010,1055767,53532
40,A021040,대호특수강,20210701,-1806374,1068665,53532
41,A021040,대호특수강,20210630,-1833264,1088900,53532
42,A021040,대호특수강,20210629,-1868323,1134981,49264
43,A021040,대호특수강,20210628,-1920175,1202999,33101
44,A021040,대호특수강,20210625,-1934345,1118232,33101
45,A021040,대호특수강,20210624,-1915079,1098409,27637
46,A021040,대호특수강,20210623,-1862773,1127078,16691
47,A021040,대호특수강,20210622,-1890495,1187319,11286
48,A021040,대호특수강,20210621,-1852592,1129416,11286
49,A021040,대호특수강,20210618,-1768206,1147284,-5035
50,A021040,대호특수강,20210617,-1745617,1166664,-5035
51,A021040,대호특수강,20210616,-1681337,1152386,-5035
52,A021040,대호특수강,20210615,-1641240,1112287,-5035
53,A021040,대호특수강,20210614,-1664871,1185906,-5031
54,A021040,대호특수강,20210611,-1704368,1127243,-5031
55,A021040,대호특수강,20210610,-1668344,1067671,-5031
56,A021040,대호특수강,20210609,-1650459,1049684,-5031
57,A021040,대호특수강,20210608,-1643613,959008,-5031
58,A021040,대호특수강,20210607,-1559955,933659,-5031
59,A021040,대호특수강,20210604,-1542700,933540,-5031
60,A021040,대호특수강,20210603,-1538746,932764,-5031
61,A021040,대호특수강,20210602,-1603848,906311,-5280
62,A021040,대호특수강,20210601,-1504998,788008,-5280
63,A021040,대호특수강,20210531,-1476719,762934,-5280
64,A021040,대호특수강,20210528,-1550070,740691,-5280
65,A021040,대호특수강,20210527,-1470292,579598,-5280
66,A021040,대호특수강,20210526,-1537726,571032,-5280
67,A021040,대호특수강,20210525,-1445546,554754,-5256
68,A021040,대호특수강,20210524,-1401633,516860,-5254
69,A021040,대호특수강,20210521,-1325400,591623,-5254
70,A021040,대호특수강,20210520,-1351830,577868,-5254
71,A021040,대호특수강,20210518,-1307199,543247,-5254
72,A021040,대호특수강,20210517,-1264392,500652,-5254
73,A021040,대호특수강,20210514,-1129187,511010,-5253
74,A021040,대호특수강,20210513,-1112957,394155,-5253
75,A021040,대호특수강,20210512,-1002385,519125,-5250
76,A021040,대호특수강,20210511,-1114901,1062145,-5239
77,A021040,대호특수강,20210510,-1269803,835609,-4950
78,A021040,대호특수강,20210507,-1239410,776287,-4950
79,A021040,대호특수강,20210506,-1180843,967699,-4950
80,A021040,대호특수강,20210504,-1056021,557187,-4950
81,A021040,대호특수강,20210503,-907494,508528,-4915
82,A021040,대호특수강,20210430,-723919,444953,-4915
83,A021040,대호특수강,20210429,-688807,485703,-4915
84,A021040,대호특수강,20210428,-621989,418820,-4915
85,A021040,대호특수강,20210427,-525315,442736,-4905
86,A021040,대호특수강,20210426,-749623,548802,312
87,A021040,대호특수강,20210423,-672511,541690,312
88,A021040,대호특수강,20210422,-648944,477548,0
89,A021040,대호특수강,20210421,-667000,495504,0
90,A021040,대호특수강,20210420,-701490,571701,0
91,A021040,대호특수강,20210419,-685314,510713,0
92,A021040,대호특수강,20210416,-699245,524644,0
93,A021040,대호특수강,20210415,-769768,528167,0
94,A021040,대호특수강,20210414,-765000,520286,0
95,A021040,대호특수강,20210413,-776867,530835,0
96,A021040,대호특수강,20210412,-759092,455450,0
97,A021040,대호특수강,20210409,-743474,440832,0
98,A021040,대호특수강,20210408,-734254,431612,0
99,A021040,대호특수강,20210407,-814538,403910,0
100,A021040,대호특수강,20210406,-789576,379066,0
101,A021040,대호특수강,20210405,-878472,367962,0
102,A021040,대호특수강,20210402,-809718,309211,0
103,A021040,대호특수강,20210401,-817852,318146,0
104,A021040,대호특수강,20210331,-776521,313712,0
105,A021040,대호특수강,20210330,-771779,312231,0
106,A021040,대호특수강,20210329,-624832,290328,0
107,A021040,대호특수강,20210326,-587601,244660,0
108,A021040,대호특수강,20210325,-586276,256334,0
109,A021040,대호특수강,20210324,-607084,283734,0
110,A021040,대호특수강,20210323,-566609,303808,0
111,A021040,대호특수강,20210322,-581814,331037,0
112,A021040,대호특수강,20210319,-570496,347731,0
113,A021040,대호특수강,20210318,-475540,343791,0
114,A021040,대호특수강,20210317,-452661,331914,0
115,A021040,대호특수강,20210316,-413941,294120,0
116,A021040,대호특수강,20210315,-380142,272821,0
117,A021040,대호특수강,20210312,-79701,196353,0
118,A021040,대호특수강,20210311,-5594,5317,0
