,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A004830,´ö¼º,20210827,799352,48364,-134842
1,A004830,´ö¼º,20210826,859324,-8500,-138469
2,A004830,´ö¼º,20210825,781904,71691,-141755
3,A004830,´ö¼º,20210824,832816,18487,-141531
4,A004830,´ö¼º,20210823,863271,-9729,-141612
5,A004830,´ö¼º,20210820,967092,-114733,-141012
6,A004830,´ö¼º,20210819,964498,-112964,-141470
7,A004830,´ö¼º,20210818,944688,-93691,-141231
8,A004830,´ö¼º,20210817,984796,-135897,-138996
9,A004830,´ö¼º,20210813,942122,-98551,-134312
10,A004830,´ö¼º,20210812,835478,11705,-137559
11,A004830,´ö¼º,20210811,802809,44414,-137640
12,A004830,´ö¼º,20210810,894212,-52584,-132052
13,A004830,´ö¼º,20210809,765230,77399,-132673
14,A004830,´ö¼º,20210806,826535,18323,-133092
15,A004830,´ö¼º,20210805,941879,-97004,-133437
16,A004830,´ö¼º,20210804,923325,-96991,-115549
17,A004830,´ö¼º,20210803,976959,-136265,-132374
18,A004830,´ö¼º,20210802,1001701,-159752,-130330
19,A004830,´ö¼º,20210730,733027,363,-22488
20,A004830,´ö¼º,20210729,952568,-114047,-136184
21,A004830,´ö¼º,20210728,891925,-62289,-128493
22,A004830,´ö¼º,20210727,869882,-81198,-82869
23,A004830,´ö¼º,20210726,878456,-49522,-126243
24,A004830,´ö¼º,20210723,690994,149461,-135457
25,A004830,´ö¼º,20210722,782897,57857,-135460
26,A004830,´ö¼º,20210721,833730,7263,-135455
27,A004830,´ö¼º,20210720,849253,-8649,-134654
28,A004830,´ö¼º,20210719,611527,228400,-135421
29,A004830,´ö¼º,20210716,504088,336858,-135921
30,A004830,´ö¼º,20210715,596562,245005,-136615
31,A004830,´ö¼º,20210714,665063,174108,-136514
32,A004830,´ö¼º,20210713,818440,21632,-136504
33,A004830,´ö¼º,20210712,772277,69136,-138015
34,A004830,´ö¼º,20210709,738877,104622,-138468
35,A004830,´ö¼º,20210708,795290,48580,-138413
36,A004830,´ö¼º,20210707,871931,-64348,-103926
37,A004830,´ö¼º,20210706,832289,-28335,-99074
38,A004830,´ö¼º,20210705,706933,96204,-97759
39,A004830,´ö¼º,20210702,669832,131290,-97859
40,A004830,´ö¼º,20210701,888293,-89066,-102716
41,A004830,´ö¼º,20210630,889118,-88214,-101194
42,A004830,´ö¼º,20210629,897197,-124600,-77770
43,A004830,´ö¼º,20210628,861226,-90077,-77763
44,A004830,´ö¼º,20210625,898467,-125448,-79239
45,A004830,´ö¼º,20210624,784208,-68916,-26766
46,A004830,´ö¼º,20210623,879503,-108756,-79652
47,A004830,´ö¼º,20210622,923620,-150106,-79806
48,A004830,´ö¼º,20210621,916272,-141799,-80227
49,A004830,´ö¼º,20210618,894372,-117748,-80808
50,A004830,´ö¼º,20210617,895330,-113178,-83526
51,A004830,´ö¼º,20210616,904947,-128942,-83564
52,A004830,´ö¼º,20210615,835180,-101798,-39496
53,A004830,´ö¼º,20210614,761704,-51386,-16276
54,A004830,´ö¼º,20210611,832241,-70180,-67263
55,A004830,´ö¼º,20210610,876684,-127978,-65892
56,A004830,´ö¼º,20210609,841661,-81549,-61688
57,A004830,´ö¼º,20210608,856269,-105781,-39564
58,A004830,´ö¼º,20210607,897014,-116985,-66005
59,A004830,´ö¼º,20210604,869671,-111005,-41250
60,A004830,´ö¼º,20210603,597320,159661,-41106
61,A004830,´ö¼º,20210602,781992,-38564,-23000
62,A004830,´ö¼º,20210601,493401,149530,78594
63,A004830,´ö¼º,20210531,769972,-96724,50101
64,A004830,´ö¼º,20210528,756587,-82229,48948
65,A004830,´ö¼º,20210527,622657,53698,47936
66,A004830,´ö¼º,20210526,541083,134085,49452
67,A004830,´ö¼º,20210525,318566,-150507,-142956
68,A004830,´ö¼º,20210524,281564,-122758,-134559
69,A004830,´ö¼º,20210521,314302,-135675,-150435
70,A004830,´ö¼º,20210520,162243,-96101,-51712
71,A004830,´ö¼º,20210518,326613,-166618,-142697
72,A004830,´ö¼º,20210517,304328,-164022,-132784
73,A004830,´ö¼º,20210514,307263,-142898,-151975
74,A004830,´ö¼º,20210513,321224,-154265,-154664
75,A004830,´ö¼º,20210512,301380,-137718,-150364
76,A004830,´ö¼º,20210511,245308,-95778,-138763
77,A004830,´ö¼º,20210510,307524,-142104,-154487
78,A004830,´ö¼º,20210507,308766,-145242,-154501
79,A004830,´ö¼º,20210506,312196,-147272,-154271
80,A004830,´ö¼º,20210504,313087,-148007,-154553
81,A004830,´ö¼º,20210503,306420,-144387,-151965
82,A004830,´ö¼º,20210430,311496,-148233,-153230
83,A004830,´ö¼º,20210429,313545,-148233,-153236
84,A004830,´ö¼º,20210428,274230,-144860,-133102
85,A004830,´ö¼º,20210427,298051,-146645,-153294
86,A004830,´ö¼º,20210426,300712,-147594,-153301
87,A004830,´ö¼º,20210423,312751,-149279,-153309
88,A004830,´ö¼º,20210422,306850,-144044,-153318
89,A004830,´ö¼º,20210421,314997,-149277,-153332
90,A004830,´ö¼º,20210420,313275,-149277,-153336
91,A004830,´ö¼º,20210419,313496,-149279,-153263
92,A004830,´ö¼º,20210416,309769,-147977,-153229
93,A004830,´ö¼º,20210415,297229,-135975,-153355
94,A004830,´ö¼º,20210414,305475,-142050,-149836
95,A004830,´ö¼º,20210413,312616,-149062,-149832
96,A004830,´ö¼º,20210412,315748,-149279,-147684
97,A004830,´ö¼º,20210409,312347,-149279,-146647
98,A004830,´ö¼º,20210408,312347,-149279,-146647
99,A004830,´ö¼º,20210407,294104,-148873,-126894
100,A004830,´ö¼º,20210406,306261,-154037,-127384
101,A004830,´ö¼º,20210405,298012,-151382,-126968
102,A004830,´ö¼º,20210402,214512,-137326,-62483
103,A004830,´ö¼º,20210401,214512,-137326,-62483
104,A004830,´ö¼º,20210331,301471,-154107,-127964
105,A004830,´ö¼º,20210330,181808,-117630,-36570
106,A004830,´ö¼º,20210329,126691,-87723,-9675
107,A004830,´ö¼º,20210326,146680,-73546,-44883
108,A004830,´ö¼º,20210325,170818,-103387,-44605
109,A004830,´ö¼º,20210324,-60962,97139,-4033
110,A004830,´ö¼º,20210323,219523,-120527,-130247
111,A004830,´ö¼º,20210322,-91807,169369,-101785
112,A004830,´ö¼º,20210319,-67981,145694,-103869
113,A004830,´ö¼º,20210318,-7346,82972,-99312
114,A004830,´ö¼º,20210317,-7692,97483,-114314
115,A004830,´ö¼º,20210316,10318,72971,-113695
116,A004830,´ö¼º,20210315,129209,9254,-109705
117,A004830,´ö¼º,20210312,72333,63928,-107641
118,A004830,´ö¼º,20210311,153355,-14742,-108747
