,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A194480,데브시스터즈,20210827,-422257,137431,332944
1,A194480,데브시스터즈,20210826,-404789,125996,326117
2,A194480,데브시스터즈,20210825,-406891,122300,331917
3,A194480,데브시스터즈,20210824,-420761,129939,338361
4,A194480,데브시스터즈,20210823,-393990,102687,338025
5,A194480,데브시스터즈,20210820,-388210,92841,342045
6,A194480,데브시스터즈,20210819,-393790,99841,340500
7,A194480,데브시스터즈,20210818,-394597,99837,341370
8,A194480,데브시스터즈,20210817,-396634,100762,342535
9,A194480,데브시스터즈,20210813,-399631,92272,354476
10,A194480,데브시스터즈,20210812,-363990,62753,346509
11,A194480,데브시스터즈,20210811,-450449,121951,373366
12,A194480,데브시스터즈,20210810,-390239,74178,361676
13,A194480,데브시스터즈,20210809,-422722,114532,355528
14,A194480,데브시스터즈,20210806,-375186,90046,330752
15,A194480,데브시스터즈,20210805,-382503,90956,337181
16,A194480,데브시스터즈,20210804,-402125,99420,347446
17,A194480,데브시스터즈,20210803,-379946,78469,346419
18,A194480,데브시스터즈,20210802,-378787,75585,348500
19,A194480,데브시스터즈,20210730,-375975,77256,343758
20,A194480,데브시스터즈,20210729,-381854,79214,347644
21,A194480,데브시스터즈,20210728,-371880,72200,344668
22,A194480,데브시스터즈,20210727,-398608,82738,363279
23,A194480,데브시스터즈,20210726,-419623,103789,363035
24,A194480,데브시스터즈,20210723,-409081,88203,366591
25,A194480,데브시스터즈,20210722,-406161,76559,374961
26,A194480,데브시스터즈,20210721,-407196,77854,374694
27,A194480,데브시스터즈,20210720,-403993,76909,372618
28,A194480,데브시스터즈,20210719,-429403,89973,386976
29,A194480,데브시스터즈,20210716,-424770,91237,380786
30,A194480,데브시스터즈,20210715,-445471,105201,388177
31,A194480,데브시스터즈,20210714,-498903,167668,379317
32,A194480,데브시스터즈,20210713,-479359,149914,378007
33,A194480,데브시스터즈,20210712,-466220,139544,375118
34,A194480,데브시스터즈,20210709,-454472,132730,369648
35,A194480,데브시스터즈,20210708,-431253,109399,369987
36,A194480,데브시스터즈,20210707,-424849,102438,370768
37,A194480,데브시스터즈,20210706,-425514,99330,374485
38,A194480,데브시스터즈,20210705,-446201,117644,376939
39,A194480,데브시스터즈,20210702,-402823,81346,370054
40,A194480,데브시스터즈,20210701,-399244,74041,372856
41,A194480,데브시스터즈,20210630,-417707,90694,375135
42,A194480,데브시스터즈,20210629,-440283,113025,375644
43,A194480,데브시스터즈,20210628,-400717,73089,376268
44,A194480,데브시스터즈,20210625,-408099,70594,384323
45,A194480,데브시스터즈,20210624,-427387,73324,400740
46,A194480,데브시스터즈,20210623,-448369,80330,414615
47,A194480,데브시스터즈,20210622,-471211,105018,412704
48,A194480,데브시스터즈,20210621,-469694,115606,400390
49,A194480,데브시스터즈,20210618,-485435,135906,396749
50,A194480,데브시스터즈,20210617,-463023,127810,382514
51,A194480,데브시스터즈,20210616,-464452,133471,378112
52,A194480,데브시스터즈,20210615,-458855,121421,386093
53,A194480,데브시스터즈,20210614,-493623,138408,401761
54,A194480,데브시스터즈,20210611,-504760,142955,409620
55,A194480,데브시스터즈,20210610,-561027,191110,419561
56,A194480,데브시스터즈,20210609,-509129,242089,316509
57,A194480,데브시스터즈,20210608,-496473,230112,313641
58,A194480,데브시스터즈,20210607,-493114,231293,310023
59,A194480,데브시스터즈,20210604,-485524,234270,299976
60,A194480,데브시스터즈,20210603,-487250,236430,301037
61,A194480,데브시스터즈,20210602,-477366,226776,300665
62,A194480,데브시스터즈,20210601,-463214,212844,299400
63,A194480,데브시스터즈,20210531,-461311,210623,299496
64,A194480,데브시스터즈,20210528,-452922,202916,299414
65,A194480,데브시스터즈,20210527,-409675,176530,280572
66,A194480,데브시스터즈,20210526,-359204,140249,266328
67,A194480,데브시스터즈,20210525,-329067,109719,267304
68,A194480,데브시스터즈,20210524,-311545,94878,264432
69,A194480,데브시스터즈,20210521,-291700,76622,263033
70,A194480,데브시스터즈,20210520,-277666,69271,256294
71,A194480,데브시스터즈,20210518,-249572,38198,258318
72,A194480,데브시스터즈,20210517,-219930,16408,253828
73,A194480,데브시스터즈,20210514,-208329,13242,253537
74,A194480,데브시스터즈,20210513,-202531,12728,250962
75,A194480,데브시스터즈,20210512,-196080,9476,250948
76,A194480,데브시스터즈,20210511,-188849,4544,251200
77,A194480,데브시스터즈,20210510,-171609,6249,236070
78,A194480,데브시스터즈,20210507,-170944,5747,235884
79,A194480,데브시스터즈,20210506,-176160,14839,234616
80,A194480,데브시스터즈,20210504,-161588,23071,211623
81,A194480,데브시스터즈,20210503,-144351,12548,207621
82,A194480,데브시스터즈,20210430,-156861,24947,207686
83,A194480,데브시스터즈,20210429,-152718,26812,202394
84,A194480,데브시스터즈,20210428,-106935,24628,160228
85,A194480,데브시스터즈,20210427,-94162,16974,155129
86,A194480,데브시스터즈,20210426,-98891,22131,154044
87,A194480,데브시스터즈,20210423,-96925,20731,153789
88,A194480,데브시스터즈,20210422,-94698,27667,145475
89,A194480,데브시스터즈,20210421,-122030,57885,141290
90,A194480,데브시스터즈,20210420,-78788,24514,131704
91,A194480,데브시스터즈,20210419,-72169,24110,125150
92,A194480,데브시스터즈,20210416,-61135,24498,113484
93,A194480,데브시스터즈,20210415,-52231,24713,106841
94,A194480,데브시스터즈,20210414,-58833,23421,113348
