,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A023450,동남합성,20210827,-2500,19,1174
1,A023450,동남합성,20210826,-1966,19,640
2,A023450,동남합성,20210825,-1921,19,595
3,A023450,동남합성,20210824,-1991,19,666
4,A023450,동남합성,20210823,-1962,19,638
5,A023450,동남합성,20210820,-1712,19,388
6,A023450,동남합성,20210819,-1625,19,301
7,A023450,동남합성,20210818,-1417,19,283
8,A023450,동남합성,20210817,-1430,19,296
9,A023450,동남합성,20210813,-1427,19,294
10,A023450,동남합성,20210812,-1422,19,289
11,A023450,동남합성,20210811,-1465,19,332
12,A023450,동남합성,20210810,-1568,19,435
13,A023450,동남합성,20210809,-1385,19,252
14,A023450,동남합성,20210806,-1580,19,447
15,A023450,동남합성,20210805,-1498,19,375
16,A023450,동남합성,20210804,-1138,19,15
17,A023450,동남합성,20210803,-1153,19,30
18,A023450,동남합성,20210802,-1153,19,40
19,A023450,동남합성,20210730,-1181,19,69
20,A023450,동남합성,20210729,-1182,19,70
21,A023450,동남합성,20210728,-1180,19,68
22,A023450,동남합성,20210727,-1167,19,55
23,A023450,동남합성,20210726,-1820,19,33
24,A023450,동남합성,20210723,-1820,19,33
25,A023450,동남합성,20210722,-2146,19,34
26,A023450,동남합성,20210721,-3066,19,34
27,A023450,동남합성,20210720,-3180,10,36
28,A023450,동남합성,20210719,-3183,10,39
29,A023450,동남합성,20210716,-3183,10,39
30,A023450,동남합성,20210715,-3374,10,230
31,A023450,동남합성,20210714,-3852,7,252
32,A023450,동남합성,20210713,-3760,7,254
33,A023450,동남합성,20210712,-3561,7,55
34,A023450,동남합성,20210709,-3090,3,63
35,A023450,동남합성,20210708,-3112,3,85
36,A023450,동남합성,20210707,-3499,3,85
37,A023450,동남합성,20210706,-2996,-1,86
38,A023450,동남합성,20210705,-3115,-1,88
39,A023450,동남합성,20210702,-2914,-1,90
40,A023450,동남합성,20210701,-2918,-1,94
41,A023450,동남합성,20210630,-2924,-1,101
42,A023450,동남합성,20210629,-2946,-1,125
43,A023450,동남합성,20210628,-2950,-1,129
44,A023450,동남합성,20210625,-2954,-1,133
45,A023450,동남합성,20210624,-2980,2,156
46,A023450,동남합성,20210623,-712,2,89
47,A023450,동남합성,20210622,897,2,150
48,A023450,동남합성,20210621,896,2,151
49,A023450,동남합성,20210618,1666,2,154
50,A023450,동남합성,20210617,2706,2,157
51,A023450,동남합성,20210616,2812,2,51
52,A023450,동남합성,20210615,2768,2,95
53,A023450,동남합성,20210614,2678,2,102
54,A023450,동남합성,20210611,2890,2,-110
55,A023450,동남합성,20210610,3094,2,-314
56,A023450,동남합성,20210609,3964,2,166
57,A023450,동남합성,20210608,4115,2,164
58,A023450,동남합성,20210607,4428,2,-64
59,A023450,동남합성,20210604,6112,2,-1692
60,A023450,동남합성,20210603,6108,2,-1688
61,A023450,동남합성,20210602,6106,2,-1686
62,A023450,동남합성,20210601,6418,2,-1678
63,A023450,동남합성,20210531,5977,2,-1237
64,A023450,동남합성,20210528,5985,2,-1240
65,A023450,동남합성,20210527,5983,2,-1238
66,A023450,동남합성,20210526,6285,2,-1240
67,A023450,동남합성,20210525,6295,2,-1250
68,A023450,동남합성,20210524,6352,2,-1307
69,A023450,동남합성,20210521,6996,2,-1306
70,A023450,동남합성,20210520,7063,2,-1320
71,A023450,동남합성,20210518,6991,2,-1328
72,A023450,동남합성,20210517,6993,2,-1330
73,A023450,동남합성,20210514,6967,2,-1304
74,A023450,동남합성,20210513,6960,2,-1297
75,A023450,동남합성,20210512,7171,2,-1308
76,A023450,동남합성,20210511,7876,2,-1313
77,A023450,동남합성,20210510,8356,2,-1300
78,A023450,동남합성,20210507,9009,2,-1306
79,A023450,동남합성,20210506,9022,2,-1318
80,A023450,동남합성,20210504,9045,2,-1334
81,A023450,동남합성,20210503,9058,2,-1347
82,A023450,동남합성,20210430,9117,2,-1412
83,A023450,동남합성,20210429,9120,2,-1415
84,A023450,동남합성,20210428,9128,2,-1422
85,A023450,동남합성,20210427,9131,2,-1424
86,A023450,동남합성,20210426,9085,2,-1428
87,A023450,동남합성,20210423,9090,2,-1433
88,A023450,동남합성,20210422,9093,2,-1435
89,A023450,동남합성,20210421,9100,2,-1424
90,A023450,동남합성,20210420,9101,2,-1425
91,A023450,동남합성,20210419,9041,2,-1365
92,A023450,동남합성,20210416,9036,2,-1359
93,A023450,동남합성,20210415,8986,2,-1359
94,A023450,동남합성,20210414,8960,2,-1333
95,A023450,동남합성,20210413,9193,2,-1330
96,A023450,동남합성,20210412,9187,2,-1324
97,A023450,동남합성,20210409,8256,2,-393
98,A023450,동남합성,20210408,8254,2,-391
99,A023450,동남합성,20210407,8299,2,-385
100,A023450,동남합성,20210406,8295,2,-381
101,A023450,동남합성,20210405,8266,2,-352
102,A023450,동남합성,20210402,8256,2,-337
103,A023450,동남합성,20210401,8255,2,-336
104,A023450,동남합성,20210331,8251,2,-332
105,A023450,동남합성,20210330,8232,2,-313
106,A023450,동남합성,20210329,8027,0,-241
107,A023450,동남합성,20210326,112,0,-240
108,A023450,동남합성,20210325,202,0,-251
109,A023450,동남합성,20210324,201,0,-250
110,A023450,동남합성,20210323,203,0,-252
111,A023450,동남합성,20210322,251,0,-251
112,A023450,동남합성,20210319,249,0,-249
113,A023450,동남합성,20210318,127,0,-127
114,A023450,동남합성,20210317,130,0,-130
115,A023450,동남합성,20210316,-31,0,-17
116,A023450,동남합성,20210315,15,0,-15
117,A023450,동남합성,20210312,8,0,-8
118,A023450,동남합성,20210311,6,0,-6
