,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A001525,동양우,20210827,-4810,-21,0
1,A001525,동양우,20210826,-4810,-21,0
2,A001525,동양우,20210825,-4810,-21,0
3,A001525,동양우,20210824,-4810,-21,0
4,A001525,동양우,20210823,-4810,-21,0
5,A001525,동양우,20210820,-4825,-21,0
6,A001525,동양우,20210819,-4825,-21,0
7,A001525,동양우,20210818,-4825,-21,0
8,A001525,동양우,20210817,-4825,-21,0
9,A001525,동양우,20210813,-4825,-21,0
10,A001525,동양우,20210812,-4825,-21,0
11,A001525,동양우,20210811,-4825,-21,0
12,A001525,동양우,20210810,-4825,-21,0
13,A001525,동양우,20210809,-4825,-21,0
14,A001525,동양우,20210806,-4825,-21,0
15,A001525,동양우,20210805,-4825,-21,0
16,A001525,동양우,20210804,-4825,-21,0
17,A001525,동양우,20210803,-4825,-21,0
18,A001525,동양우,20210802,-4825,-21,0
19,A001525,동양우,20210730,-4826,-21,0
20,A001525,동양우,20210729,-4826,-21,0
21,A001525,동양우,20210728,-4826,-21,0
22,A001525,동양우,20210727,-4826,-21,0
23,A001525,동양우,20210726,-4826,-21,0
24,A001525,동양우,20210723,-4856,-21,0
25,A001525,동양우,20210722,-4981,-21,0
26,A001525,동양우,20210721,-4981,-21,0
27,A001525,동양우,20210720,-4931,-21,0
28,A001525,동양우,20210719,-5057,-21,0
29,A001525,동양우,20210716,-5131,-21,0
30,A001525,동양우,20210715,-5130,-21,0
31,A001525,동양우,20210714,-5130,-21,0
32,A001525,동양우,20210713,-5130,-21,0
33,A001525,동양우,20210712,-5254,-21,0
34,A001525,동양우,20210709,-5254,-21,0
35,A001525,동양우,20210708,-5254,-21,0
36,A001525,동양우,20210707,-5354,-21,0
37,A001525,동양우,20210706,-4551,-21,0
38,A001525,동양우,20210705,-4551,-21,0
39,A001525,동양우,20210702,-4551,-21,0
40,A001525,동양우,20210701,-4572,0,0
41,A001525,동양우,20210630,-4573,0,0
42,A001525,동양우,20210629,-4476,0,0
43,A001525,동양우,20210628,-4476,0,0
44,A001525,동양우,20210625,-4484,0,0
45,A001525,동양우,20210624,-4554,0,0
46,A001525,동양우,20210623,-4553,0,0
47,A001525,동양우,20210622,-4653,0,0
48,A001525,동양우,20210621,-4553,0,0
49,A001525,동양우,20210618,-4779,130,0
50,A001525,동양우,20210617,-4779,130,0
51,A001525,동양우,20210616,-4580,0,0
52,A001525,동양우,20210615,-5454,0,0
53,A001525,동양우,20210614,-4881,0,0
54,A001525,동양우,20210611,-5604,0,0
55,A001525,동양우,20210610,-5566,0,0
56,A001525,동양우,20210609,-6935,0,0
57,A001525,동양우,20210608,-6953,0,0
58,A001525,동양우,20210607,-6953,0,0
59,A001525,동양우,20210604,-6548,0,0
60,A001525,동양우,20210603,-6548,0,0
61,A001525,동양우,20210602,-6548,0,0
62,A001525,동양우,20210601,-6558,0,0
63,A001525,동양우,20210531,-6458,0,0
64,A001525,동양우,20210528,-6542,0,0
65,A001525,동양우,20210527,-6542,0,0
66,A001525,동양우,20210526,-6538,0,0
67,A001525,동양우,20210525,-6538,0,0
68,A001525,동양우,20210524,-6773,0,0
69,A001525,동양우,20210521,-6700,0,0
70,A001525,동양우,20210520,-5872,0,0
71,A001525,동양우,20210518,-5687,0,0
72,A001525,동양우,20210517,-5638,0,0
73,A001525,동양우,20210514,-5432,0,0
74,A001525,동양우,20210513,-5768,0,0
75,A001525,동양우,20210512,-4744,0,0
76,A001525,동양우,20210511,-4771,0,0
77,A001525,동양우,20210510,-4586,0,0
78,A001525,동양우,20210507,-13214,0,0
79,A001525,동양우,20210506,-41,0,0
80,A001525,동양우,20210504,-47,0,0
81,A001525,동양우,20210503,-47,0,0
82,A001525,동양우,20210430,-47,0,0
83,A001525,동양우,20210429,53,0,0
84,A001525,동양우,20210428,53,0,0
85,A001525,동양우,20210427,53,0,0
86,A001525,동양우,20210426,53,0,0
87,A001525,동양우,20210423,53,0,0
88,A001525,동양우,20210422,53,0,0
89,A001525,동양우,20210421,73,0,0
90,A001525,동양우,20210420,74,0,0
91,A001525,동양우,20210419,134,0,0
92,A001525,동양우,20210416,134,0,0
93,A001525,동양우,20210415,134,0,0
94,A001525,동양우,20210414,134,0,0
95,A001525,동양우,20210413,134,0,0
96,A001525,동양우,20210412,134,0,0
97,A001525,동양우,20210409,134,0,0
98,A001525,동양우,20210408,134,0,0
99,A001525,동양우,20210407,124,0,0
100,A001525,동양우,20210406,124,0,0
101,A001525,동양우,20210405,124,0,0
102,A001525,동양우,20210402,124,0,0
103,A001525,동양우,20210401,124,0,0
104,A001525,동양우,20210331,124,0,0
105,A001525,동양우,20210330,124,0,0
106,A001525,동양우,20210329,124,0,0
107,A001525,동양우,20210326,124,0,0
108,A001525,동양우,20210325,124,0,0
109,A001525,동양우,20210324,124,0,0
110,A001525,동양우,20210323,124,0,0
111,A001525,동양우,20210322,124,0,0
112,A001525,동양우,20210319,124,0,0
113,A001525,동양우,20210318,124,0,0
114,A001525,동양우,20210317,124,0,0
115,A001525,동양우,20210316,0,0,0
116,A001525,동양우,20210315,0,0,0
117,A001525,동양우,20210312,0,0,0
118,A001525,동양우,20210311,0,0,0
