,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A228340,동양파일,20210827,-12696,57173,-69106
1,A228340,동양파일,20210826,-8737,53214,-69106
2,A228340,동양파일,20210825,-41007,55324,-38946
3,A228340,동양파일,20210824,-122406,63667,34239
4,A228340,동양파일,20210823,-136803,56554,55780
5,A228340,동양파일,20210820,-122378,12878,85081
6,A228340,동양파일,20210819,-110232,-45678,132100
7,A228340,동양파일,20210818,-115691,-55835,149017
8,A228340,동양파일,20210817,-112220,-59302,149013
9,A228340,동양파일,20210813,-90352,-80992,148834
10,A228340,동양파일,20210812,-87215,-83713,148893
11,A228340,동양파일,20210811,-77347,-91132,146298
12,A228340,동양파일,20210810,-83123,-84684,146321
13,A228340,동양파일,20210809,-91376,-85880,156140
14,A228340,동양파일,20210806,-109867,-84131,172932
15,A228340,동양파일,20210805,-111495,-86295,176776
16,A228340,동양파일,20210804,-106777,-90647,176460
17,A228340,동양파일,20210803,-97701,-98063,174800
18,A228340,동양파일,20210802,-109453,-86401,174890
19,A228340,동양파일,20210730,-146135,-54409,179580
20,A228340,동양파일,20210729,-95336,-104615,178917
21,A228340,동양파일,20210728,-104292,-102682,185940
22,A228340,동양파일,20210727,-102917,-104097,185940
23,A228340,동양파일,20210726,-116317,-109321,204572
24,A228340,동양파일,20210723,-122762,-102601,204797
25,A228340,동양파일,20210722,-138318,-107507,225445
26,A228340,동양파일,20210721,-135135,-110279,227034
27,A228340,동양파일,20210720,-161262,-95423,239345
28,A228340,동양파일,20210719,-160096,-101805,244562
29,A228340,동양파일,20210716,-178635,-84756,245867
30,A228340,동양파일,20210715,-174998,-89359,246713
31,A228340,동양파일,20210714,-174529,-89772,246667
32,A228340,동양파일,20210713,-198273,-65759,246667
33,A228340,동양파일,20210712,-194900,-68609,246753
34,A228340,동양파일,20210709,-141579,-118125,242954
35,A228340,동양파일,20210708,-136601,-122022,242954
36,A228340,동양파일,20210707,-162854,-108737,256038
37,A228340,동양파일,20210706,-193366,-80356,256086
38,A228340,동양파일,20210705,-148620,-134541,263315
39,A228340,동양파일,20210702,-107859,-174199,263342
40,A228340,동양파일,20210701,-123701,-198673,307808
41,A228340,동양파일,20210630,-130359,-195387,312230
42,A228340,동양파일,20210629,-135101,-193273,312258
43,A228340,동양파일,20210628,-143726,-184859,312369
44,A228340,동양파일,20210625,-135117,-201188,319869
45,A228340,동양파일,20210624,-236208,-127577,349786
46,A228340,동양파일,20210623,-203524,-165032,354707
47,A228340,동양파일,20210622,-238418,-149513,354832
48,A228340,동양파일,20210621,-240594,-159846,367341
49,A228340,동양파일,20210618,-297157,-140085,404268
50,A228340,동양파일,20210617,-306786,-131518,405710
51,A228340,동양파일,20210616,-317146,-122411,406966
52,A228340,동양파일,20210615,-323640,-116160,407324
53,A228340,동양파일,20210614,-326522,-116623,410768
54,A228340,동양파일,20210611,-332305,-110784,410867
55,A228340,동양파일,20210610,-382509,-64652,410867
56,A228340,동양파일,20210609,-306785,-119273,391864
57,A228340,동양파일,20210608,-293393,-115242,376781
58,A228340,동양파일,20210607,-269962,-139187,377024
59,A228340,동양파일,20210604,-241705,-165930,377060
60,A228340,동양파일,20210603,-227687,-179255,376667
61,A228340,동양파일,20210602,-228157,-177889,376667
62,A228340,동양파일,20210601,-209073,-200629,378883
63,A228340,동양파일,20210531,-210976,-201928,379025
64,A228340,동양파일,20210528,-214196,-192153,379257
65,A228340,동양파일,20210527,-240881,-163976,379221
66,A228340,동양파일,20210526,-277369,-122861,377703
67,A228340,동양파일,20210525,-242437,-162002,377582
68,A228340,동양파일,20210524,-245827,-159047,377912
69,A228340,동양파일,20210521,-238294,-161246,376739
70,A228340,동양파일,20210520,-397720,-34691,405985
71,A228340,동양파일,20210518,-323344,-74791,370482
72,A228340,동양파일,20210517,-127075,-192334,294447
73,A228340,동양파일,20210514,-135986,-184357,294356
74,A228340,동양파일,20210513,-148560,-143039,270582
75,A228340,동양파일,20210512,-128692,-161703,270327
76,A228340,동양파일,20210511,-150271,-140332,270535
77,A228340,동양파일,20210510,-141789,-151242,270965
78,A228340,동양파일,20210507,-163647,-129407,270990
79,A228340,동양파일,20210506,-98930,-194943,271030
80,A228340,동양파일,20210504,-87340,-236981,301508
81,A228340,동양파일,20210503,-130987,-235967,344686
82,A228340,동양파일,20210430,-142249,-224721,344702
83,A228340,동양파일,20210429,-142865,-223652,345049
84,A228340,동양파일,20210428,-129244,-235809,344996
85,A228340,동양파일,20210427,-176858,-189180,345077
86,A228340,동양파일,20210426,-208500,-162779,357341
87,A228340,동양파일,20210423,-363635,-18648,367255
88,A228340,동양파일,20210422,-214972,-119849,333102
89,A228340,동양파일,20210421,-192936,-136612,327702
90,A228340,동양파일,20210420,-232349,-112129,342775
91,A228340,동양파일,20210419,-203943,-141482,343527
92,A228340,동양파일,20210416,-335631,-125479,459287
93,A228340,동양파일,20210415,-373382,-111553,483112
94,A228340,동양파일,20210414,-427568,-79519,495247
95,A228340,동양파일,20210413,-447548,-72550,507259
96,A228340,동양파일,20210412,-426443,-73330,489496
97,A228340,동양파일,20210409,-478695,-5401,471603
98,A228340,동양파일,20210408,-364707,-54280,408418
99,A228340,동양파일,20210407,-375738,-44597,408124
100,A228340,동양파일,20210406,-467001,-1975,446738
101,A228340,동양파일,20210405,-683086,174903,486395
102,A228340,동양파일,20210402,-615666,166919,427139
103,A228340,동양파일,20210401,-524605,124598,396021
104,A228340,동양파일,20210331,-738314,272332,453635
105,A228340,동양파일,20210330,-654506,209743,433875
106,A228340,동양파일,20210329,-697488,276206,404034
107,A228340,동양파일,20210326,-548786,179617,352211
108,A228340,동양파일,20210325,-457664,127055,313589
109,A228340,동양파일,20210324,-431097,196393,171396
110,A228340,동양파일,20210323,-144819,104744,35785
111,A228340,동양파일,20210322,-111040,73602,32982
112,A228340,동양파일,20210319,-119658,97650,21802
113,A228340,동양파일,20210318,-105276,82974,22096
114,A228340,동양파일,20210317,-111947,89645,22096
115,A228340,동양파일,20210316,-100448,81469,19223
116,A228340,동양파일,20210315,-169841,150928,19157
117,A228340,동양파일,20210312,-137021,118108,19157
118,A228340,동양파일,20210311,-149796,130882,19157
