,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A214680,디알텍,20210827,1846369,1142044,-2489329
1,A214680,디알텍,20210826,1822008,1156025,-2478948
2,A214680,디알텍,20210825,1802441,1175592,-2478948
3,A214680,디알텍,20210824,1809905,1168146,-2478948
4,A214680,디알텍,20210823,1870721,1074489,-2439710
5,A214680,디알텍,20210820,1981402,1015697,-2442966
6,A214680,디알텍,20210819,1863978,1147390,-2456237
7,A214680,디알텍,20210818,1834023,1114052,-2389210
8,A214680,디알텍,20210817,1890227,1076441,-2405399
9,A214680,디알텍,20210813,1818835,1155899,-2405399
10,A214680,디알텍,20210812,1379143,1012533,-2405399
11,A214680,디알텍,20210811,1290145,997390,-2355399
12,A214680,디알텍,20210810,1195992,926613,-2193399
13,A214680,디알텍,20210809,1191966,935006,-2191318
14,A214680,디알텍,20210806,1194494,931992,-2191318
15,A214680,디알텍,20210805,1088632,938328,-2091318
16,A214680,디알텍,20210804,1171765,854741,-2091318
17,A214680,디알텍,20210803,1184134,843301,-2091318
18,A214680,디알텍,20210802,1185146,863302,-2091318
19,A214680,디알텍,20210730,1146031,899306,-2091318
20,A214680,디알텍,20210729,1062234,932116,-2091318
21,A214680,디알텍,20210728,1102582,916149,-2091318
22,A214680,디알텍,20210727,1033181,1020774,-2091318
23,A214680,디알텍,20210726,981833,1086256,-2101802
24,A214680,디알텍,20210723,916977,1166404,-2117094
25,A214680,디알텍,20210722,724494,1137729,-1893094
26,A214680,디알텍,20210721,649385,1114352,-1893094
27,A214680,디알텍,20210720,628422,1146826,-1893094
28,A214680,디알텍,20210719,556676,1229657,-1893094
29,A214680,디알텍,20210716,518668,1266714,-1893094
30,A214680,디알텍,20210715,466795,1318175,-1893094
31,A214680,디알텍,20210714,-6384,1450267,-1547426
32,A214680,디알텍,20210713,-63045,1511507,-1550493
33,A214680,디알텍,20210712,-443168,1579352,-1237806
34,A214680,디알텍,20210709,-515867,1649546,-1234594
35,A214680,디알텍,20210708,-748912,1856409,-1234595
36,A214680,디알텍,20210707,-1397461,1789988,-487185
37,A214680,디알텍,20210706,-1535014,1660691,-493289
38,A214680,디알텍,20210705,-1615805,1773802,-525272
39,A214680,디알텍,20210702,-1499608,1648413,-525272
40,A214680,디알텍,20210701,-2211829,1678724,171617
41,A214680,디알텍,20210630,-2407809,1881467,169647
42,A214680,디알텍,20210629,-2160891,1677194,163736
43,A214680,디알텍,20210628,-2104381,1619386,163736
44,A214680,디알텍,20210625,-2087076,1600473,165501
45,A214680,디알텍,20210624,-2294655,1817181,165501
46,A214680,디알텍,20210623,-2053728,1652772,165501
47,A214680,디알텍,20210622,-1464538,1610314,146817
48,A214680,디알텍,20210621,-1378168,1608935,146817
49,A214680,디알텍,20210618,-1281048,1446872,138907
50,A214680,디알텍,20210617,-1229838,1376728,155957
51,A214680,디알텍,20210616,-1386439,1580658,138907
52,A214680,디알텍,20210615,-1140966,1331881,138907
53,A214680,디알텍,20210614,-1078190,1334547,138907
54,A214680,디알텍,20210611,-803336,1068909,138907
55,A214680,디알텍,20210610,-789731,1050681,142737
56,A214680,디알텍,20210609,-741682,902928,142737
57,A214680,디알텍,20210608,-977903,835400,142737
58,A214680,디알텍,20210607,-977199,836832,142737
59,A214680,디알텍,20210604,-1495678,1353222,142737
60,A214680,디알텍,20210603,-1414574,1260196,142737
61,A214680,디알텍,20210602,-1409424,1232756,142737
62,A214680,디알텍,20210601,-1347121,1165064,142737
63,A214680,디알텍,20210531,-1333630,1151987,142737
64,A214680,디알텍,20210528,-1240358,1057452,142737
65,A214680,디알텍,20210527,-1471367,1286138,142737
66,A214680,디알텍,20210526,-1454144,1268384,142737
67,A214680,디알텍,20210525,-1467536,1279408,143152
68,A214680,디알텍,20210524,-1158562,978141,136708
69,A214680,디알텍,20210521,-959567,824948,94268
70,A214680,디알텍,20210520,-1130123,1040625,51888
71,A214680,디알텍,20210518,-1018210,961406,20578
72,A214680,디알텍,20210517,-1115185,1061969,20578
73,A214680,디알텍,20210514,-1275258,1215115,20577
74,A214680,디알텍,20210513,-919152,863713,23501
75,A214680,디알텍,20210512,-903028,859561,12287
76,A214680,디알텍,20210511,-1033046,995367,9220
77,A214680,디알텍,20210510,-977430,942715,3058
78,A214680,디알텍,20210507,-907550,875230,0
79,A214680,디알텍,20210506,-804391,772076,0
80,A214680,디알텍,20210504,-746802,717621,0
81,A214680,디알텍,20210503,-864008,836227,0
82,A214680,디알텍,20210430,-781136,754755,0
83,A214680,디알텍,20210429,-815427,795297,0
84,A214680,디알텍,20210428,-835162,813093,0
85,A214680,디알텍,20210427,-920514,892247,0
86,A214680,디알텍,20210426,-788897,752761,0
87,A214680,디알텍,20210423,-737579,701443,0
88,A214680,디알텍,20210422,-700915,664579,0
89,A214680,디알텍,20210421,-826820,789921,0
90,A214680,디알텍,20210420,-670649,624662,0
91,A214680,디알텍,20210419,-563758,517421,0
92,A214680,디알텍,20210416,-565697,517757,0
93,A214680,디알텍,20210415,-466483,418010,0
94,A214680,디알텍,20210414,-441672,387089,0
95,A214680,디알텍,20210413,-431636,380053,0
96,A214680,디알텍,20210412,-326496,274363,0
97,A214680,디알텍,20210409,-253470,201837,0
98,A214680,디알텍,20210408,-226260,172937,0
99,A214680,디알텍,20210407,-241501,197728,0
100,A214680,디알텍,20210406,-269473,225260,0
101,A214680,디알텍,20210405,-346962,296402,0
102,A214680,디알텍,20210402,-214493,165954,0
103,A214680,디알텍,20210401,-250981,202162,0
104,A214680,디알텍,20210331,-225336,180812,0
105,A214680,디알텍,20210330,-203907,194152,0
106,A214680,디알텍,20210329,-255880,253200,0
107,A214680,디알텍,20210326,-281368,279803,0
108,A214680,디알텍,20210325,-289835,289973,0
109,A214680,디알텍,20210324,-267930,269061,0
110,A214680,디알텍,20210323,-244304,245439,0
111,A214680,디알텍,20210322,-299559,299680,0
112,A214680,디알텍,20210319,-304842,306868,0
113,A214680,디알텍,20210318,-288526,290694,0
114,A214680,디알텍,20210317,-218451,220885,0
115,A214680,디알텍,20210316,-174608,178187,0
116,A214680,디알텍,20210315,-156578,161199,0
117,A214680,디알텍,20210312,-120816,122139,0
118,A214680,디알텍,20210311,38596,-36340,0
