,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A134580,µð¿¥Æ¼,20210827,-197152,181749,-7826
1,A134580,µð¿¥Æ¼,20210826,-196442,181039,-7826
2,A134580,µð¿¥Æ¼,20210825,-196688,181287,-7826
3,A134580,µð¿¥Æ¼,20210824,-196575,180877,-7826
4,A134580,µð¿¥Æ¼,20210823,-197155,181457,-7826
5,A134580,µð¿¥Æ¼,20210820,-198591,182321,-7826
6,A134580,µð¿¥Æ¼,20210819,-200632,189702,-7826
7,A134580,µð¿¥Æ¼,20210818,-202379,202260,-7826
8,A134580,µð¿¥Æ¼,20210817,-216539,212592,-7826
9,A134580,µð¿¥Æ¼,20210813,-227412,230613,-6615
10,A134580,µð¿¥Æ¼,20210812,-224515,232688,-6615
11,A134580,µð¿¥Æ¼,20210811,-227182,238452,-6615
12,A134580,µð¿¥Æ¼,20210810,-237598,248868,-6615
13,A134580,µð¿¥Æ¼,20210809,-242964,254234,-6615
14,A134580,µð¿¥Æ¼,20210806,-248536,259806,-6615
15,A134580,µð¿¥Æ¼,20210805,-258459,274729,-6615
16,A134580,µð¿¥Æ¼,20210804,-253171,278171,-6615
17,A134580,µð¿¥Æ¼,20210803,-258277,283277,-6615
18,A134580,µð¿¥Æ¼,20210802,-261654,286654,-6615
19,A134580,µð¿¥Æ¼,20210730,-272960,294191,-6615
20,A134580,µð¿¥Æ¼,20210729,-280222,303306,-5468
21,A134580,µð¿¥Æ¼,20210728,-283053,305915,-5468
22,A134580,µð¿¥Æ¼,20210727,-276471,299121,-5468
23,A134580,µð¿¥Æ¼,20210726,-261145,290086,-5468
24,A134580,µð¿¥Æ¼,20210723,-261951,290892,-5468
25,A134580,µð¿¥Æ¼,20210722,-265074,294015,-5468
26,A134580,µð¿¥Æ¼,20210721,-258689,286921,-5468
27,A134580,µð¿¥Æ¼,20210720,-229473,257575,-5468
28,A134580,µð¿¥Æ¼,20210719,-215772,243789,-5468
29,A134580,µð¿¥Æ¼,20210716,-202796,230835,-5468
30,A134580,µð¿¥Æ¼,20210715,-173896,198815,-5468
31,A134580,µð¿¥Æ¼,20210714,-193368,218137,-3468
32,A134580,µð¿¥Æ¼,20210713,-185512,213625,-3468
33,A134580,µð¿¥Æ¼,20210712,-180718,208831,-3468
34,A134580,µð¿¥Æ¼,20210709,-185397,213510,-3468
35,A134580,µð¿¥Æ¼,20210708,-189345,217358,-3468
36,A134580,µð¿¥Æ¼,20210707,-194179,222231,-3507
37,A134580,µð¿¥Æ¼,20210706,-207215,235267,-3507
38,A134580,µð¿¥Æ¼,20210705,-210717,238732,-3507
39,A134580,µð¿¥Æ¼,20210702,-197352,225364,-3507
40,A134580,µð¿¥Æ¼,20210701,-205357,233373,-3507
41,A134580,µð¿¥Æ¼,20210630,-217328,249034,-3507
42,A134580,µð¿¥Æ¼,20210629,-235702,267408,-3507
43,A134580,µð¿¥Æ¼,20210628,-237449,269147,-3507
44,A134580,µð¿¥Æ¼,20210625,-240433,272126,-3507
45,A134580,µð¿¥Æ¼,20210624,-243462,275163,-3507
46,A134580,µð¿¥Æ¼,20210623,-244063,275764,-3507
47,A134580,µð¿¥Æ¼,20210622,-243428,275129,-3507
48,A134580,µð¿¥Æ¼,20210621,-237075,268776,-3507
49,A134580,µð¿¥Æ¼,20210618,-250960,282660,-3507
50,A134580,µð¿¥Æ¼,20210617,-258376,290076,-3507
51,A134580,µð¿¥Æ¼,20210616,-256582,288282,-3507
52,A134580,µð¿¥Æ¼,20210615,-230886,263610,-4615
53,A134580,µð¿¥Æ¼,20210614,-206308,239032,-4615
54,A134580,µð¿¥Æ¼,20210611,-191388,224112,-4615
55,A134580,µð¿¥Æ¼,20210610,-225912,259200,-3615
56,A134580,µð¿¥Æ¼,20210609,-207134,240422,-3615
57,A134580,µð¿¥Æ¼,20210608,-210936,244224,-3615
