,辆格内靛,辆格疙,朝楼,俺牢 鉴概荐,寇惫牢 鉴概荐,扁包 鉴概荐
0,A131180,掉府,20210827,-553675,546200,106984
1,A131180,掉府,20210826,-193414,223731,84855
2,A131180,掉府,20210825,-908125,910001,118692
3,A131180,掉府,20210824,-937582,939458,118692
4,A131180,掉府,20210823,-870952,879656,118692
5,A131180,掉府,20210820,-695158,712745,145879
6,A131180,掉府,20210819,-634886,668084,128759
7,A131180,掉府,20210818,-635674,685855,112812
8,A131180,掉府,20210817,-521186,580684,102493
9,A131180,掉府,20210813,-421028,464539,102493
10,A131180,掉府,20210812,-69616,122375,91287
11,A131180,掉府,20210811,11603,41188,91287
12,A131180,掉府,20210810,28642,21561,91287
13,A131180,掉府,20210809,291588,-207299,68657
14,A131180,掉府,20210806,278520,-186932,68657
15,A131180,掉府,20210805,245544,-159761,68657
16,A131180,掉府,20210804,249085,-164168,69922
17,A131180,掉府,20210803,-29552,-18045,179276
18,A131180,掉府,20210802,-160003,-21993,314827
19,A131180,掉府,20210730,-224741,175300,140464
20,A131180,掉府,20210729,-41564,-58390,202498
21,A131180,掉府,20210728,-157726,-51129,328386
22,A131180,掉府,20210727,-16567,-37838,153027
23,A131180,掉府,20210726,-123844,101438,152836
24,A131180,掉府,20210723,14434,-35888,152766
25,A131180,掉府,20210722,73710,-93125,145870
26,A131180,掉府,20210721,-472489,429476,152139
27,A131180,掉府,20210720,-498096,429476,153716
28,A131180,掉府,20210719,-483230,436776,153716
29,A131180,掉府,20210716,-425812,407027,141850
30,A131180,掉府,20210715,-455281,360222,212475
31,A131180,掉府,20210714,-442760,419678,137871
32,A131180,掉府,20210713,-543220,521790,138232
33,A131180,掉府,20210712,-550676,525384,143016
34,A131180,掉府,20210709,-483236,472001,129234
35,A131180,掉府,20210708,-438685,421245,129233
36,A131180,掉府,20210707,-462359,445167,129233
37,A131180,掉府,20210706,-546673,481952,135534
38,A131180,掉府,20210705,-449646,418757,111530
39,A131180,掉府,20210702,-442958,409657,114056
40,A131180,掉府,20210701,-859117,839639,145582
41,A131180,掉府,20210630,-880350,890117,120582
42,A131180,掉府,20210629,-860916,876471,115246
43,A131180,掉府,20210628,-872929,888484,115246
44,A131180,掉府,20210625,-869335,883187,116948
45,A131180,掉府,20210624,-866145,879097,116948
46,A131180,掉府,20210623,-890644,904116,116948
47,A131180,掉府,20210622,-871167,900504,100083
48,A131180,掉府,20210621,-847633,876980,100083
49,A131180,掉府,20210618,-835593,871980,92943
50,A131180,掉府,20210617,-843414,879855,92943
51,A131180,掉府,20210616,-828715,865156,92943
52,A131180,掉府,20210615,-818482,854923,92943
53,A131180,掉府,20210614,-786794,826235,92943
54,A131180,掉府,20210611,-801903,841244,92943
55,A131180,掉府,20210610,-795637,833213,94708
56,A131180,掉府,20210609,-704871,742539,94708
57,A131180,掉府,20210608,-792162,857805,96208
58,A131180,掉府,20210607,-802531,868174,96208
59,A131180,掉府,20210604,-790748,856591,96208
60,A131180,掉府,20210603,-786547,853870,96208
61,A131180,掉府,20210602,-762155,867918,57778
62,A131180,掉府,20210601,-731245,877654,19349
63,A131180,掉府,20210531,-742373,889053,19349
64,A131180,掉府,20210528,-742831,889511,19349
65,A131180,掉府,20210527,-750096,896876,19349
66,A131180,掉府,20210526,-777190,922070,19349
67,A131180,掉府,20210525,-684448,830328,19349
68,A131180,掉府,20210524,-658713,804593,19349
69,A131180,掉府,20210521,-598929,748161,15999
70,A131180,掉府,20210520,-693199,846586,12729
71,A131180,掉府,20210518,-640913,791410,12919
72,A131180,掉府,20210517,-621421,771918,12919
73,A131180,掉府,20210514,-659866,810363,12919
74,A131180,掉府,20210513,-625765,779119,10062
75,A131180,掉府,20210512,-597907,754707,6616
76,A131180,掉府,20210511,-609810,768733,3767
77,A131180,掉府,20210510,-609781,771334,935
78,A131180,掉府,20210507,-606648,771009,-1873
79,A131180,掉府,20210506,-617303,782390,-1873
80,A131180,掉府,20210504,-637743,804187,-3230
81,A131180,掉府,20210503,-648692,815109,-3230
82,A131180,掉府,20210430,-603950,770367,-3230
83,A131180,掉府,20210429,-639585,805976,-3230
84,A131180,掉府,20210428,-701258,787623,-3230
85,A131180,掉府,20210427,-735920,822257,-3230
86,A131180,掉府,20210426,-742992,822731,-3230
87,A131180,掉府,20210423,-742710,822459,-3230
88,A131180,掉府,20210422,-733178,812264,-3230
89,A131180,掉府,20210421,-720787,800064,-3230
90,A131180,掉府,20210420,-778955,853073,-3230
91,A131180,掉府,20210419,-774041,848194,-3230
92,A131180,掉府,20210416,-782088,856300,-3230
93,A131180,掉府,20210415,-670109,711448,-3230
94,A131180,掉府,20210414,-669359,710742,-3230
95,A131180,掉府,20210413,-663313,703883,-3230
96,A131180,掉府,20210412,-685424,726094,-3230
97,A131180,掉府,20210409,-695550,736220,-3230
98,A131180,掉府,20210408,-670296,711129,-3230
99,A131180,掉府,20210407,-660305,700800,-3230
100,A131180,掉府,20210406,-659019,698406,-3230
101,A131180,掉府,20210405,-669608,708995,-3230
102,A131180,掉府,20210402,-621007,661705,-3230
103,A131180,掉府,20210401,-592674,631115,-3230
104,A131180,掉府,20210331,-596501,634942,-3230
105,A131180,掉府,20210330,-600586,641189,-3230
106,A131180,掉府,20210329,-529454,570075,-3230
107,A131180,掉府,20210326,-549362,487009,-3230
108,A131180,掉府,20210325,-479618,416964,-3230
109,A131180,掉府,20210324,-537228,468674,0
110,A131180,掉府,20210323,-511205,442382,0
111,A131180,掉府,20210322,-492747,423951,0
112,A131180,掉府,20210319,-405949,337153,0
113,A131180,掉府,20210318,-337820,268349,0
114,A131180,掉府,20210317,-293391,221046,0
115,A131180,掉府,20210316,-296056,225047,0
116,A131180,掉府,20210315,-284353,213662,0
117,A131180,掉府,20210312,-234647,164647,0
118,A131180,掉府,20210311,-164083,94083,0
