,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A214260,라파스,20210827,9913,163405,-127339
1,A214260,라파스,20210826,25201,140813,-119549
2,A214260,라파스,20210825,-47974,203372,-110200
3,A214260,라파스,20210824,-1285,142805,-98173
4,A214260,라파스,20210823,-36231,161721,-82548
5,A214260,라파스,20210820,-32794,165436,-66606
6,A214260,라파스,20210819,2864,117126,-65332
7,A214260,라파스,20210818,-6402,127744,-66102
8,A214260,라파스,20210817,-6631,120990,-55376
9,A214260,라파스,20210813,-53463,166906,-55252
10,A214260,라파스,20210812,-66049,178608,-50328
11,A214260,라파스,20210811,-3115,115202,-54976
12,A214260,라파스,20210810,-8101,125844,-58764
13,A214260,라파스,20210809,49479,93866,-87712
14,A214260,라파스,20210806,-51606,159716,-66543
15,A214260,라파스,20210805,-63151,162805,-60241
16,A214260,라파스,20210804,72704,48202,-82130
17,A214260,라파스,20210803,55718,63944,-82130
18,A214260,라파스,20210802,65499,63936,-90656
19,A214260,라파스,20210730,93329,33295,-90656
20,A214260,라파스,20210729,82259,19232,-68505
21,A214260,라파스,20210728,100235,7468,-75954
22,A214260,라파스,20210727,63241,38924,-70736
23,A214260,라파스,20210726,114444,-2896,-99230
24,A214260,라파스,20210723,119416,-4025,-98737
25,A214260,라파스,20210722,199335,-88911,-89738
26,A214260,라파스,20210721,204287,-95574,-87834
27,A214260,라파스,20210720,208493,-95479,-89738
28,A214260,라파스,20210719,207515,-96972,-89738
29,A214260,라파스,20210716,204048,-94829,-89738
30,A214260,라파스,20210715,196006,-86697,-89738
31,A214260,라파스,20210714,201628,-93331,-89738
32,A214260,라파스,20210713,200020,-92061,-89738
33,A214260,라파스,20210712,198687,-90626,-89738
34,A214260,라파스,20210709,195355,-87282,-89738
35,A214260,라파스,20210708,188307,-81604,-89738
36,A214260,라파스,20210707,178426,-71473,-89738
37,A214260,라파스,20210706,189522,-82088,-89738
38,A214260,라파스,20210705,188990,-80610,-89738
39,A214260,라파스,20210702,186518,-79594,-89738
40,A214260,라파스,20210701,185982,-78531,-89738
41,A214260,라파스,20210630,183818,-73948,-89443
42,A214260,라파스,20210629,191126,-80805,-89443
43,A214260,라파스,20210628,199713,-89050,-89443
44,A214260,라파스,20210625,196949,-86038,-89443
45,A214260,라파스,20210624,219170,-108591,-89443
46,A214260,라파스,20210623,209519,-97793,-89443
47,A214260,라파스,20210622,206260,-94308,-89443
48,A214260,라파스,20210621,200666,-88611,-89443
49,A214260,라파스,20210618,197969,-84759,-89443
50,A214260,라파스,20210617,193472,-79620,-89443
51,A214260,라파스,20210616,186481,-72679,-89443
52,A214260,라파스,20210615,194292,-78556,-89443
53,A214260,라파스,20210614,187891,-72380,-89443
54,A214260,라파스,20210611,185335,-69730,-89443
55,A214260,라파스,20210610,185389,-66549,-89443
56,A214260,라파스,20210609,184126,-65213,-89443
57,A214260,라파스,20210608,184466,-65432,-89443
58,A214260,라파스,20210607,183365,-64881,-89443
59,A214260,라파스,20210604,178812,-59258,-89443
60,A214260,라파스,20210603,174054,-53737,-89443
61,A214260,라파스,20210602,176795,-53225,-89443
62,A214260,라파스,20210601,169254,-49069,-89443
63,A214260,라파스,20210531,158478,-37381,-89443
64,A214260,라파스,20210528,149530,-29241,-89443
65,A214260,라파스,20210527,139989,-19538,-89443
66,A214260,라파스,20210526,128183,-8021,-89443
67,A214260,라파스,20210525,112429,7560,-89443
68,A214260,라파스,20210524,121725,-328,-89443
69,A214260,라파스,20210521,136646,-15814,-89443
70,A214260,라파스,20210520,132325,-11475,-89443
71,A214260,라파스,20210518,119556,-417,-89443
72,A214260,라파스,20210517,120519,-4422,-89443
73,A214260,라파스,20210514,132788,-13025,-89443
74,A214260,라파스,20210513,149087,-30374,-89443
75,A214260,라파스,20210512,141592,-21513,-89443
76,A214260,라파스,20210511,134476,-13382,-89443
77,A214260,라파스,20210510,115542,6393,-89443
78,A214260,라파스,20210507,112235,9681,-89443
79,A214260,라파스,20210506,107767,14096,-89443
80,A214260,라파스,20210504,97954,23942,-89444
81,A214260,라파스,20210503,113799,10637,-89444
82,A214260,라파스,20210430,137846,-16876,-89444
83,A214260,라파스,20210429,127554,-7434,-89444
84,A214260,라파스,20210428,130340,-15356,-84409
85,A214260,라파스,20210427,139717,-24311,-89444
