,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A277070,린드먼아시아,20210827,-99725,-11062,140945
1,A277070,린드먼아시아,20210826,-86777,-23792,140945
2,A277070,린드먼아시아,20210825,-82166,-27463,140945
3,A277070,린드먼아시아,20210824,-85797,-23832,140945
4,A277070,린드먼아시아,20210823,-76308,-33321,140945
5,A277070,린드먼아시아,20210820,-76829,-32944,140945
6,A277070,린드먼아시아,20210819,-89287,-20739,140945
7,A277070,린드먼아시아,20210818,-110681,-1933,140945
8,A277070,린드먼아시아,20210817,-103209,-9083,140945
9,A277070,린드먼아시아,20210813,-107368,-4424,140945
10,A277070,린드먼아시아,20210812,-134291,23079,140945
11,A277070,린드먼아시아,20210811,-121814,10323,140945
12,A277070,린드먼아시아,20210810,-119633,8142,140945
13,A277070,린드먼아시아,20210809,-125213,13722,140945
14,A277070,린드먼아시아,20210806,-131721,20230,140945
15,A277070,린드먼아시아,20210805,-126027,14386,140945
16,A277070,린드먼아시아,20210804,-124878,13237,140945
17,A277070,린드먼아시아,20210803,-121101,9460,140945
18,A277070,린드먼아시아,20210802,-122433,10732,140945
19,A277070,린드먼아시아,20210730,-123413,11712,140945
20,A277070,린드먼아시아,20210729,-126408,14767,140945
21,A277070,린드먼아시아,20210728,-125032,13391,140945
22,A277070,린드먼아시아,20210727,-156585,43595,142975
23,A277070,린드먼아시아,20210726,-157962,44972,142975
24,A277070,린드먼아시아,20210723,-161985,49830,142975
25,A277070,린드먼아시아,20210722,-158627,46472,142975
26,A277070,린드먼아시아,20210721,-157530,45395,142975
27,A277070,린드먼아시아,20210720,-159877,47742,142975
28,A277070,린드먼아시아,20210719,-157607,45472,142975
29,A277070,린드먼아시아,20210716,-158883,46748,142975
30,A277070,린드먼아시아,20210715,-166195,54060,142975
31,A277070,린드먼아시아,20210714,-166319,53121,142975
32,A277070,린드먼아시아,20210713,-171095,57088,142975
33,A277070,린드먼아시아,20210712,-170754,56512,142975
34,A277070,린드먼아시아,20210709,-169401,54659,142975
35,A277070,린드먼아시아,20210708,-157551,42709,142975
36,A277070,린드먼아시아,20210707,-163077,48369,142975
37,A277070,린드먼아시아,20210706,-163815,49107,142975
38,A277070,린드먼아시아,20210705,-160665,46057,142975
39,A277070,린드먼아시아,20210702,-159533,44925,142975
40,A277070,린드먼아시아,20210701,-160247,45639,142975
41,A277070,린드먼아시아,20210630,-159392,44784,142975
42,A277070,린드먼아시아,20210629,-162342,42419,148335
43,A277070,린드먼아시아,20210628,-169514,43029,153697
44,A277070,린드먼아시아,20210625,-178479,46471,159220
45,A277070,린드먼아시아,20210624,-177598,45590,159220
46,A277070,린드먼아시아,20210623,-179397,47379,159220
47,A277070,린드먼아시아,20210622,-193159,61151,159220
48,A277070,린드먼아시아,20210621,-195471,63463,159220
49,A277070,린드먼아시아,20210618,-194638,62630,159220
50,A277070,린드먼아시아,20210617,-184863,52650,159220
51,A277070,린드먼아시아,20210616,-196715,65502,159220
52,A277070,린드먼아시아,20210615,-195308,64095,159220
53,A277070,린드먼아시아,20210614,-197809,66146,159220
54,A277070,린드먼아시아,20210611,-217977,86824,159220
55,A277070,린드먼아시아,20210610,-225588,94635,159220
56,A277070,린드먼아시아,20210609,-217075,85772,159220
57,A277070,린드먼아시아,20210608,-224634,94331,159220
58,A277070,린드먼아시아,20210607,-230281,100031,159220
59,A277070,린드먼아시아,20210604,-249286,119536,159220
60,A277070,린드먼아시아,20210603,-267345,135565,159220
61,A277070,린드먼아시아,20210602,-206609,75534,159220
62,A277070,린드먼아시아,20210601,-166824,33214,159220
63,A277070,린드먼아시아,20210531,-168865,38442,156720
64,A277070,린드먼아시아,20210528,-165457,41630,150620
65,A277070,린드먼아시아,20210527,-239139,123487,146120
66,A277070,린드먼아시아,20210526,-203982,88181,145447
67,A277070,린드먼아시아,20210525,-210011,105422,134063
68,A277070,린드먼아시아,20210524,-189710,95226,124063
69,A277070,린드먼아시아,20210521,-149662,69059,110063
70,A277070,린드먼아시아,20210520,-136565,69962,96063
71,A277070,린드먼아시아,20210518,-128229,66752,90877
72,A277070,린드먼아시아,20210517,-92909,40461,82280
73,A277070,린드먼아시아,20210514,-93528,47729,75631
74,A277070,린드먼아시아,20210513,-63424,34734,62631
75,A277070,린드먼아시아,20210512,-43739,28588,48631
76,A277070,린드먼아시아,20210511,-66997,67013,34631
77,A277070,린드먼아시아,20210510,-51700,60743,25626
78,A277070,린드먼아시아,20210507,-40727,59685,15730
79,A277070,린드먼아시아,20210506,-41839,60771,15730
80,A277070,린드먼아시아,20210504,-32859,52238,15730
81,A277070,린드먼아시아,20210503,-17665,37392,15730
82,A277070,린드먼아시아,20210430,-290,21863,13884
83,A277070,린드먼아시아,20210429,17441,4089,13884
84,A277070,린드먼아시아,20210428,28572,-7101,13884
85,A277070,린드먼아시아,20210427,32957,-18134,13884
86,A277070,린드먼아시아,20210426,22023,-7667,13884
87,A277070,린드먼아시아,20210423,7664,6756,13884
88,A277070,린드먼아시아,20210422,26281,-11866,13884
89,A277070,린드먼아시아,20210421,29395,-14985,13884
90,A277070,린드먼아시아,20210420,30288,-16612,13884
91,A277070,린드먼아시아,20210419,35884,-21472,13884
92,A277070,린드먼아시아,20210416,43519,-29107,13884
93,A277070,린드먼아시아,20210415,42627,-24496,10630
94,A277070,린드먼아시아,20210414,57912,-36778,7280
