,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A059210,메타바이오메드,20210827,-145061,28713,116384
1,A059210,메타바이오메드,20210826,-161263,38469,122608
2,A059210,메타바이오메드,20210825,-100866,-21432,122608
3,A059210,메타바이오메드,20210824,-91942,-32057,122608
4,A059210,메타바이오메드,20210823,26828,-146280,122608
5,A059210,메타바이오메드,20210820,169107,-258815,116364
6,A059210,메타바이오메드,20210819,147436,-230353,108493
7,A059210,메타바이오메드,20210818,124072,-206135,108493
8,A059210,메타바이오메드,20210817,247456,-318532,99177
9,A059210,메타바이오메드,20210813,273866,-344493,99177
10,A059210,메타바이오메드,20210812,-11363,-59189,99177
11,A059210,메타바이오메드,20210811,-33265,-37247,99177
12,A059210,메타바이오메드,20210810,-24089,-46305,99177
13,A059210,메타바이오메드,20210809,36672,-108164,100271
14,A059210,메타바이오메드,20210806,57468,-128960,100271
15,A059210,메타바이오메드,20210805,64439,-135931,100271
16,A059210,메타바이오메드,20210804,72589,-144081,100271
17,A059210,메타바이오메드,20210803,80406,-151897,100271
18,A059210,메타바이오메드,20210802,47701,-119082,100271
19,A059210,메타바이오메드,20210730,78171,-149552,100271
20,A059210,메타바이오메드,20210729,107933,-181050,100271
21,A059210,메타바이오메드,20210728,130850,-204057,100271
22,A059210,메타바이오메드,20210727,124460,-195608,100271
23,A059210,메타바이오메드,20210726,258469,-323575,93956
24,A059210,메타바이오메드,20210723,232080,-287661,84743
25,A059210,메타바이오메드,20210722,253235,-308766,84743
26,A059210,메타바이오메드,20210721,249776,-304988,84743
27,A059210,메타바이오메드,20210720,210777,-265933,84743
28,A059210,메타바이오메드,20210719,220694,-275841,84743
29,A059210,메타바이오메드,20210716,188280,-244300,84743
30,A059210,메타바이오메드,20210715,51899,-111014,87910
31,A059210,메타바이오메드,20210714,23783,-80871,84883
32,A059210,메타바이오메드,20210713,-172688,98006,102179
33,A059210,메타바이오메드,20210712,-164608,94016,98121
34,A059210,메타바이오메드,20210709,-140287,82347,85489
35,A059210,메타바이오메드,20210708,-130640,71030,87489
36,A059210,메타바이오메드,20210707,-34926,-18901,81706
37,A059210,메타바이오메드,20210706,-45456,-4729,78028
38,A059210,메타바이오메드,20210705,-101652,33424,65371
39,A059210,메타바이오메드,20210702,-42775,-27193,65371
40,A059210,메타바이오메드,20210701,91260,-167917,71977
