,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A033200,모아텍,20210827,-36345,38405,0
1,A033200,모아텍,20210826,-35630,37683,0
2,A033200,모아텍,20210825,-39729,41812,0
3,A033200,모아텍,20210824,-40391,42474,0
4,A033200,모아텍,20210823,-36149,38232,0
5,A033200,모아텍,20210820,-34045,36428,0
6,A033200,모아텍,20210819,-32406,34789,0
7,A033200,모아텍,20210818,-34866,37249,0
8,A033200,모아텍,20210817,-31806,34189,0
9,A033200,모아텍,20210813,-31003,33230,0
10,A033200,모아텍,20210812,-31110,33298,0
11,A033200,모아텍,20210811,-35875,38063,0
12,A033200,모아텍,20210810,-43520,45668,0
13,A033200,모아텍,20210809,-41149,43292,0
14,A033200,모아텍,20210806,-43584,45732,0
15,A033200,모아텍,20210805,-53804,55972,0
16,A033200,모아텍,20210804,-48351,50505,0
17,A033200,모아텍,20210803,-37666,39840,0
18,A033200,모아텍,20210802,-45588,47778,0
19,A033200,모아텍,20210730,-41636,43813,0
20,A033200,모아텍,20210729,-54047,54769,0
21,A033200,모아텍,20210728,-64750,67055,0
22,A033200,모아텍,20210727,-66948,69144,0
23,A033200,모아텍,20210726,-39406,41686,0
24,A033200,모아텍,20210723,-41133,43413,0
25,A033200,모아텍,20210722,-47007,49287,0
26,A033200,모아텍,20210721,-29955,32235,0
27,A033200,모아텍,20210720,-26107,28387,0
28,A033200,모아텍,20210719,-39301,41375,0
29,A033200,모아텍,20210716,-40324,42548,0
30,A033200,모아텍,20210715,-30489,32593,0
31,A033200,모아텍,20210714,-24460,26564,0
32,A033200,모아텍,20210713,-27937,30090,0
33,A033200,모아텍,20210712,-46733,48890,0
34,A033200,모아텍,20210709,-40105,42335,0
35,A033200,모아텍,20210708,-33223,34764,0
36,A033200,모아텍,20210707,-36832,38373,0
37,A033200,모아텍,20210706,-27501,28689,0
38,A033200,모아텍,20210705,-40807,42342,0
39,A033200,모아텍,20210702,-35074,36509,0
40,A033200,모아텍,20210701,-41104,42414,0
41,A033200,모아텍,20210630,-32971,34281,0
42,A033200,모아텍,20210629,-35424,36734,0
43,A033200,모아텍,20210628,-37266,38576,0
44,A033200,모아텍,20210625,-35433,36780,0
45,A033200,모아텍,20210624,-35269,36936,0
46,A033200,모아텍,20210623,-39070,40737,0
47,A033200,모아텍,20210622,-43572,45240,0
48,A033200,모아텍,20210621,-42071,44083,0
49,A033200,모아텍,20210618,-42167,44217,0
50,A033200,모아텍,20210617,-42672,44721,0
51,A033200,모아텍,20210616,-40133,42504,0
52,A033200,모아텍,20210615,-35217,37471,0
53,A033200,모아텍,20210614,-34818,37072,0
54,A033200,모아텍,20210611,-35667,37922,0
55,A033200,모아텍,20210610,-31953,33948,0
56,A033200,모아텍,20210609,-28566,30561,0
57,A033200,모아텍,20210608,-27872,29517,0
58,A033200,모아텍,20210607,-29001,30676,0
59,A033200,모아텍,20210604,-29836,31511,0
60,A033200,모아텍,20210603,-29052,30727,0
61,A033200,모아텍,20210602,-29195,30818,0
62,A033200,모아텍,20210601,-32014,33470,0
63,A033200,모아텍,20210531,-27447,28877,0
64,A033200,모아텍,20210528,-30918,32341,0
65,A033200,모아텍,20210527,-17552,18927,0
66,A033200,모아텍,20210526,-14460,15818,0
67,A033200,모아텍,20210525,-14545,15919,0
68,A033200,모아텍,20210524,-6208,7582,0
69,A033200,모아텍,20210521,-7350,8724,0
70,A033200,모아텍,20210520,-8182,9468,0
71,A033200,모아텍,20210518,-9343,10412,0
72,A033200,모아텍,20210517,-9181,9869,0
73,A033200,모아텍,20210514,-12276,13429,0
74,A033200,모아텍,20210513,-8401,9534,0
75,A033200,모아텍,20210512,-4942,6075,0
76,A033200,모아텍,20210511,-6720,7853,0
77,A033200,모아텍,20210510,-10972,12148,0
78,A033200,모아텍,20210507,-10864,12093,0
79,A033200,모아텍,20210506,-11431,12660,0
80,A033200,모아텍,20210504,-9796,11631,0
81,A033200,모아텍,20210503,-9563,11218,0
82,A033200,모아텍,20210430,-11618,12973,0
83,A033200,모아텍,20210429,-10347,12002,0
84,A033200,모아텍,20210428,-9128,10783,0
85,A033200,모아텍,20210427,-12952,14184,0
86,A033200,모아텍,20210426,-14086,15368,0
87,A033200,모아텍,20210423,-11400,13506,0
88,A033200,모아텍,20210422,-8932,11733,0
89,A033200,모아텍,20210421,-12894,15700,0
90,A033200,모아텍,20210420,-13785,16591,0
91,A033200,모아텍,20210419,-10925,13730,0
92,A033200,모아텍,20210416,-7500,10305,0
93,A033200,모아텍,20210415,-8240,11145,0
94,A033200,모아텍,20210414,-17314,19201,0
95,A033200,모아텍,20210413,-23948,26365,0
96,A033200,모아텍,20210412,-4270,6629,0
97,A033200,모아텍,20210409,-2310,4169,0
98,A033200,모아텍,20210408,8050,-5934,0
99,A033200,모아텍,20210407,10061,-7945,0
100,A033200,모아텍,20210406,9552,-7435,0
101,A033200,모아텍,20210405,7572,-5467,0
102,A033200,모아텍,20210402,1705,400,0
103,A033200,모아텍,20210401,401,1704,0
104,A033200,모아텍,20210331,-6644,8749,0
105,A033200,모아텍,20210330,-13592,15594,0
106,A033200,모아텍,20210329,-11968,14010,0
107,A033200,모아텍,20210326,-21986,23950,0
108,A033200,모아텍,20210325,-23697,25261,0
109,A033200,모아텍,20210324,-26426,28065,0
110,A033200,모아텍,20210323,1282,377,0
111,A033200,모아텍,20210322,2404,-1406,0
112,A033200,모아텍,20210319,2365,-1432,0
113,A033200,모아텍,20210318,3606,-2672,0
114,A033200,모아텍,20210317,3031,-2097,0
115,A033200,모아텍,20210316,-4192,5126,0
116,A033200,모아텍,20210315,-10837,11771,0
117,A033200,모아텍,20210312,-12002,12656,0
118,A033200,모아텍,20210311,-28776,28849,0
