,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,J52G445,미래G445LG화학콜,20210827,200,0,-200
1,J52G445,미래G445LG화학콜,20210826,200,0,-200
2,J52G445,미래G445LG화학콜,20210825,200,0,-200
3,J52G445,미래G445LG화학콜,20210824,200,0,-200
4,J52G445,미래G445LG화학콜,20210823,200,0,-200
5,J52G445,미래G445LG화학콜,20210820,200,0,-200
6,J52G445,미래G445LG화학콜,20210819,200,0,-200
7,J52G445,미래G445LG화학콜,20210818,200,0,-200
8,J52G445,미래G445LG화학콜,20210817,64610,0,-64610
9,J52G445,미래G445LG화학콜,20210813,200,0,-200
10,J52G445,미래G445LG화학콜,20210812,200,0,-200
11,J52G445,미래G445LG화학콜,20210811,200,0,-200
12,J52G445,미래G445LG화학콜,20210810,200,0,-200
13,J52G445,미래G445LG화학콜,20210809,200,0,-200
14,J52G445,미래G445LG화학콜,20210806,200,0,-200
15,J52G445,미래G445LG화학콜,20210805,200,0,-200
16,J52G445,미래G445LG화학콜,20210804,200,0,-200
17,J52G445,미래G445LG화학콜,20210803,210,0,-210
18,J52G445,미래G445LG화학콜,20210802,200,0,-200
19,J52G445,미래G445LG화학콜,20210730,70240,0,-70240
20,J52G445,미래G445LG화학콜,20210729,240,0,-240
21,J52G445,미래G445LG화학콜,20210728,260,0,-260
22,J52G445,미래G445LG화학콜,20210727,260,0,-260
23,J52G445,미래G445LG화학콜,20210726,260,0,-260
24,J52G445,미래G445LG화학콜,20210723,260,0,-260
25,J52G445,미래G445LG화학콜,20210722,270,0,-270
26,J52G445,미래G445LG화학콜,20210721,270,0,-270
27,J52G445,미래G445LG화학콜,20210720,250,0,-250
28,J52G445,미래G445LG화학콜,20210719,250,0,-250
29,J52G445,미래G445LG화학콜,20210716,240,0,-240
30,J52G445,미래G445LG화학콜,20210715,240,0,-240
31,J52G445,미래G445LG화학콜,20210714,40220,0,-40220
32,J52G445,미래G445LG화학콜,20210713,210,0,-210
33,J52G445,미래G445LG화학콜,20210712,130200,0,-130200
34,J52G445,미래G445LG화학콜,20210709,200,0,-200
35,J52G445,미래G445LG화학콜,20210708,200,0,-200
36,J52G445,미래G445LG화학콜,20210707,40200,0,-40200
37,J52G445,미래G445LG화학콜,20210706,200,0,-200
38,J52G445,미래G445LG화학콜,20210705,200,0,-200
39,J52G445,미래G445LG화학콜,20210702,200,0,-200
40,J52G445,미래G445LG화학콜,20210701,200,0,-200
41,J52G445,미래G445LG화학콜,20210630,200,0,-200
42,J52G445,미래G445LG화학콜,20210629,70180,0,-70180
43,J52G445,미래G445LG화학콜,20210628,70190,0,-70190
44,J52G445,미래G445LG화학콜,20210625,70200,0,-70200
45,J52G445,미래G445LG화학콜,20210624,190200,0,-190200
46,J52G445,미래G445LG화학콜,20210623,200,0,-200
47,J52G445,미래G445LG화학콜,20210622,80200,0,-80200
48,J52G445,미래G445LG화학콜,20210621,200,0,-200
49,J52G445,미래G445LG화학콜,20210618,200,0,-200
50,J52G445,미래G445LG화학콜,20210617,200,0,-200
51,J52G445,미래G445LG화학콜,20210616,200,0,-200
52,J52G445,미래G445LG화학콜,20210615,600,0,-600
53,J52G445,미래G445LG화학콜,20210614,140600,0,-140600
54,J52G445,미래G445LG화학콜,20210611,600,0,-600
55,J52G445,미래G445LG화학콜,20210610,100200,0,-100200
56,J52G445,미래G445LG화학콜,20210609,200,0,-200
57,J52G445,미래G445LG화학콜,20210608,200,0,-200
58,J52G445,미래G445LG화학콜,20210607,200,0,-200
59,J52G445,미래G445LG화학콜,20210604,80190,0,-80190
60,J52G445,미래G445LG화학콜,20210603,80200,0,-80200
61,J52G445,미래G445LG화학콜,20210602,51010,0,-51010
62,J52G445,미래G445LG화학콜,20210601,1810,0,-1810
63,J52G445,미래G445LG화학콜,20210531,810,0,-810
64,J52G445,미래G445LG화학콜,20210528,810,0,-810
65,J52G445,미래G445LG화학콜,20210527,800,0,-800
66,J52G445,미래G445LG화학콜,20210526,400,0,-400
67,J52G445,미래G445LG화학콜,20210525,80,0,-80
68,J52G445,미래G445LG화학콜,20210524,80,0,-80
69,J52G445,미래G445LG화학콜,20210521,80,0,-80
70,J52G445,미래G445LG화학콜,20210520,80,0,-80
71,J52G445,미래G445LG화학콜,20210518,90,0,-90
72,J52G445,미래G445LG화학콜,20210517,100,0,-100
73,J52G445,미래G445LG화학콜,20210514,100,0,-100
74,J52G445,미래G445LG화학콜,20210513,100,0,-100
75,J52G445,미래G445LG화학콜,20210512,0,0,0
76,J52G445,미래G445LG화학콜,20210511,0,0,0
77,J52G445,미래G445LG화학콜,20210510,0,0,0
78,J52G445,미래G445LG화학콜,20210507,0,0,0
79,J52G445,미래G445LG화학콜,20210506,0,0,0
80,J52G445,미래G445LG화학콜,20210504,100,0,-100
81,J52G445,미래G445LG화학콜,20210503,0,0,0
82,J52G445,미래G445LG화학콜,20210430,0,0,0
83,J52G445,미래G445LG화학콜,20210429,0,0,0
84,J52G445,미래G445LG화학콜,20210428,0,0,0
