,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,J52G576,미래G576삼성전자콜,20210827,427020,0,-427020
1,J52G576,미래G576삼성전자콜,20210826,427020,0,-427020
2,J52G576,미래G576삼성전자콜,20210825,427020,0,-427020
3,J52G576,미래G576삼성전자콜,20210824,427020,0,-427020
4,J52G576,미래G576삼성전자콜,20210823,427020,0,-427020
5,J52G576,미래G576삼성전자콜,20210820,427020,0,-427020
6,J52G576,미래G576삼성전자콜,20210819,427020,0,-427020
7,J52G576,미래G576삼성전자콜,20210818,427020,0,-427020
8,J52G576,미래G576삼성전자콜,20210817,427020,0,-427020
9,J52G576,미래G576삼성전자콜,20210813,427020,0,-427020
10,J52G576,미래G576삼성전자콜,20210812,170020,0,-170020
11,J52G576,미래G576삼성전자콜,20210811,20,0,-20
12,J52G576,미래G576삼성전자콜,20210810,20,0,-20
13,J52G576,미래G576삼성전자콜,20210809,10,0,-10
14,J52G576,미래G576삼성전자콜,20210806,10,0,-10
15,J52G576,미래G576삼성전자콜,20210805,10,0,-10
16,J52G576,미래G576삼성전자콜,20210804,40010,0,-40010
17,J52G576,미래G576삼성전자콜,20210803,10,0,-10
18,J52G576,미래G576삼성전자콜,20210802,10,0,-10
19,J52G576,미래G576삼성전자콜,20210730,10,0,-10
20,J52G576,미래G576삼성전자콜,20210729,600,0,-600
21,J52G576,미래G576삼성전자콜,20210728,10,0,-10
22,J52G576,미래G576삼성전자콜,20210727,79990,0,-79990
23,J52G576,미래G576삼성전자콜,20210726,79990,0,-79990
24,J52G576,미래G576삼성전자콜,20210723,80000,0,-80000
25,J52G576,미래G576삼성전자콜,20210722,80000,0,-80000
26,J52G576,미래G576삼성전자콜,20210721,10,0,-10
27,J52G576,미래G576삼성전자콜,20210720,10,0,-10
28,J52G576,미래G576삼성전자콜,20210719,10,0,-10
29,J52G576,미래G576삼성전자콜,20210716,900,0,-900
30,J52G576,미래G576삼성전자콜,20210715,40000,0,-40000
31,J52G576,미래G576삼성전자콜,20210714,0,0,0
32,J52G576,미래G576삼성전자콜,20210713,39980,0,-39980
33,J52G576,미래G576삼성전자콜,20210712,39990,0,-39990
34,J52G576,미래G576삼성전자콜,20210709,40000,0,-40000
35,J52G576,미래G576삼성전자콜,20210708,0,0,0
36,J52G576,미래G576삼성전자콜,20210707,0,0,0
37,J52G576,미래G576삼성전자콜,20210706,0,0,0
38,J52G576,미래G576삼성전자콜,20210705,100000,0,-100000
39,J52G576,미래G576삼성전자콜,20210702,0,0,0
40,J52G576,미래G576삼성전자콜,20210701,0,0,0
41,J52G576,미래G576삼성전자콜,20210630,0,0,0
42,J52G576,미래G576삼성전자콜,20210629,0,0,0
43,J52G576,미래G576삼성전자콜,20210628,0,0,0
44,J52G576,미래G576삼성전자콜,20210625,0,0,0
45,J52G576,미래G576삼성전자콜,20210624,10,0,-10
46,J52G576,미래G576삼성전자콜,20210623,10,0,-10
47,J52G576,미래G576삼성전자콜,20210622,10,0,-10
48,J52G576,미래G576삼성전자콜,20210621,10,0,-10
49,J52G576,미래G576삼성전자콜,20210618,10,0,-10
50,J52G576,미래G576삼성전자콜,20210617,10,0,-10
51,J52G576,미래G576삼성전자콜,20210616,10,0,-10
52,J52G576,미래G576삼성전자콜,20210615,10,0,-10
53,J52G576,미래G576삼성전자콜,20210614,10,0,-10
54,J52G576,미래G576삼성전자콜,20210611,10,0,-10
55,J52G576,미래G576삼성전자콜,20210610,10,0,-10
56,J52G576,미래G576삼성전자콜,20210609,0,0,0
57,J52G576,미래G576삼성전자콜,20210608,0,0,0
58,J52G576,미래G576삼성전자콜,20210607,0,0,0
59,J52G576,미래G576삼성전자콜,20210604,30000,0,-30000
60,J52G576,미래G576삼성전자콜,20210603,0,0,0
61,J52G576,미래G576삼성전자콜,20210602,0,0,0
62,J52G576,미래G576삼성전자콜,20210601,0,0,0
63,J52G576,미래G576삼성전자콜,20210531,0,0,0
64,J52G576,미래G576삼성전자콜,20210528,0,0,0
65,J52G576,미래G576삼성전자콜,20210527,0,0,0
66,J52G576,미래G576삼성전자콜,20210526,0,0,0
67,J52G576,미래G576삼성전자콜,20210525,0,0,0
