,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,J52G598,미래G598SK하이닉콜,20210827,2920,0,-2920
1,J52G598,미래G598SK하이닉콜,20210826,2920,0,-2920
2,J52G598,미래G598SK하이닉콜,20210825,2920,0,-2920
3,J52G598,미래G598SK하이닉콜,20210824,2920,0,-2920
4,J52G598,미래G598SK하이닉콜,20210823,2920,0,-2920
5,J52G598,미래G598SK하이닉콜,20210820,2920,0,-2920
6,J52G598,미래G598SK하이닉콜,20210819,2920,0,-2920
7,J52G598,미래G598SK하이닉콜,20210818,2920,0,-2920
8,J52G598,미래G598SK하이닉콜,20210817,2920,0,-2920
9,J52G598,미래G598SK하이닉콜,20210813,2920,0,-2920
10,J52G598,미래G598SK하이닉콜,20210812,2920,0,-2920
11,J52G598,미래G598SK하이닉콜,20210811,2920,0,-2920
12,J52G598,미래G598SK하이닉콜,20210810,2920,0,-2920
13,J52G598,미래G598SK하이닉콜,20210809,2920,0,-2920
14,J52G598,미래G598SK하이닉콜,20210806,1920,0,-1920
15,J52G598,미래G598SK하이닉콜,20210805,1920,0,-1920
16,J52G598,미래G598SK하이닉콜,20210804,920,0,-920
17,J52G598,미래G598SK하이닉콜,20210803,10860,0,-10860
18,J52G598,미래G598SK하이닉콜,20210802,10870,0,-10870
19,J52G598,미래G598SK하이닉콜,20210730,10880,0,-10880
20,J52G598,미래G598SK하이닉콜,20210729,20890,0,-20890
21,J52G598,미래G598SK하이닉콜,20210728,20900,0,-20900
22,J52G598,미래G598SK하이닉콜,20210727,20910,0,-20910
23,J52G598,미래G598SK하이닉콜,20210726,20910,0,-20910
24,J52G598,미래G598SK하이닉콜,20210723,20920,0,-20920
25,J52G598,미래G598SK하이닉콜,20210722,20930,0,-20930
26,J52G598,미래G598SK하이닉콜,20210721,20940,0,-20940
27,J52G598,미래G598SK하이닉콜,20210720,20950,0,-20950
28,J52G598,미래G598SK하이닉콜,20210719,20970,0,-20970
29,J52G598,미래G598SK하이닉콜,20210716,30980,0,-30980
30,J52G598,미래G598SK하이닉콜,20210715,30990,0,-30990
31,J52G598,미래G598SK하이닉콜,20210714,100990,0,-100990
32,J52G598,미래G598SK하이닉콜,20210713,101000,0,-101000
33,J52G598,미래G598SK하이닉콜,20210712,40000,0,-40000
34,J52G598,미래G598SK하이닉콜,20210709,10010,0,-10010
35,J52G598,미래G598SK하이닉콜,20210708,10010,0,-10010
36,J52G598,미래G598SK하이닉콜,20210707,10010,0,-10010
37,J52G598,미래G598SK하이닉콜,20210706,60010,0,-60010
38,J52G598,미래G598SK하이닉콜,20210705,90000,0,-90000
39,J52G598,미래G598SK하이닉콜,20210702,0,0,0
40,J52G598,미래G598SK하이닉콜,20210701,50000,0,-50000
41,J52G598,미래G598SK하이닉콜,20210630,50000,0,-50000
42,J52G598,미래G598SK하이닉콜,20210629,0,0,0
43,J52G598,미래G598SK하이닉콜,20210628,0,0,0
44,J52G598,미래G598SK하이닉콜,20210625,0,0,0
45,J52G598,미래G598SK하이닉콜,20210624,0,0,0
46,J52G598,미래G598SK하이닉콜,20210623,0,0,0
47,J52G598,미래G598SK하이닉콜,20210622,0,0,0
48,J52G598,미래G598SK하이닉콜,20210621,0,0,0
49,J52G598,미래G598SK하이닉콜,20210618,90000,0,-90000
50,J52G598,미래G598SK하이닉콜,20210617,0,0,0
51,J52G598,미래G598SK하이닉콜,20210616,0,0,0
52,J52G598,미래G598SK하이닉콜,20210615,0,0,0
53,J52G598,미래G598SK하이닉콜,20210614,0,0,0
54,J52G598,미래G598SK하이닉콜,20210611,0,0,0
55,J52G598,미래G598SK하이닉콜,20210610,50000,0,-50000
56,J52G598,미래G598SK하이닉콜,20210609,0,0,0
57,J52G598,미래G598SK하이닉콜,20210608,0,0,0
58,J52G598,미래G598SK하이닉콜,20210607,0,0,0
59,J52G598,미래G598SK하이닉콜,20210604,0,0,0
60,J52G598,미래G598SK하이닉콜,20210603,0,0,0
61,J52G598,미래G598SK하이닉콜,20210602,0,0,0
62,J52G598,미래G598SK하이닉콜,20210601,0,0,0
63,J52G598,미래G598SK하이닉콜,20210531,0,0,0
64,J52G598,미래G598SK하이닉콜,20210528,40000,0,-40000
65,J52G598,미래G598SK하이닉콜,20210527,0,0,0
66,J52G598,미래G598SK하이닉콜,20210526,130000,0,-130000
67,J52G598,미래G598SK하이닉콜,20210525,0,0,0
