,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,J52G636,미래G636네이버콜,20210827,20,0,-20
1,J52G636,미래G636네이버콜,20210826,20,0,-20
2,J52G636,미래G636네이버콜,20210825,20,0,-20
3,J52G636,미래G636네이버콜,20210824,20,0,-20
4,J52G636,미래G636네이버콜,20210823,20,0,-20
5,J52G636,미래G636네이버콜,20210820,30020,0,-30020
6,J52G636,미래G636네이버콜,20210819,20,0,-20
7,J52G636,미래G636네이버콜,20210818,900,0,-900
8,J52G636,미래G636네이버콜,20210817,30000,0,-30000
9,J52G636,미래G636네이버콜,20210813,900,0,-900
10,J52G636,미래G636네이버콜,20210812,300,0,-300
11,J52G636,미래G636네이버콜,20210811,200,0,-200
12,J52G636,미래G636네이버콜,20210810,500,0,-500
13,J52G636,미래G636네이버콜,20210809,10,0,-10
14,J52G636,미래G636네이버콜,20210806,700,0,-700
15,J52G636,미래G636네이버콜,20210805,10,0,-10
16,J52G636,미래G636네이버콜,20210804,500,0,-500
17,J52G636,미래G636네이버콜,20210803,100,0,-100
18,J52G636,미래G636네이버콜,20210802,100,0,-100
19,J52G636,미래G636네이버콜,20210730,400,0,-400
20,J52G636,미래G636네이버콜,20210729,400,0,-400
21,J52G636,미래G636네이버콜,20210728,10,0,-10
22,J52G636,미래G636네이버콜,20210727,700,0,-700
23,J52G636,미래G636네이버콜,20210726,10,0,-10
24,J52G636,미래G636네이버콜,20210723,700,0,-700
25,J52G636,미래G636네이버콜,20210722,10,0,-10
26,J52G636,미래G636네이버콜,20210721,800,0,-800
27,J52G636,미래G636네이버콜,20210720,10,0,-10
28,J52G636,미래G636네이버콜,20210719,10,0,-10
29,J52G636,미래G636네이버콜,20210716,600,0,-600
30,J52G636,미래G636네이버콜,20210715,0,0,0
31,J52G636,미래G636네이버콜,20210714,0,0,0
32,J52G636,미래G636네이버콜,20210713,35070,0,-35070
33,J52G636,미래G636네이버콜,20210712,35070,0,-35070
34,J52G636,미래G636네이버콜,20210709,35070,0,-35070
35,J52G636,미래G636네이버콜,20210708,35070,0,-35070
36,J52G636,미래G636네이버콜,20210707,35070,0,-35070
37,J52G636,미래G636네이버콜,20210706,35070,0,-35070
38,J52G636,미래G636네이버콜,20210705,35070,0,-35070
39,J52G636,미래G636네이버콜,20210702,35070,0,-35070
40,J52G636,미래G636네이버콜,20210701,35070,0,-35070
41,J52G636,미래G636네이버콜,20210630,35070,0,-35070
42,J52G636,미래G636네이버콜,20210629,35040,0,-35040
43,J52G636,미래G636네이버콜,20210628,35030,0,-35030
44,J52G636,미래G636네이버콜,20210625,30030,0,-30030
45,J52G636,미래G636네이버콜,20210624,20090,0,-20090
46,J52G636,미래G636네이버콜,20210623,2030,0,-2030
47,J52G636,미래G636네이버콜,20210622,0,0,0
48,J52G636,미래G636네이버콜,20210621,0,0,0
49,J52G636,미래G636네이버콜,20210618,0,0,0
50,J52G636,미래G636네이버콜,20210617,0,0,0
51,J52G636,미래G636네이버콜,20210616,0,0,0
52,J52G636,미래G636네이버콜,20210615,0,0,0
53,J52G636,미래G636네이버콜,20210614,0,0,0
54,J52G636,미래G636네이버콜,20210611,141000,0,-141000
55,J52G636,미래G636네이버콜,20210610,1000,0,-1000
56,J52G636,미래G636네이버콜,20210609,99990,0,-99990
57,J52G636,미래G636네이버콜,20210608,100000,0,-100000
58,J52G636,미래G636네이버콜,20210607,29950,0,-29950
59,J52G636,미래G636네이버콜,20210604,59960,0,-59960
60,J52G636,미래G636네이버콜,20210603,59970,0,-59970
61,J52G636,미래G636네이버콜,20210602,199970,0,-199970
62,J52G636,미래G636네이버콜,20210601,89980,0,-89980
63,J52G636,미래G636네이버콜,20210531,89990,0,-89990
64,J52G636,미래G636네이버콜,20210528,20000,0,-20000
65,J52G636,미래G636네이버콜,20210527,20000,0,-20000
66,J52G636,미래G636네이버콜,20210526,129990,0,-129990
67,J52G636,미래G636네이버콜,20210525,130000,0,-130000
