,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,J52G667,미래G667삼성전기콜,20210827,350140,0,-350140
1,J52G667,미래G667삼성전기콜,20210826,350140,0,-350140
2,J52G667,미래G667삼성전기콜,20210825,350140,0,-350140
3,J52G667,미래G667삼성전기콜,20210824,350140,0,-350140
4,J52G667,미래G667삼성전기콜,20210823,350140,0,-350140
5,J52G667,미래G667삼성전기콜,20210820,350140,0,-350140
6,J52G667,미래G667삼성전기콜,20210819,350140,0,-350140
7,J52G667,미래G667삼성전기콜,20210818,320140,0,-320140
8,J52G667,미래G667삼성전기콜,20210817,270140,0,-270140
9,J52G667,미래G667삼성전기콜,20210813,268140,0,-268140
10,J52G667,미래G667삼성전기콜,20210812,268140,0,-268140
11,J52G667,미래G667삼성전기콜,20210811,318140,0,-318140
12,J52G667,미래G667삼성전기콜,20210810,123140,0,-123140
13,J52G667,미래G667삼성전기콜,20210809,148140,0,-148140
14,J52G667,미래G667삼성전기콜,20210806,108140,0,-108140
15,J52G667,미래G667삼성전기콜,20210805,108140,0,-108140
16,J52G667,미래G667삼성전기콜,20210804,108140,0,-108140
17,J52G667,미래G667삼성전기콜,20210803,118140,0,-118140
18,J52G667,미래G667삼성전기콜,20210802,119140,0,-119140
19,J52G667,미래G667삼성전기콜,20210730,148150,0,-148150
20,J52G667,미래G667삼성전기콜,20210729,48240,0,-48240
21,J52G667,미래G667삼성전기콜,20210728,98260,0,-98260
22,J52G667,미래G667삼성전기콜,20210727,98160,0,-98160
23,J52G667,미래G667삼성전기콜,20210726,118160,0,-118160
24,J52G667,미래G667삼성전기콜,20210723,113160,0,-113160
25,J52G667,미래G667삼성전기콜,20210722,113160,0,-113160
26,J52G667,미래G667삼성전기콜,20210721,108160,0,-108160
27,J52G667,미래G667삼성전기콜,20210720,108160,0,-108160
28,J52G667,미래G667삼성전기콜,20210719,73160,0,-73160
29,J52G667,미래G667삼성전기콜,20210716,123150,0,-123150
30,J52G667,미래G667삼성전기콜,20210715,73130,0,-73130
31,J52G667,미래G667삼성전기콜,20210714,113130,0,-113130
32,J52G667,미래G667삼성전기콜,20210713,113130,0,-113130
33,J52G667,미래G667삼성전기콜,20210712,113130,0,-113130
34,J52G667,미래G667삼성전기콜,20210709,113120,0,-113120
35,J52G667,미래G667삼성전기콜,20210708,98120,0,-98120
36,J52G667,미래G667삼성전기콜,20210707,193120,0,-193120
37,J52G667,미래G667삼성전기콜,20210706,153120,0,-153120
38,J52G667,미래G667삼성전기콜,20210705,183120,0,-183120
39,J52G667,미래G667삼성전기콜,20210702,183120,0,-183120
40,J52G667,미래G667삼성전기콜,20210701,183120,0,-183120
41,J52G667,미래G667삼성전기콜,20210630,231120,0,-231120
42,J52G667,미래G667삼성전기콜,20210629,181120,0,-181120
43,J52G667,미래G667삼성전기콜,20210628,196120,0,-196120
44,J52G667,미래G667삼성전기콜,20210625,196120,0,-196120
45,J52G667,미래G667삼성전기콜,20210624,196120,0,-196120
46,J52G667,미래G667삼성전기콜,20210623,181120,0,-181120
47,J52G667,미래G667삼성전기콜,20210622,181120,0,-181120
48,J52G667,미래G667삼성전기콜,20210621,181120,0,-181120
49,J52G667,미래G667삼성전기콜,20210618,126120,0,-126120
50,J52G667,미래G667삼성전기콜,20210617,126120,0,-126120
51,J52G667,미래G667삼성전기콜,20210616,126120,0,-126120
52,J52G667,미래G667삼성전기콜,20210615,126120,0,-126120
53,J52G667,미래G667삼성전기콜,20210614,126120,0,-126120
54,J52G667,미래G667삼성전기콜,20210611,126120,0,-126120
55,J52G667,미래G667삼성전기콜,20210610,126120,0,-126120
56,J52G667,미래G667삼성전기콜,20210609,106120,0,-106120
57,J52G667,미래G667삼성전기콜,20210608,96120,0,-96120
58,J52G667,미래G667삼성전기콜,20210607,87020,0,-87020
59,J52G667,미래G667삼성전기콜,20210604,183020,0,-183020
60,J52G667,미래G667삼성전기콜,20210603,83020,0,-83020
61,J52G667,미래G667삼성전기콜,20210602,73020,0,-73020
62,J52G667,미래G667삼성전기콜,20210601,52010,0,-52010
63,J52G667,미래G667삼성전기콜,20210531,15010,0,-15010
64,J52G667,미래G667삼성전기콜,20210528,15000,0,-15000
65,J52G667,미래G667삼성전기콜,20210527,0,0,0
66,J52G667,미래G667삼성전기콜,20210526,0,0,0
67,J52G667,미래G667삼성전기콜,20210525,0,0,0
