,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A301300,바이브컴퍼니,20210827,110222,14818,-14370
1,A301300,바이브컴퍼니,20210826,107643,16826,-13782
2,A301300,바이브컴퍼니,20210825,109978,16006,-15061
3,A301300,바이브컴퍼니,20210824,110186,14434,-13661
4,A301300,바이브컴퍼니,20210823,127513,-3043,-13411
5,A301300,바이브컴퍼니,20210820,139572,-14899,-13514
6,A301300,바이브컴퍼니,20210819,135576,-14276,-14614
7,A301300,바이브컴퍼니,20210818,131016,-9910,-13714
8,A301300,바이브컴퍼니,20210817,125727,-2947,-14109
9,A301300,바이브컴퍼니,20210813,141003,-17440,-15314
10,A301300,바이브컴퍼니,20210812,125614,-2346,-15794
11,A301300,바이브컴퍼니,20210811,137285,-17610,-15824
12,A301300,바이브컴퍼니,20210810,113868,-8358,-1326
13,A301300,바이브컴퍼니,20210809,97726,8358,-2013
14,A301300,바이브컴퍼니,20210806,115782,-3890,-5796
15,A301300,바이브컴퍼니,20210805,106720,2285,-3051
16,A301300,바이브컴퍼니,20210804,100770,10939,-5877
17,A301300,바이브컴퍼니,20210803,115627,-1096,-6551
18,A301300,바이브컴퍼니,20210802,109424,3045,-6551
19,A301300,바이브컴퍼니,20210730,103446,7083,-6551
20,A301300,바이브컴퍼니,20210729,119655,-8242,-6551
21,A301300,바이브컴퍼니,20210728,132887,-16720,-6551
22,A301300,바이브컴퍼니,20210727,142989,-24441,-6551
23,A301300,바이브컴퍼니,20210726,75030,36497,-682
24,A301300,바이브컴퍼니,20210723,108284,8155,-4821
25,A301300,바이브컴퍼니,20210722,115418,792,-4508
26,A301300,바이브컴퍼니,20210721,112869,2123,237
27,A301300,바이브컴퍼니,20210720,92102,10776,9506
28,A301300,바이브컴퍼니,20210719,103364,-2710,5937
29,A301300,바이브컴퍼니,20210716,117381,-25362,2180
30,A301300,바이브컴퍼니,20210715,90245,-15677,12453
31,A301300,바이브컴퍼니,20210714,105053,-17227,-13191
32,A301300,바이브컴퍼니,20210713,89764,5449,-18641
33,A301300,바이브컴퍼니,20210712,63575,29797,-9386
34,A301300,바이브컴퍼니,20210709,102623,3737,-21180
35,A301300,바이브컴퍼니,20210708,103080,1988,-19760
36,A301300,바이브컴퍼니,20210707,125230,-19424,-19760
37,A301300,바이브컴퍼니,20210706,108060,-6531,-17166
38,A301300,바이브컴퍼니,20210705,115106,-20336,-16112
39,A301300,바이브컴퍼니,20210702,111724,-29306,-11153
40,A301300,바이브컴퍼니,20210701,109649,-29920,-8534
41,A301300,바이브컴퍼니,20210630,98539,-28826,1171
42,A301300,바이브컴퍼니,20210629,101277,-29800,1171
43,A301300,바이브컴퍼니,20210628,94434,-28764,6574
44,A301300,바이브컴퍼니,20210625,93882,-31858,9082
45,A301300,바이브컴퍼니,20210624,95864,-33168,9107
46,A301300,바이브컴퍼니,20210623,86698,-34513,19312
47,A301300,바이브컴퍼니,20210622,70718,-31284,18567
48,A301300,바이브컴퍼니,20210621,78256,-33542,10526
49,A301300,바이브컴퍼니,20210618,77504,-32119,10551
50,A301300,바이브컴퍼니,20210617,77266,-31881,10551
51,A301300,바이브컴퍼니,20210616,73738,-32034,10551
52,A301300,바이브컴퍼니,20210615,67768,-32813,10551
53,A301300,바이브컴퍼니,20210614,64488,-31074,10551
54,A301300,바이브컴퍼니,20210611,59657,-29775,10551
